Assembly_No,MyNeta_education,MLAs_var
15,10th Pass,16
15,12th Pass,30
15,5th Pass,4
15,8th Pass,7
15,Doctorate,9
15,Graduate,44
15,Graduate Professional,30
15,Literate,7
15,Others,4
15,Post Graduate,44
15,Unknown,4
14,10th Pass,17
14,12th Pass,25
14,5th Pass,8
14,8th Pass,13
14,Doctorate,6
14,Graduate,39
14,Graduate Professional,34
14,Literate,7
14,Others,4
14,Post Graduate,39
14,Unknown,8
13,10th Pass,14
13,12th Pass,31
13,5th Pass,4
13,8th Pass,20
13,Doctorate,5
13,Graduate,34
13,Graduate Professional,37
13,Illiterate,1
13,Literate,6
13,Others,5
13,Post Graduate,35
13,Unknown,8
