Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
15,2274,119,51,199,43,5,330,1870,174,230,105,79,2018,14.51,82.23,7.65,10.11,59.8,25.63,52.76,39.7,42.86,11.63
14,2096,159,67,200,62,12,442,1565,285,246,90,56,2013,21.09,74.67,13.6,11.74,79.5,33.5,45,28,42.14,19.35
13,2194,114,46,200,36,9,307,1791,184,219,120,87,2008,13.99,81.63,8.39,9.98,57,23,60,43.5,40.35,25
12,1541,156,49,200,55,7,342,1077,194,270,106,75,2003,22.19,69.89,12.59,17.52,78,24.5,53,37.5,31.41,12.73
11,1436,151,68,200,58,11,334,967,199,270,82,68,1998,23.26,67.34,13.86,18.8,75.5,34,41,34,45.03,18.97
10,2437,148,64,199,62,12,441,1840,338,259,86,56,1993,18.1,75.5,13.87,10.63,74.37,32.16,43.22,28.14,43.24,19.35
9,3086,116,53,200,69,28,342,2563,293,230,107,79,1990,11.08,83.05,9.49,7.45,58,26.5,53.5,39.5,45.69,40.58
8,1504,117,56,200,52,24,278,1152,195,157,115,81,1985,18.48,76.6,12.97,10.44,58.5,28,57.5,40.5,47.86,46.15
7,1406,113,41,200,98,21,265,1052,218,136,127,99,1980,18.85,74.82,15.5,9.67,56.5,20.5,63.5,49.5,36.28,21.43
6,1150,86,26,200,54,44,176,923,143,84,155,122,1977,15.3,80.26,12.43,7.3,43,13,77.5,61,30.23,81.48
5,875,64,36,184,20,8,132,692,128,55,131,114,1972,15.09,79.09,14.63,6.29,34.78,19.57,71.2,61.96,56.25,40
4,892,60,27,184,6,2,101,790,101,1,157,145,1967,11.32,88.57,11.32,0.11,32.61,14.67,85.33,78.8,45,33.33
3,890,0,0,176,0,0,0,890,0,0,176,176,1962,0,100,0,0,0,0,100,100,0,0
