State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Rajasthan,2018,15,1,SADULSHAHAR,GEN,JAGDISH CHANDER,INC,73153,1,39.59,2,JAGDISH CHANDER,1,13.93
Rajasthan,2018,15,1,SADULSHAHAR,GEN,GURVEER SINGH BRAR,BJP,63477,2,34.36,1,GURJANT SINGH,-1,5.79
Rajasthan,2018,15,1,SADULSHAHAR,GEN,PALA RAM,CPM,2602,4,1.41,5,HETRAM BENIWAL,1,-5.94
Rajasthan,2018,15,1,SADULSHAHAR,GEN,AVTAR SINGH,CPI,1764,5,0.95,,,,0.95
Rajasthan,2018,15,1,SADULSHAHAR,GEN,BALWANT NIMIWAL,ABRJP,1744,6,0.94,,,,0.94
Rajasthan,2018,15,1,SADULSHAHAR,GEN,None of the Above,NOTA,1641,7,0.89,6,None of the Above,-1,-0.51
Rajasthan,2018,15,1,SADULSHAHAR,GEN,VINOD KHICHAR,BSP,1097,8,0.59,7,VEENA INDORA,-1,-0.59
Rajasthan,2018,15,1,SADULSHAHAR,GEN,ANKIT BHAMBHU,AAP,1072,9,0.58,,,,0.58
Rajasthan,2018,15,1,SADULSHAHAR,GEN,NIRANJAN SINGH,SAD(A)(SSM),347,11,0.19,,,,0.19
Rajasthan,2018,15,1,SADULSHAHAR,GEN,KRISHAN GOSWAMI,RPI(A),309,12,0.17,,,,0.17
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,ASHOK CHANDAK,INC,35818,2,21.11,3,JAGDISH JANDU,1,5.9
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,VINITA AHUJA,BJP,29686,3,17.5,2,RADHESHYAM GANGANAGAR,-1,-9.57
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,PRAHALAD RAI TAK,BSP,14834,5,8.74,4,ASHOK KUMAR KASANIA,-1,7.81
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,KAMINI JINDAL,NUZP,4887,6,2.88,1,KAMINI JINDAL,-5,-48.79
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,None of the Above,NOTA,1170,8,0.69,5,None of the Above,-3,-0.24
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,AMIT KARGWAL,AAP,836,12,0.49,,,,0.49
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,RAHUL MAHASHAYA,LJP,419,14,0.25,,,,0.25
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,JASWANT SINGH,MHKRP,281,17,0.17,,,,0.17
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,KARISHMA,DKD,233,19,0.14,,,,0.14
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,DAYA RAM,BLSP,219,20,0.13,,,,0.13
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,JAKIR HUSAIN,JWCP,174,22,0.1,,,,0.1
Rajasthan,2018,15,2,SRI GANGANAGAR,GEN,MANJEET SINGH,ABRJP,162,23,0.1,,,,0.1
Rajasthan,2018,15,3,SRI KARANPUR,GEN,GURMEET SINGH KOONER,INC,73896,1,38.98,2,GURMEET SINGH,1,-0.44
Rajasthan,2018,15,3,SRI KARANPUR,GEN,SURENDERPAL SINGH,BJP,44099,3,23.26,1,SURENDER PAL SINGH,-2,-18.45
Rajasthan,2018,15,3,SRI KARANPUR,GEN,RANJEET,BSP,1474,5,0.78,4,JASVINDER SINGH,-1,-0.84
Rajasthan,2018,15,3,SRI KARANPUR,GEN,None of the Above,NOTA,1300,7,0.69,6,None of the Above,-1,-0.32
Rajasthan,2018,15,3,SRI KARANPUR,GEN,PRAHLAD RAI,AAP,900,10,0.47,,,,0.47
Rajasthan,2018,15,3,SRI KARANPUR,GEN,RAISAHAB,RPI(A),249,16,0.13,,,,0.13
Rajasthan,2018,15,3,SRI KARANPUR,GEN,SUNIL KUMAR MEGHWAL,BRPP,131,17,0.07,,,,0.07
Rajasthan,2018,15,4,SURATGARH,GEN,RAMPRATAP KASNIYAN,BJP,69032,1,36.11,1,RAJENDAR SINGH BHADU,0,-3.48
Rajasthan,2018,15,4,SURATGARH,GEN,HANUMAN MEEL,INC,58797,2,30.75,3,GANGAJAL MEEL,1,10.49
Rajasthan,2018,15,4,SURATGARH,GEN,DUNGAR RAM GEDAR,BSP,55543,3,29.05,2,DUNGAR RAM GEDAR,-1,5.34
Rajasthan,2018,15,4,SURATGARH,GEN,None of the Above,NOTA,1591,4,0.83,6,None of the Above,2,0.12
Rajasthan,2018,15,4,SURATGARH,GEN,SATYA PRAKASH,AAP,747,8,0.39,,,,0.39
Rajasthan,2018,15,4,SURATGARH,GEN,NAND KISHOR,AINHCP,697,9,0.36,,,,0.36
Rajasthan,2018,15,4,SURATGARH,GEN,KRISHAN KUMAR,BYS,544,10,0.28,,,,0.28
Rajasthan,2018,15,4,SURATGARH,GEN,GOPIRAM,MHKRP,233,13,0.12,,,,0.12
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,BALVEER SINGH LUTHRA,BJP,76935,1,37.98,2,BALVEER SINGH,1,13.07
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,SHYOPAT RAM,CPM,43264,2,21.36,4,SHYOPATRAM,2,15.11
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,SONA DEVI,INC,31294,4,15.45,3,SOHAN NAYAK,-1,-9.28
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,SUCHCHA SINGH,AAP,3541,5,1.75,,,,1.75
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,None of the Above,NOTA,1842,6,0.91,6,None of the Above,0,-0.69
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,KUMBHARAM,BSP,1357,7,0.67,9,KESRA RAM,2,-0.31
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,RAJESH KUMAR SIKARWAL,NUZP,1036,10,0.51,1,SONADEVI,-9,-36.27
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,RAJPAL LOTIA,BRSP,752,11,0.37,,,,0.37
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,SONA SINGH,SAD(A)(SSM),562,12,0.28,,,,0.28
Rajasthan,2018,15,5,RAISINGHNAGAR,SC,RAJESH KUMAR,MHKRP,295,16,0.15,,,,0.15
Rajasthan,2018,15,6,ANUPGARH,SC,SANTOSH,BJP,79383,1,43.3,1,SHIMLA BAWRI,0,10.69
Rajasthan,2018,15,6,ANUPGARH,SC,KULDEEP INDORA,INC,58259,2,31.78,4,HARIRAM,2,23.93
Rajasthan,2018,15,6,ANUPGARH,SC,PAWAN KUMAR DUGGAL,CPM,17688,4,9.65,3,PAWAN KUMAR DUGGAL,-1,-14.47
Rajasthan,2018,15,6,ANUPGARH,SC,None of the Above,NOTA,3009,5,1.64,6,None of the Above,1,-0.94
Rajasthan,2018,15,6,ANUPGARH,SC,SHANKAR LAL,BSP,1522,6,0.83,5,HARISH SANWARIA,-1,-3.56
Rajasthan,2018,15,6,ANUPGARH,SC,JAGDISH,AAP,1070,7,0.58,,,,0.58
Rajasthan,2018,15,6,ANUPGARH,SC,BANWARI,MHKRP,726,8,0.4,,,,0.4
Rajasthan,2018,15,7,SANGARIA,GEN,GURDEEP SINGH,BJP,99064,1,49.37,1,KRISHAN KADVA,0,17.36
Rajasthan,2018,15,7,SANGARIA,GEN,SHABNAM GODARA,INC,92526,2,46.11,2,SHABNAM,0,20.78
Rajasthan,2018,15,7,SANGARIA,GEN,BALVIR SINGH,BSP,2863,3,1.43,5,LAXMAN SANKHALA,2,-0.95
Rajasthan,2018,15,7,SANGARIA,GEN,None of the Above,NOTA,1891,5,0.94,7,None of the Above,2,-0.44
Rajasthan,2018,15,7,SANGARIA,GEN,ANIL KUMAR,AAP,995,6,0.5,,,,0.5
Rajasthan,2018,15,7,SANGARIA,GEN,BALJINDER SINGH,SAD(A)(SSM),364,8,0.18,,,,0.18
Rajasthan,2018,15,7,SANGARIA,GEN,RAJENDER KUMAR,DKD,188,10,0.09,,,,0.09
Rajasthan,2018,15,8,HANUMANGARH,GEN,VINOD KUMAR,INC,111207,1,49.69,2,VINOD KUMAR,1,19.86
Rajasthan,2018,15,8,HANUMANGARH,GEN,RAMPRATAP,BJP,95685,2,42.75,1,RAMPRATAP,-1,-2.78
Rajasthan,2018,15,8,HANUMANGARH,GEN,RAGHUVER SINGH,CPM,4347,3,1.94,7,RAGHUVEER SINGH,4,-0.35
Rajasthan,2018,15,8,HANUMANGARH,GEN,JETHA RAM,BSP,2529,4,1.13,6,MANIRAM,2,-2.01
Rajasthan,2018,15,8,HANUMANGARH,GEN,None of the Above,NOTA,2215,5,0.99,9,None of the Above,4,-0.04
Rajasthan,2018,15,8,HANUMANGARH,GEN,RAMKUMAR,CPI,1708,6,0.76,,,,0.76
Rajasthan,2018,15,8,HANUMANGARH,GEN,SURENDRAPAL,AAP,1421,7,0.63,,,,0.63
Rajasthan,2018,15,8,HANUMANGARH,GEN,KULDEEP SINGH,BMUP,962,8,0.43,,,,0.43
Rajasthan,2018,15,8,HANUMANGARH,GEN,VINOD KUMAR,RaLtP,515,12,0.23,,,,0.23
Rajasthan,2018,15,8,HANUMANGARH,GEN,VINOD KUMAR MEGHWAL,BRPP,322,14,0.14,,,,0.14
Rajasthan,2018,15,8,HANUMANGARH,GEN,SALMA BANO,DKD,195,15,0.09,,,,0.09
Rajasthan,2018,15,9,PILIBANGA,SC,DHARMENDRA KUMAR,BJP,106414,1,47.04,1,DROPATI,0,14.04
Rajasthan,2018,15,9,PILIBANGA,SC,VINOD KUMAR,INC,106136,2,46.92,2,VINOD KUMAR,0,19.19
Rajasthan,2018,15,9,PILIBANGA,SC,SUSHIL KUMAR,BSP,3523,3,1.56,5,PREM KUMAR,2,-1.39
