State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Rajasthan,2018,15,BJP,199,73,3,3.18,36.68,3
Rajasthan,2018,15,BSP,189,6,177,0.18,3.17,7
Rajasthan,2018,15,BTP,11,2,8,0.94,18.18,4
Rajasthan,2018,15,CPM,28,2,23,0.89,7.14,5
Rajasthan,2018,15,INC,194,99,13,5.5,51.03,1
Rajasthan,2018,15,IND,830,13,790,0.12,1.57,8
Rajasthan,2018,15,RLD,2,1,0,4.52,50.0,2
Rajasthan,2018,15,RaLtP,58,3,48,0.32,5.17,6
Rajasthan,2013,14,BJP,200,163,5,11.8,81.5,1
Rajasthan,2013,14,BSP,195,3,182,0.08,1.54,5
Rajasthan,2013,14,INC,200,21,18,0.92,10.5,2
Rajasthan,2013,14,IND,758,7,730,0.09,0.92,6
Rajasthan,2013,14,NPEP,134,4,110,0.06,2.99,4
Rajasthan,2013,14,NUZP,25,2,21,1.46,8.0,3
Rajasthan,2008,13,BJP,193,78,11,3.42,40.41,2
Rajasthan,2008,13,BSP,199,6,173,0.2,3.02,6
Rajasthan,2008,13,CPM,34,3,29,0.67,8.82,4
Rajasthan,2008,13,INC,200,96,11,4.57,48.0,1
Rajasthan,2008,13,IND,1023,14,977,0.15,1.37,8
Rajasthan,2008,13,JD(U),4,1,1,0.22,25.0,3
Rajasthan,2008,13,LSWP,20,1,15,0.04,5.0,5
Rajasthan,2008,13,SP,64,1,62,0.01,1.56,7
Rajasthan,2003,12,BJP,197,120,12,6.11,60.91,1
Rajasthan,2003,12,BSP,124,2,110,0.18,1.61,8
Rajasthan,2003,12,CPM,18,1,16,0.94,5.56,5
Rajasthan,2003,12,INC,200,56,8,1.76,28.0,2
Rajasthan,2003,12,IND,556,13,517,0.19,2.34,7
Rajasthan,2003,12,INLD,50,4,38,0.58,8.0,4
Rajasthan,2003,12,JD(U),10,2,5,1.64,20.0,3
Rajasthan,2003,12,LJNSP,36,1,35,0.29,2.78,6
Rajasthan,2003,12,RSNM,65,1,60,0.09,1.54,9
Rajasthan,1998,11,BJP,196,33,19,1.25,16.84,2
Rajasthan,1998,11,BSP,108,2,103,0.16,1.85,6
Rajasthan,1998,11,CPM,14,1,12,0.2,7.14,3
Rajasthan,1998,11,INC,200,153,4,10.89,76.5,1
Rajasthan,1998,11,IND,604,7,543,0.05,1.16,7
Rajasthan,1998,11,JD,69,3,62,0.44,4.35,5
Rajasthan,1998,11,RJD,18,1,17,0.02,5.56,4
Rajasthan,1993,10,BJP,196,95,17,5.62,48.47,1
Rajasthan,1993,10,CPM,12,1,8,1.02,8.33,3
