State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Rajasthan,2018,15,AAP,AJMER STATE,20,0,20,0,0.0,28
Rajasthan,2018,15,AAP,BHARATPUR DIVISION,10,0,10,0,0.0,29
Rajasthan,2018,15,AAP,BIKANER DIVISION,20,0,20,0,0.0,30
Rajasthan,2018,15,AAP,JAIPUR DIVISION,43,0,43,0,0.0,31
Rajasthan,2018,15,AAP,JODHPUR DIVISION,21,0,21,0,0.0,32
Rajasthan,2018,15,AAP,KOTA DIVISION,13,0,13,0,0.0,33
Rajasthan,2018,15,AAP,UDAIPUR DIVISON,14,0,14,0,0.0,34
Rajasthan,2018,15,ABAP,AJMER STATE,1,0,1,0,0.0,35
Rajasthan,2018,15,ABAP,JAIPUR DIVISION,1,0,1,0,0.0,36
Rajasthan,2018,15,ABHM,JAIPUR DIVISION,1,0,1,0,0.0,37
Rajasthan,2018,15,ABRJP,AJMER STATE,9,0,9,0,0.0,38
Rajasthan,2018,15,ABRJP,BHARATPUR DIVISION,3,0,3,0,0.0,39
Rajasthan,2018,15,ABRJP,BIKANER DIVISION,11,0,11,0,0.0,40
Rajasthan,2018,15,ABRJP,JAIPUR DIVISION,19,0,19,0,0.0,41
Rajasthan,2018,15,ABRJP,JODHPUR DIVISION,17,0,17,0,0.0,42
Rajasthan,2018,15,ABRJP,KOTA DIVISION,1,0,1,0,0.0,43
Rajasthan,2018,15,ABRJP,UDAIPUR DIVISON,1,0,1,0,0.0,44
Rajasthan,2018,15,AINHCP,BIKANER DIVISION,1,0,1,0,0.0,45
Rajasthan,2018,15,AINHCP,JAIPUR DIVISION,1,0,1,0,0.0,46
Rajasthan,2018,15,AINHCP,JODHPUR DIVISION,1,0,1,0,0.0,47
Rajasthan,2018,15,AINHCP,UDAIPUR DIVISON,2,0,2,0,0.0,48
Rajasthan,2018,15,AKSMP,JAIPUR DIVISION,2,0,2,0,0.0,49
Rajasthan,2018,15,ANASP,BIKANER DIVISION,1,0,1,0,0.0,50
Rajasthan,2018,15,ANJUP,AJMER STATE,1,0,1,0,0.0,51
Rajasthan,2018,15,ANJUP,UDAIPUR DIVISON,1,0,1,0,0.0,52
Rajasthan,2018,15,API,AJMER STATE,3,0,3,0,0.0,53
Rajasthan,2018,15,API,BHARATPUR DIVISION,6,0,6,0,0.0,54
Rajasthan,2018,15,API,BIKANER DIVISION,2,0,2,0,0.0,55
Rajasthan,2018,15,API,JAIPUR DIVISION,16,0,16,0,0.0,56
Rajasthan,2018,15,API,KOTA DIVISION,1,0,1,0,0.0,57
Rajasthan,2018,15,ASP,AJMER STATE,1,0,1,0,0.0,58
Rajasthan,2018,15,ASSP,BIKANER DIVISION,1,0,1,0,0.0,59
Rajasthan,2018,15,ASSP,KOTA DIVISION,1,0,1,0,0.0,60
Rajasthan,2018,15,AVIRP,JODHPUR DIVISION,2,0,2,0,0.0,61
Rajasthan,2018,15,BASD,AJMER STATE,5,0,5,0,0.0,62
Rajasthan,2018,15,BASD,BIKANER DIVISION,2,0,2,0,0.0,63
Rajasthan,2018,15,BASD,JAIPUR DIVISION,1,0,1,0,0.0,64
Rajasthan,2018,15,BASD,JODHPUR DIVISION,1,0,1,0,0.0,65
Rajasthan,2018,15,BHBP,JAIPUR DIVISION,1,0,1,0,0.0,66
Rajasthan,2018,15,BHKP,BHARATPUR DIVISION,1,0,1,0,0.0,67
Rajasthan,2018,15,BHKP,JAIPUR DIVISION,1,0,1,0,0.0,68
Rajasthan,2018,15,BHKP,KOTA DIVISION,3,0,3,0,0.0,69
Rajasthan,2018,15,BHTYP,JAIPUR DIVISION,1,0,1,0,0.0,70
Rajasthan,2018,15,BJHP,AJMER STATE,2,0,2,0,0.0,71
Rajasthan,2018,15,BJHP,JAIPUR DIVISION,1,0,1,0,0.0,72
Rajasthan,2018,15,BJKD(D),JAIPUR DIVISION,4,0,4,0,0.0,73
Rajasthan,2018,15,BJKD(D),UDAIPUR DIVISON,2,0,2,0,0.0,74
Rajasthan,2018,15,BJP,AJMER STATE,29,13,1,4.78,44.83,9
Rajasthan,2018,15,BJP,BHARATPUR DIVISION,19,1,0,0.69,5.26,21
Rajasthan,2018,15,BJP,BIKANER DIVISION,24,10,0,2.49,41.67,11
Rajasthan,2018,15,BJP,JAIPUR DIVISION,49,10,2,1.37,20.41,15
Rajasthan,2018,15,BJP,JODHPUR DIVISION,33,14,0,4.79,42.42,10
Rajasthan,2018,15,BJP,KOTA DIVISION,17,10,0,3.93,58.82,4
Rajasthan,2018,15,BJP,UDAIPUR DIVISON,28,15,0,4.6,53.57,5
Rajasthan,2018,15,BJSTP,JAIPUR DIVISION,1,0,1,0,0.0,75
Rajasthan,2018,15,BLSP,AJMER STATE,1,0,1,0,0.0,76
Rajasthan,2018,15,BLSP,BIKANER DIVISION,1,0,1,0,0.0,77
Rajasthan,2018,15,BLSP,JAIPUR DIVISION,2,0,2,0,0.0,78
Rajasthan,2018,15,BMUP,BIKANER DIVISION,6,0,6,0,0.0,79
Rajasthan,2018,15,BMUP,JAIPUR DIVISION,5,0,5,0,0.0,80
Rajasthan,2018,15,BMUP,JODHPUR DIVISION,6,0,6,0,0.0,81
Rajasthan,2018,15,BMUP,KOTA DIVISION,1,0,1,0,0.0,82
Rajasthan,2018,15,BMUP,UDAIPUR DIVISON,3,0,3,0,0.0,83
Rajasthan,2018,15,BPCP,BHARATPUR DIVISION,1,0,1,0,0.0,84
Rajasthan,2018,15,BPCP,BIKANER DIVISION,1,0,1,0,0.0,85
Rajasthan,2018,15,BPCP,JAIPUR DIVISION,9,0,9,0,0.0,86
Rajasthan,2018,15,BPCP,JODHPUR DIVISION,1,0,1,0,0.0,87
Rajasthan,2018,15,BPULP,AJMER STATE,1,0,1,0,0.0,88
Rajasthan,2018,15,BRPP,BIKANER DIVISION,2,0,2,0,0.0,89
Rajasthan,2018,15,BRPP,KOTA DIVISION,1,0,1,0,0.0,90
Rajasthan,2018,15,BRSP,AJMER STATE,2,0,2,0,0.0,91
Rajasthan,2018,15,BRSP,BHARATPUR DIVISION,7,0,7,0,0.0,92
Rajasthan,2018,15,BRSP,BIKANER DIVISION,1,0,1,0,0.0,93
Rajasthan,2018,15,BRSP,JAIPUR DIVISION,7,0,7,0,0.0,94
Rajasthan,2018,15,BRSP,KOTA DIVISION,4,0,4,0,0.0,95
Rajasthan,2018,15,BSP,AJMER STATE,28,0,28,0,0.0,96
Rajasthan,2018,15,BSP,BHARATPUR DIVISION,18,3,14,1.26,16.67,17
Rajasthan,2018,15,BSP,BIKANER DIVISION,23,0,21,0,0.0,97
Rajasthan,2018,15,BSP,JAIPUR DIVISION,45,3,39,0.25,6.67,20
Rajasthan,2018,15,BSP,JODHPUR DIVISION,30,0,30,0,0.0,98
Rajasthan,2018,15,BSP,KOTA DIVISION,17,0,17,0,0.0,99
Rajasthan,2018,15,BSP,UDAIPUR DIVISON,28,0,28,0,0.0,100
Rajasthan,2018,15,BTP,JODHPUR DIVISION,1,0,1,0,0.0,101
Rajasthan,2018,15,BTP,UDAIPUR DIVISON,10,2,7,1.03,20.0,16
Rajasthan,2018,15,BVHNP,AJMER STATE,5,0,5,0,0.0,102
Rajasthan,2018,15,BVHNP,BHARATPUR DIVISION,4,0,3,0,0.0,103
Rajasthan,2018,15,BVHNP,BIKANER DIVISION,6,0,6,0,0.0,104
Rajasthan,2018,15,BVHNP,JAIPUR DIVISION,26,0,26,0,0.0,105
Rajasthan,2018,15,BVHNP,JODHPUR DIVISION,11,0,11,0,0.0,106
Rajasthan,2018,15,BVHNP,KOTA DIVISION,4,0,4,0,0.0,107
Rajasthan,2018,15,BVHNP,UDAIPUR DIVISON,6,0,6,0,0.0,108
Rajasthan,2018,15,BYS,AJMER STATE,12,0,12,0,0.0,109
Rajasthan,2018,15,BYS,BHARATPUR DIVISION,14,0,14,0,0.0,110
Rajasthan,2018,15,BYS,BIKANER DIVISION,1,0,1,0,0.0,111
Rajasthan,2018,15,BYS,JAIPUR DIVISION,26,0,26,0,0.0,112
Rajasthan,2018,15,BYS,JODHPUR DIVISION,7,0,7,0,0.0,113
Rajasthan,2018,15,BYS,KOTA DIVISION,12,0,12,0,0.0,114
Rajasthan,2018,15,BYS,UDAIPUR DIVISON,8,0,8,0,0.0,115
Rajasthan,2018,15,CPI,AJMER STATE,2,0,2,0,0.0,116
Rajasthan,2018,15,CPI,BHARATPUR DIVISION,1,0,1,0,0.0,117
Rajasthan,2018,15,CPI,BIKANER DIVISION,3,0,3,0,0.0,118
Rajasthan,2018,15,CPI,JAIPUR DIVISION,2,0,2,0,0.0,119
Rajasthan,2018,15,CPI,JODHPUR DIVISION,1,0,1,0,0.0,120
Rajasthan,2018,15,CPI,UDAIPUR DIVISON,7,0,7,0,0.0,121
Rajasthan,2018,15,CPI(ML)(L),JAIPUR DIVISION,3,0,3,0,0.0,122
Rajasthan,2018,15,CPI(ML)(L),UDAIPUR DIVISON,2,0,2,0,0.0,123
Rajasthan,2018,15,CPM,AJMER STATE,2,0,2,0,0.0,124
Rajasthan,2018,15,CPM,BIKANER DIVISION,12,2,9,2.07,16.67,18
Rajasthan,2018,15,CPM,JAIPUR DIVISION,9,0,7,0,0.0,125
Rajasthan,2018,15,CPM,JODHPUR DIVISION,1,0,1,0,0.0,126
Rajasthan,2018,15,CPM,KOTA DIVISION,1,0,1,0,0.0,127
Rajasthan,2018,15,CPM,UDAIPUR DIVISON,3,0,3,0,0.0,128
Rajasthan,2018,15,DKD,AJMER STATE,1,0,1,0,0.0,129
Rajasthan,2018,15,DKD,BHARATPUR DIVISION,2,0,2,0,0.0,130
Rajasthan,2018,15,DKD,BIKANER DIVISION,10,0,10,0,0.0,131
Rajasthan,2018,15,DKD,JAIPUR DIVISION,1,0,1,0,0.0,132
Rajasthan,2018,15,DKD,JODHPUR DIVISION,6,0,6,0,0.0,133
Rajasthan,2018,15,DSPVAD,AJMER STATE,1,0,1,0,0.0,134
Rajasthan,2018,15,DSPVAD,JAIPUR DIVISION,5,0,5,0,0.0,135
Rajasthan,2018,15,DSPVAD,JODHPUR DIVISION,2,0,2,0,0.0,136
Rajasthan,2018,15,GGP,JAIPUR DIVISION,1,0,1,0,0.0,137
Rajasthan,2018,15,HCP,JODHPUR DIVISION,1,0,1,0,0.0,138
Rajasthan,2018,15,HJP,JAIPUR DIVISION,2,0,2,0,0.0,139
Rajasthan,2018,15,HJP,JODHPUR DIVISION,1,0,1,0,0.0,140
Rajasthan,2018,15,HND,JODHPUR DIVISION,1,0,1,0,0.0,141
Rajasthan,2018,15,HND,KOTA DIVISION,1,0,1,0,0.0,142
Rajasthan,2018,15,HSS,AJMER STATE,2,0,2,0,0.0,143
Rajasthan,2018,15,HSS,JAIPUR DIVISION,1,0,1,0,0.0,144
Rajasthan,2018,15,HSS,JODHPUR DIVISION,1,0,1,0,0.0,145
Rajasthan,2018,15,IIC(R),JODHPUR DIVISION,1,0,1,0,0.0,146
Rajasthan,2018,15,INC,AJMER STATE,28,13,4,5.54,46.43,7
Rajasthan,2018,15,INC,BHARATPUR DIVISION,18,13,0,11.24,72.22,2
Rajasthan,2018,15,INC,BIKANER DIVISION,24,11,2,4.61,45.83,8
Rajasthan,2018,15,INC,JAIPUR DIVISION,48,29,4,5.8,60.42,3
Rajasthan,2018,15,INC,JODHPUR DIVISION,32,16,3,5.26,50.0,6
Rajasthan,2018,15,INC,KOTA DIVISION,17,7,0,4.28,41.18,12
Rajasthan,2018,15,INC,UDAIPUR DIVISON,27,10,0,2.93,37.04,13
Rajasthan,2018,15,INCP,AJMER STATE,1,0,1,0,0.0,147
Rajasthan,2018,15,INCP,UDAIPUR DIVISON,1,0,1,0,0.0,148
Rajasthan,2018,15,IND,AJMER STATE,119,1,113,0.07,0.84,26
Rajasthan,2018,15,IND,BHARATPUR DIVISION,79,1,77,0.08,1.27,25
Rajasthan,2018,15,IND,BIKANER DIVISION,121,1,113,0.04,0.83,27
Rajasthan,2018,15,IND,JAIPUR DIVISION,280,7,266,0.24,2.5,22
Rajasthan,2018,15,IND,JODHPUR DIVISION,122,2,115,0.05,1.64,23
Rajasthan,2018,15,IND,KOTA DIVISION,48,0,47,0,0.0,149
Rajasthan,2018,15,IND,UDAIPUR DIVISON,61,1,59,0.16,1.64,24
Rajasthan,2018,15,IPGP,AJMER STATE,5,0,5,0,0.0,150
Rajasthan,2018,15,IPGP,BHARATPUR DIVISION,1,0,1,0,0.0,151
Rajasthan,2018,15,IPGP,JAIPUR DIVISION,7,0,7,0,0.0,152
Rajasthan,2018,15,IPGP,JODHPUR DIVISION,1,0,1,0,0.0,153
Rajasthan,2018,15,IVD,KOTA DIVISION,1,0,1,0,0.0,154
Rajasthan,2018,15,JANADIP,JAIPUR DIVISION,1,0,1,0,0.0,155
Rajasthan,2018,15,JD(S),AJMER STATE,1,0,1,0,0.0,156
Rajasthan,2018,15,JD(S),JAIPUR DIVISION,1,0,1,0,0.0,157
