Assembly_No,TCPD_Prof_Main,MLAs_var
15,Agriculture,40
15,Business,69
15,Education,2
15,Former Government,1
15,Labourer or Daily Wage,2
15,Liberal Profession or Professional,5
15,Other,30
15,Politics,20
15,Retired or Pension,19
15,Salaried Work or Employed,4
15,Social Work,3
15,Unknown,4
14,Agricultural Labour,1
14,Agriculture,50
14,Business,61
14,Education,2
14,Former Government,2
14,Labourer or Daily Wage,1
14,Liberal Profession or Professional,10
14,Other,26
14,Politics,17
14,Retired or Pension,10
14,Salaried Work or Employed,7
14,Small Business or Self-employed,2
14,Social Work,4
14,Unknown,7
13,Other,195
13,Unknown,5
