Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
15,1605,10th Pass,6,73,2018,BJP,8.22
15,1605,12th Pass,9,73,2018,BJP,12.33
15,1605,5th Pass,4,73,2018,BJP,5.48
15,1605,8th Pass,4,73,2018,BJP,5.48
15,1605,Doctorate,2,73,2018,BJP,2.74
15,1605,Graduate,18,73,2018,BJP,24.66
15,1605,Graduate Professional,8,73,2018,BJP,10.96
15,1605,Literate,2,73,2018,BJP,2.74
15,1605,Others,3,73,2018,BJP,4.11
15,1605,Post Graduate,17,73,2018,BJP,23.29
15,16651,12th Pass,1,6,2018,BSP,16.67
15,16651,Graduate,1,6,2018,BSP,16.67
15,16651,Graduate Professional,3,6,2018,BSP,50
15,16651,Post Graduate,1,6,2018,BSP,16.67
15,2055,10th Pass,1,2,2018,BTP,50
15,2055,Graduate Professional,1,2,2018,BTP,50
15,14635,10th Pass,1,2,2018,CPM,50
15,14635,Unknown,1,2,2018,CPM,50
15,3482,10th Pass,7,99,2018,INC,7.07
15,3482,12th Pass,18,99,2018,INC,18.18
15,3482,8th Pass,3,99,2018,INC,3.03
15,3482,Doctorate,6,99,2018,INC,6.06
15,3482,Graduate,23,99,2018,INC,23.23
15,3482,Graduate Professional,14,99,2018,INC,14.14
15,3482,Literate,4,99,2018,INC,4.04
15,3482,Post Graduate,23,99,2018,INC,23.23
15,3482,Unknown,1,99,2018,INC,1.01
15,10809,10th Pass,1,13,2018,IND,7.69
15,10809,12th Pass,2,13,2018,IND,15.38
15,10809,Graduate,2,13,2018,IND,15.38
15,10809,Graduate Professional,3,13,2018,IND,23.08
15,10809,Post Graduate,3,13,2018,IND,23.08
15,10809,Unknown,2,13,2018,IND,15.38
15,12169,Doctorate,1,1,2018,RLD,100
15,6715,Graduate Professional,1,3,2018,RaLtP,33.33
15,6715,Literate,1,3,2018,RaLtP,33.33
15,6715,Others,1,3,2018,RaLtP,33.33
14,1605,10th Pass,15,163,2013,BJP,9.2
14,1605,12th Pass,21,163,2013,BJP,12.88
14,1605,5th Pass,7,163,2013,BJP,4.29
14,1605,8th Pass,10,163,2013,BJP,6.13
14,1605,Doctorate,6,163,2013,BJP,3.68
14,1605,Graduate,31,163,2013,BJP,19.02
14,1605,Graduate Professional,24,163,2013,BJP,14.72
14,1605,Literate,6,163,2013,BJP,3.68
14,1605,Others,4,163,2013,BJP,2.45
14,1605,Post Graduate,35,163,2013,BJP,21.47
14,1605,Unknown,4,163,2013,BJP,2.45
14,16651,12th Pass,1,3,2013,BSP,33.33
14,16651,Graduate Professional,2,3,2013,BSP,66.67
14,3482,10th Pass,2,21,2013,INC,9.52
14,3482,12th Pass,3,21,2013,INC,14.29
14,3482,5th Pass,1,21,2013,INC,4.76
14,3482,8th Pass,3,21,2013,INC,14.29
14,3482,Graduate,5,21,2013,INC,23.81
14,3482,Graduate Professional,4,21,2013,INC,19.05
14,3482,Post Graduate,3,21,2013,INC,14.29
14,10809,Graduate,2,7,2013,IND,28.57
14,10809,Graduate Professional,1,7,2013,IND,14.29
14,10809,Unknown,4,7,2013,IND,57.14
14,5671,Graduate Professional,3,4,2013,NPEP,75
14,5671,Literate,1,4,2013,NPEP,25
14,5682,Graduate,1,2,2013,NUZP,50
14,5682,Post Graduate,1,2,2013,NUZP,50
13,1605,10th Pass,6,78,2008,BJP,7.69
13,1605,12th Pass,11,78,2008,BJP,14.1
13,1605,5th Pass,3,78,2008,BJP,3.85
13,1605,8th Pass,4,78,2008,BJP,5.13
13,1605,Doctorate,2,78,2008,BJP,2.56
13,1605,Graduate,12,78,2008,BJP,15.38
13,1605,Graduate Professional,18,78,2008,BJP,23.08
13,1605,Literate,2,78,2008,BJP,2.56
13,1605,Others,2,78,2008,BJP,2.56
13,1605,Post Graduate,15,78,2008,BJP,19.23
13,1605,Unknown,3,78,2008,BJP,3.85
13,16651,12th Pass,1,6,2008,BSP,16.67
13,16651,5th Pass,1,6,2008,BSP,16.67
13,16651,Doctorate,1,6,2008,BSP,16.67
13,16651,Graduate Professional,2,6,2008,BSP,33.33
13,16651,Post Graduate,1,6,2008,BSP,16.67
13,14635,Graduate,1,3,2008,CPM,33.33
13,14635,Post Graduate,2,3,2008,CPM,66.67
13,3482,10th Pass,6,96,2008,INC,6.25
13,3482,12th Pass,18,96,2008,INC,18.75
13,3482,8th Pass,11,96,2008,INC,11.46
13,3482,Doctorate,2,96,2008,INC,2.08
13,3482,Graduate,19,96,2008,INC,19.79
13,3482,Graduate Professional,14,96,2008,INC,14.58
13,3482,Literate,4,96,2008,INC,4.17
13,3482,Others,2,96,2008,INC,2.08
13,3482,Post Graduate,16,96,2008,INC,16.67
13,3482,Unknown,4,96,2008,INC,4.17
13,10809,10th Pass,1,14,2008,IND,7.14
13,10809,12th Pass,1,14,2008,IND,7.14
13,10809,8th Pass,4,14,2008,IND,28.57
13,10809,Graduate,2,14,2008,IND,14.29
13,10809,Graduate Professional,3,14,2008,IND,21.43
13,10809,Illiterate,1,14,2008,IND,7.14
13,10809,Others,1,14,2008,IND,7.14
13,10809,Unknown,1,14,2008,IND,7.14
13,11002,8th Pass,1,1,2008,JD(U),100
13,11540,10th Pass,1,1,2008,LSWP,100
13,7425,Post Graduate,1,1,2008,SP,100
