Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
15,1605,Agriculture,15,73,2018,BJP,20.55
15,1605,Business,24,73,2018,BJP,32.88
15,1605,Education,1,73,2018,BJP,1.37
15,1605,Liberal Profession or Professional,1,73,2018,BJP,1.37
15,1605,Other,13,73,2018,BJP,17.81
15,1605,Politics,11,73,2018,BJP,15.07
15,1605,Retired or Pension,6,73,2018,BJP,8.22
15,1605,Salaried Work or Employed,2,73,2018,BJP,2.74
15,16651,Business,4,6,2018,BSP,66.67
15,16651,Liberal Profession or Professional,1,6,2018,BSP,16.67
15,16651,Politics,1,6,2018,BSP,16.67
15,2055,Agriculture,2,2,2018,BTP,100
15,14635,Agriculture,1,2,2018,CPM,50
15,14635,Unknown,1,2,2018,CPM,50
15,3482,Agriculture,20,99,2018,INC,20.2
15,3482,Business,37,99,2018,INC,37.37
15,3482,Former Government,1,99,2018,INC,1.01
15,3482,Labourer or Daily Wage,2,99,2018,INC,2.02
15,3482,Liberal Profession or Professional,3,99,2018,INC,3.03
15,3482,Other,13,99,2018,INC,13.13
15,3482,Politics,6,99,2018,INC,6.06
15,3482,Retired or Pension,11,99,2018,INC,11.11
15,3482,Salaried Work or Employed,2,99,2018,INC,2.02
15,3482,Social Work,3,99,2018,INC,3.03
15,3482,Unknown,1,99,2018,INC,1.01
15,10809,Agriculture,1,13,2018,IND,7.69
15,10809,Business,4,13,2018,IND,30.77
15,10809,Other,2,13,2018,IND,15.38
15,10809,Politics,2,13,2018,IND,15.38
15,10809,Retired or Pension,2,13,2018,IND,15.38
15,10809,Unknown,2,13,2018,IND,15.38
15,12169,Education,1,1,2018,RLD,100
15,6715,Agriculture,1,3,2018,RaLtP,33.33
15,6715,Other,2,3,2018,RaLtP,66.67
14,1605,Agricultural Labour,1,163,2013,BJP,0.61
14,1605,Agriculture,36,163,2013,BJP,22.09
14,1605,Business,52,163,2013,BJP,31.9
14,1605,Education,1,163,2013,BJP,0.61
14,1605,Former Government,2,163,2013,BJP,1.23
14,1605,Liberal Profession or Professional,9,163,2013,BJP,5.52
14,1605,Other,21,163,2013,BJP,12.88
14,1605,Politics,16,163,2013,BJP,9.82
14,1605,Retired or Pension,10,163,2013,BJP,6.13
14,1605,Salaried Work or Employed,7,163,2013,BJP,4.29
14,1605,Small Business or Self-employed,2,163,2013,BJP,1.23
14,1605,Social Work,3,163,2013,BJP,1.84
14,1605,Unknown,3,163,2013,BJP,1.84
14,16651,Business,2,3,2013,BSP,66.67
14,16651,Social Work,1,3,2013,BSP,33.33
14,3482,Agriculture,10,21,2013,INC,47.62
14,3482,Business,6,21,2013,INC,28.57
14,3482,Liberal Profession or Professional,1,21,2013,INC,4.76
14,3482,Other,4,21,2013,INC,19.05
14,10809,Agriculture,2,7,2013,IND,28.57
14,10809,Politics,1,7,2013,IND,14.29
14,10809,Unknown,4,7,2013,IND,57.14
14,5671,Agriculture,2,4,2013,NPEP,50
14,5671,Business,1,4,2013,NPEP,25
14,5671,Education,1,4,2013,NPEP,25
14,5682,Labourer or Daily Wage,1,2,2013,NUZP,50
14,5682,Other,1,2,2013,NUZP,50
13,1605,Other,77,78,2008,BJP,98.72
13,1605,Unknown,1,78,2008,BJP,1.28
13,16651,Other,6,6,2008,BSP,100
13,14635,Other,3,3,2008,CPM,100
13,3482,Other,93,96,2008,INC,96.88
13,3482,Unknown,3,96,2008,INC,3.12
13,10809,Other,13,14,2008,IND,92.86
13,10809,Unknown,1,14,2008,IND,7.14
13,11002,Other,1,1,2008,JD(U),100
13,11540,Other,1,1,2008,LSWP,100
13,7425,Other,1,1,2008,SP,100
