State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Sikkim,2019,9,1,YOKSAM-TASHIDING,BL,SANGAY LEPCHA,SKM,5686,1,48.52,2,THUTOP BHUTIA,1,22.72
Sikkim,2019,9,1,YOKSAM-TASHIDING,BL,DICHEN WANGCHUK BHUTIA,SDF,5607,2,47.84,1,SONAM DADUL BHUTIA,-1,-20.49
Sikkim,2019,9,1,YOKSAM-TASHIDING,BL,PHURKIT LEPCHA,HMSKP,158,3,1.35,,,,1.35
Sikkim,2019,9,1,YOKSAM-TASHIDING,BL,PEMA RINZING BHUTIA,INC,137,4,1.17,3,PEMA RINZING BHUTIA,-1,-2.49
Sikkim,2019,9,1,YOKSAM-TASHIDING,BL,NOTA,NOTA,132,5,1.13,4,None of the Above,-1,-1.08
Sikkim,2019,9,2,YANGTHANG,GEN,BHIM HANG LIMBOO,SKM,5184,1,48.47,2,KHARKA BDR. SUBBA,1,10.08
Sikkim,2019,9,2,YANGTHANG,GEN,DAL BDR. SUBBA,SDF,5137,2,48.03,1,CHANDRA MAYA LIMBOO (SUBBA),-1,-7.97
Sikkim,2019,9,2,YANGTHANG,GEN,DHAN SINGH LIMBOO,HMSKP,115,3,1.08,,,,1.08
Sikkim,2019,9,2,YANGTHANG,GEN,BINAY LIMBOO (TSONG),SKPP,93,4,0.87,,,,0.87
Sikkim,2019,9,2,YANGTHANG,GEN,MANGAL SUBBA (LIMBOO),INC,93,5,0.87,3,LALL MAN SUBBA,-2,-1.53
Sikkim,2019,9,2,YANGTHANG,GEN,NOTA,NOTA,74,6,0.69,4,None of the Above,-2,-1.02
Sikkim,2019,9,3,MANEYBUNG-DENTAM,GEN,NARENDRA KUMAR SUBBA,SDF,7134,1,55.15,1,NARENDRA KUMAR SUBBA,0,-17.28
Sikkim,2019,9,3,MANEYBUNG-DENTAM,GEN,PURNA HANG SUBBA,SKM,5630,2,43.52,2,BIRBAL TAMLING,0,19.94
Sikkim,2019,9,3,MANEYBUNG-DENTAM,GEN,NOTA,NOTA,172,3,1.33,3,None of the Above,0,-0.13
Sikkim,2019,9,4,GYALSHING-BARNYAK,GEN,LOK NATH SHARMA,SKM,5862,1,57.06,2,LOK NATH SHARMA,1,13.38
Sikkim,2019,9,4,GYALSHING-BARNYAK,GEN,LAXUMAN SHARMA,SDF,4048,2,39.4,1,SHER BAHADUR SUBEDI,-1,-11.46
Sikkim,2019,9,4,GYALSHING-BARNYAK,GEN,BHANU BHAKTA DAHAL,BJP,217,3,2.11,4,MANDHOJ THAPA,1,0.59
Sikkim,2019,9,4,GYALSHING-BARNYAK,GEN,NOTA,NOTA,73,4,0.71,3,None of the Above,-1,-0.95
Sikkim,2019,9,4,GYALSHING-BARNYAK,GEN,SUKUHANG SUBBA,HMSKP,73,5,0.71,,,,0.71
Sikkim,2019,9,5,RINCHENPONG,BL,KARMA SONAM LEPCHA,SDF,6582,1,52.24,1,KARMA SONAM LEPCHA,0,-16.13
Sikkim,2019,9,5,RINCHENPONG,BL,PHURBA TSH. BHUTIA,SKM,5513,2,43.76,2,PEMA KINZANG BHUTIA,0,16.86
Sikkim,2019,9,5,RINCHENPONG,BL,SANCHO LEPCHA,BJP,303,3,2.4,3,LATEN TSHERING SHERPA,0,0.67
Sikkim,2019,9,5,RINCHENPONG,BL,NOTA,NOTA,109,4,0.87,5,None of the Above,1,-0.03
Sikkim,2019,9,5,RINCHENPONG,BL,PHURCHUNG LEPCHA,INC,92,5,0.73,4,KARSANG SHERPA,-1,-0.5
Sikkim,2019,9,6,DARAMDIN,BL,MINGMA NORBU SHERPA,SKM,6219,1,49.08,2,MINGMA NORBU SHERPA,1,8.28
Sikkim,2019,9,6,DARAMDIN,BL,PEM NORBU SHERPA,SDF,5883,2,46.43,1,DANORBU SHERPA,-1,-8.46
Sikkim,2019,9,6,DARAMDIN,BL,ROZER TASHO LEPCHA,BJP,317,3,2.5,,,,2.5
Sikkim,2019,9,6,DARAMDIN,BL,PASSANG GYALCHEN SHERPA,INC,102,4,0.8,3,LADEN LEPCHA,-1,-1.89
Sikkim,2019,9,6,DARAMDIN,BL,NOTA,NOTA,78,5,0.62,4,None of the Above,-1,-1
Sikkim,2019,9,6,DARAMDIN,BL,DATEMPA SHERPA,SRMP,43,6,0.34,,,,0.34
Sikkim,2019,9,6,DARAMDIN,BL,SONAM GYATSO SHERPA,HMSKP,30,7,0.24,,,,0.24
Sikkim,2019,9,7,SOREONG-CHAKUNG,GEN,ADITYA GOLAY (TAMANG),SKM,6580,1,50.08,2,BHARATI SHARMA,1,10.88
Sikkim,2019,9,7,SOREONG-CHAKUNG,GEN,SANCHA RAJ SUBBA,SDF,6372,2,48.49,1,RAM BAHADUR LIMBOO (SUBBA),-1,-6.91
Sikkim,2019,9,7,SOREONG-CHAKUNG,GEN,NOTA,NOTA,188,3,1.43,3,None of the Above,0,-0.54
Sikkim,2019,9,8,SALGHARI-ZOO,SC,SUNITA GAJMER,SKM,4400,1,49.27,2,BHANU PRATAP RASAILY,1,6.29
Sikkim,2019,9,8,SALGHARI-ZOO,SC,DHAN KUMARI KAMI,SDF,4307,2,48.23,1,ARJUN KUMAR GHATANI,-1,-4.4
Sikkim,2019,9,8,SALGHARI-ZOO,SC,GANGA MAYA CINTURY,INC,119,3,1.33,5,KHARKA BAHADUR THATAL,2,0.54
Sikkim,2019,9,8,SALGHARI-ZOO,SC,NOTA,NOTA,71,4,0.79,4,None of the Above,0,-0.81
Sikkim,2019,9,8,SALGHARI-ZOO,SC,PAHAL MAN KAMI,HMSKP,34,5,0.38,,,,0.38
Sikkim,2019,9,9,BARFUNG,BL,TASHI THENDUP BHUTIA,SDF,5936,1,49.13,1,DORJEE DAZOM BHUTIA,0,-14.66
Sikkim,2019,9,9,BARFUNG,BL,LOBZANG BHUTIA,SKM,5839,2,48.32,2,PEMA WANGYAL BHUTIA,0,15.08
Sikkim,2019,9,9,BARFUNG,BL,MINGMA TSHRING SHERPA,SKPP,169,3,1.4,,,,1.4
Sikkim,2019,9,9,BARFUNG,BL,NOTA,NOTA,139,4,1.15,3,None of the Above,-1,-0.74
Sikkim,2019,9,10,POKLOK-KAMRANG,GEN,PAWAN CHAMLING,SDF,7731,1,59.09,1,KEDAR NATH RAI,0,-9.76
Sikkim,2019,9,10,POKLOK-KAMRANG,GEN,KHARKA BAHADUR RAI,SKM,4832,2,36.93,2,BHOJ RAJ RAI,0,8.3
Sikkim,2019,9,10,POKLOK-KAMRANG,GEN,YADHU KUMAR RAI,SRPP,197,3,1.51,,,,1.51
Sikkim,2019,9,10,POKLOK-KAMRANG,GEN,ISHWAR PRASAD RAI,INC,125,4,0.96,4,ISHWAR PRASAD RAI,0,-0.03
Sikkim,2019,9,10,POKLOK-KAMRANG,GEN,NOTA,NOTA,108,5,0.83,3,None of the Above,-2,-0.7
Sikkim,2019,9,10,POKLOK-KAMRANG,GEN,BIRKHA BAHADUR RAI,HMSKP,90,6,0.69,,,,0.69
Sikkim,2019,9,11,NAMCHI-SINGHITHANG,GEN,PAWAN CHAMLING,SDF,5054,1,50.31,1,PAWAN CHAMLING,0,-4.77
Sikkim,2019,9,11,NAMCHI-SINGHITHANG,GEN,GANESH RAI,SKM,4677,2,46.56,2,MILAN RAI,0,3.99
Sikkim,2019,9,11,NAMCHI-SINGHITHANG,GEN,KAMALA RAI,INC,87,3,0.87,4,KHUSH BDR. RAI,1,-0.19
Sikkim,2019,9,11,NAMCHI-SINGHITHANG,GEN,KHARGA BAHADUR RAI,SRPP,83,4,0.83,,,,0.83
Sikkim,2019,9,11,NAMCHI-SINGHITHANG,GEN,NOTA,NOTA,75,5,0.75,3,None of the Above,-2,-0.54
Sikkim,2019,9,11,NAMCHI-SINGHITHANG,GEN,HUKUM CHANDRA RAI,HMSKP,70,6,0.7,,,,0.7
Sikkim,2019,9,12,MELLI,GEN,FARWANTI TAMANG,SDF,6354,1,50.25,1,TULSHI DEVI RAI,0,-17.07
Sikkim,2019,9,12,MELLI,GEN,TILAK BASNET,SKM,5489,2,43.41,2,PREM BAHADUR KARKI,0,13.46
Sikkim,2019,9,12,MELLI,GEN,BHOLA CHAWHAN,BJP,382,3,3.02,,,,3.02
Sikkim,2019,9,12,MELLI,GEN,NOTA,NOTA,166,4,1.31,3,None of the Above,-1,-0.26
Sikkim,2019,9,12,MELLI,GEN,HARI BASNETT,INC,121,5,0.96,4,MAN BAHADUR RAI,-1,-0.2
Sikkim,2019,9,12,MELLI,GEN,BAL BIR TAMANG,SKPP,70,6,0.55,,,,0.55
Sikkim,2019,9,12,MELLI,GEN,LALL BAHADUR CHETTRI,HMSKP,63,7,0.5,,,,0.5
Sikkim,2019,9,13,NAMTHANG-RATEYPANI,GEN,SANJEET KHAREL,SKM,6848,1,53.59,2,PREM SINGH TAMANG,1,10.21
Sikkim,2019,9,13,NAMTHANG-RATEYPANI,GEN,BIRJAN TAMANG,SDF,5543,2,43.38,1,TILU GURUNG,-1,-10.46
Sikkim,2019,9,13,NAMTHANG-RATEYPANI,GEN,SANCHA MAN CHETTRI,INC,128,3,1,4,DIK MAYA BASNET,1,0.03
Sikkim,2019,9,13,NAMTHANG-RATEYPANI,GEN,NOTA,NOTA,89,4,0.7,3,None of the Above,-1,-0.29
Sikkim,2019,9,13,NAMTHANG-RATEYPANI,GEN,GANGA RAM SHARMA,SKPP,83,5,0.65,,,,0.65
Sikkim,2019,9,13,NAMTHANG-RATEYPANI,GEN,MADAN TAMANG,HMSKP,47,6,0.37,,,,0.37
Sikkim,2019,9,13,NAMTHANG-RATEYPANI,GEN,USHA GURUNG,JMBP,41,7,0.32,,,,0.32
Sikkim,2019,9,14,TEMI-NAMPHING,GEN,BEDU SINGH PANTH,SKM,6084,1,51.7,2,LALIT SHARMA,1,9.92
Sikkim,2019,9,14,TEMI-NAMPHING,GEN,GARJAMAN GURUNG,SDF,5314,2,45.16,1,GARJAMAN GURUNG,-1,-10.22
Sikkim,2019,9,14,TEMI-NAMPHING,GEN,DEEPAK KUMAR BHANDARI,INC,146,3,1.24,4,DEEPAK BHANDARI,1,0.16
Sikkim,2019,9,14,TEMI-NAMPHING,GEN,DURGA BAHADUR CHHETRI,HMSKP,142,4,1.21,,,,1.21
Sikkim,2019,9,14,TEMI-NAMPHING,GEN,NOTA,NOTA,82,5,0.7,3,None of the Above,-2,-1.06
Sikkim,2019,9,15,RANGANG-YANGANG,GEN,RAJ KUMARI THAPA,SDF,6146,1,53.47,1,PAWAN CHAMLING,0,-10.37
Sikkim,2019,9,15,RANGANG-YANGANG,GEN,RAJ KUMAR BASNET,SKM,4621,2,40.2,2,BIKASH BASNET,0,7.98
