State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Sikkim,2019,9,SDF,32,15,0,5.1,46.88,2
Sikkim,2019,9,SKM,32,17,0,4.89,53.12,1
Sikkim,2014,8,SDF,32,22,0,15.57,68.75,1
Sikkim,2014,8,SKM,32,10,0,2.89,31.25,2
Sikkim,2009,7,SDF,32,32,0,36.77,100.0,1
Sikkim,2004,6,INC,28,1,6,0.15,3.57,2
Sikkim,2004,6,SDF,28,27,0,44.04,96.43,1
Sikkim,1999,5,IND,9,1,7,5.29,11.11,3
Sikkim,1999,5,SDF,31,24,0,13.02,77.42,1
Sikkim,1999,5,SSP,32,7,1,2.11,21.88,2
Sikkim,1994,4,INC,31,2,17,0.28,6.45,3
Sikkim,1994,4,IND,76,1,75,0.03,1.32,4
Sikkim,1994,4,SDF,32,19,1,10.56,59.38,1
Sikkim,1994,4,SSP,31,10,1,4.01,32.26,2
Sikkim,1989,3,SSP,32,32,0,46.07,100.0,1
Sikkim,1985,2,INC,32,1,5,0.47,3.12,2
Sikkim,1985,2,IND,94,1,91,0.06,1.06,3
Sikkim,1985,2,SSP,32,30,0,35.69,93.75,1
Sikkim,1979,1,IND,108,1,102,0.82,0.93,4
Sikkim,1979,1,SCR,27,11,11,6.14,40.74,2
Sikkim,1979,1,SJP,31,16,4,9.28,51.61,1
Sikkim,1979,1,SPC,32,4,19,2.06,12.5,3
