State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Sikkim,2019,9,BJP,SIKKIM,12,0,12,0,0.0,3
Sikkim,2019,9,HMSKP,SIKKIM,23,0,23,0,0.0,4
Sikkim,2019,9,INC,SIKKIM,24,0,24,0,0.0,5
Sikkim,2019,9,IND,SIKKIM,9,0,8,0,0.0,6
Sikkim,2019,9,JMBP,SIKKIM,1,0,1,0,0.0,7
Sikkim,2019,9,NOTA,SIKKIM,32,0,0,0,0.0,8
Sikkim,2019,9,SDF,SIKKIM,32,15,0,5.1,46.88,2
Sikkim,2019,9,SKM,SIKKIM,32,17,0,4.89,53.12,1
Sikkim,2019,9,SKPP,SIKKIM,10,0,10,0,0.0,9
Sikkim,2019,9,SRMP,SIKKIM,3,0,3,0,0.0,10
Sikkim,2019,9,SRPP,SIKKIM,3,0,3,0,0.0,11
Sikkim,2019,9,SUTF,SIKKIM,1,0,1,0,0.0,12
Sikkim,2014,8,AITC,SIKKIM,7,0,7,0,0.0,3
Sikkim,2014,8,BJP,SIKKIM,13,0,13,0,0.0,4
Sikkim,2014,8,INC,SIKKIM,32,0,32,0,0.0,5
Sikkim,2014,8,IND,SIKKIM,5,0,5,0,0.0,6
Sikkim,2014,8,NOTA,SIKKIM,32,0,0,0,0.0,7
Sikkim,2014,8,SDF,SIKKIM,32,22,0,15.57,68.75,1
Sikkim,2014,8,SKM,SIKKIM,32,10,0,2.89,31.25,2
Sikkim,2009,7,BJP,SIKKIM,11,0,11,0,0.0,2
Sikkim,2009,7,CPM,SIKKIM,3,0,3,0,0.0,3
Sikkim,2009,7,INC,SIKKIM,32,0,4,0,0.0,4
Sikkim,2009,7,IND,SIKKIM,25,0,25,0,0.0,5
Sikkim,2009,7,NCP,SIKKIM,11,0,11,0,0.0,6
Sikkim,2009,7,SDF,SIKKIM,32,32,0,36.77,100.0,1
Sikkim,2009,7,SGPP,SIKKIM,27,0,27,0,0.0,7
Sikkim,2009,7,SHRP,SIKKIM,20,0,19,0,0.0,8
Sikkim,2009,7,SJEP,SIKKIM,6,0,6,0,0.0,9
