Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
9,7925,10th Pass,3,15,2019,SDF,20
9,7925,12th Pass,2,15,2019,SDF,13.33
9,7925,8th Pass,3,15,2019,SDF,20
9,7925,Doctorate,2,15,2019,SDF,13.33
9,7925,Graduate,2,15,2019,SDF,13.33
9,7925,Graduate Professional,3,15,2019,SDF,20
9,16569,10th Pass,3,17,2019,SKM,17.65
9,16569,12th Pass,3,17,2019,SKM,17.65
9,16569,5th Pass,1,17,2019,SKM,5.88
9,16569,8th Pass,1,17,2019,SKM,5.88
9,16569,Graduate,8,17,2019,SKM,47.06
9,16569,Graduate Professional,1,17,2019,SKM,5.88
8,7925,10th Pass,4,22,2014,SDF,18.18
8,7925,12th Pass,4,22,2014,SDF,18.18
8,7925,5th Pass,2,22,2014,SDF,9.09
8,7925,8th Pass,2,22,2014,SDF,9.09
8,7925,Doctorate,2,22,2014,SDF,9.09
8,7925,Graduate,4,22,2014,SDF,18.18
8,7925,Graduate Professional,3,22,2014,SDF,13.64
8,7925,Post Graduate,1,22,2014,SDF,4.55
8,16569,10th Pass,1,10,2014,SKM,10
8,16569,12th Pass,3,10,2014,SKM,30
8,16569,Graduate,5,10,2014,SKM,50
8,16569,Graduate Professional,1,10,2014,SKM,10
7,7925,10th Pass,6,32,2009,SDF,18.75
7,7925,12th Pass,6,32,2009,SDF,18.75
7,7925,8th Pass,4,32,2009,SDF,12.5
7,7925,Doctorate,2,32,2009,SDF,6.25
7,7925,Graduate,11,32,2009,SDF,34.38
7,7925,Graduate Professional,2,32,2009,SDF,6.25
7,7925,Literate,1,32,2009,SDF,3.12
6,3482,Unknown,1,1,2004,INC,100
6,7925,Graduate,1,27,2004,SDF,3.7
6,7925,Graduate Professional,1,27,2004,SDF,3.7
6,7925,Literate,1,27,2004,SDF,3.7
6,7925,Unknown,24,27,2004,SDF,88.89
