Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,1605,12,0,0,1,9,3,0,0,0,0,0,BJP,2.94,#ff9933,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,17265,23,0,2,0,19,1,3,0,0,0,0,HMSKP,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,3482,24,0,1,7,14,7,3,0,0,0,0,INC,20.59,#138808,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,10809,9,0,0,1,6,1,2,0,0,0,0,IND,2.94,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,4036,1,0,0,0,1,0,0,0,0,0,0,JMBP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,7925,32,16,7,17,14,6,12,7,6,8,1,SDF,50,#FFCB03,80,16 (80.0%),50,50.0% (8/16),14.29,14.29% (1/7),35
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,16569,32,3,3,7,22,5,5,13,9,3,1,SKM,20.59,#F20A00,15,3 (15.0%),100,100.0% (3/3),33.33,33.33% (1/3),65
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,17266,10,0,1,0,9,0,1,0,0,0,0,SKPP,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,18140,3,1,0,1,2,1,0,0,0,0,0,SRMP,2.94,,5,1 (5.0%),0,0.0% (0/1),nan,nan% (0/0),0
9,150,20,11,32,15,2,34,99,24,27,20,15,2019,24897,3,0,1,0,2,0,1,0,0,0,0,SRPP,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
