Assembly_No,MyNeta_education,MLAs_var
12,10th Pass,30
12,12th Pass,22
12,5th Pass,6
12,8th Pass,18
12,Doctorate,6
12,Graduate,40
12,Graduate Professional,48
12,Others,4
12,Post Graduate,47
12,Unknown,13
11,10th Pass,18
11,12th Pass,10
11,5th Pass,2
11,8th Pass,8
11,Doctorate,3
11,Graduate,10
11,Graduate Professional,17
11,Others,1
11,Post Graduate,26
11,Unknown,137
10,10th Pass,48
10,12th Pass,29
10,5th Pass,10
10,8th Pass,20
10,Doctorate,2
10,Graduate,42
10,Graduate Professional,32
10,Literate,3
10,Others,2
10,Post Graduate,33
10,Unknown,13
9,10th Pass,48
9,12th Pass,16
9,5th Pass,7
9,8th Pass,16
9,Doctorate,2
9,Graduate,38
9,Graduate Professional,34
9,Illiterate,2
9,Others,7
9,Post Graduate,28
9,Unknown,36
