Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,9.68,87.12,8.25,4.63,57.69,35.04,51.71,41.88,60.74,15.38
11,3728,103,51,232,41,6,350,3246,310,172,141,126,2016,9.39,87.07,8.32,4.61,44.4,21.98,60.78,54.31,49.51,14.63
10,2748,121,46,234,37,9,259,2408,204,136,162,134,2011,9.43,87.63,7.42,4.95,51.71,19.66,69.23,57.26,38.02,24.32
9,2586,97,56,234,53,16,217,2238,202,146,150,128,2006,8.39,86.54,7.81,5.65,41.45,23.93,64.1,54.7,57.73,30.19
8,1860,111,34,234,58,16,256,1504,209,147,180,147,2001,13.76,80.86,11.24,7.9,47.44,14.53,76.92,62.82,30.63,27.59
7,4008,63,19,234,109,27,292,3489,314,205,150,116,1996,7.29,87.05,7.83,5.11,26.92,8.12,64.1,49.57,30.16,24.77
6,2415,127,36,234,79,51,318,2004,278,133,178,139,1991,13.17,82.98,11.51,5.51,54.27,15.38,76.07,59.4,28.35,64.56
5,3046,109,24,234,108,7,255,2647,252,147,184,142,1989,8.37,86.9,8.27,4.83,46.58,10.26,78.63,60.68,22.02,6.48
4,1499,109,73,234,11,4,192,1224,180,95,142,125,1984,12.81,81.65,12.01,6.34,46.58,31.2,60.68,53.42,66.97,36.36
3,1029,106,68,234,22,9,211,788,202,39,162,134,1980,20.51,76.58,19.63,3.79,45.3,29.06,69.23,57.26,64.15,40.91
2,1390,50,19,234,43,15,107,1283,107,0,215,204,1977,7.7,92.3,7.7,0,21.37,8.12,91.88,87.18,38,34.88
1,748,0,0,234,0,0,0,748,0,0,234,234,1971,0,100,0,0,0,0,100,100,0,0
