State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Tamil_Nadu,2021,12,ADMK,234,46236492,38017733,191,66,0,34.55497382198953,28.21,33.29,40.48,2,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
Tamil_Nadu,2021,12,AIMIM,234,46236492,617447,3,0,3,0.0,0,0.01,0.51,9,
Tamil_Nadu,2021,12,AISMK,234,46236492,517521,3,0,3,0.0,0,0.01,1.27,10,
Tamil_Nadu,2021,12,AITC,234,46236492,350703,2,0,2,0.0,0,0,0.27,11,
Tamil_Nadu,2021,12,AMMK,234,46236492,32621900,165,0,158,0.0,0,2.35,3.33,12,Amma Makkal Munnettra Kazagam
Tamil_Nadu,2021,12,Aanaithinthiya Jananayaka Pathukappu Kazhagam,234,46236492,512787,3,0,3,0.0,0,0,0.11,13,
Tamil_Nadu,2021,12,Ahimsa Socialist Party,234,46236492,567813,3,0,3,0.0,0,0.01,0.48,14,
Tamil_Nadu,2021,12,Akhil Bharat Hindu Mahasabha,234,46236492,790692,4,0,4,0.0,0,0,0.24,15,
Tamil_Nadu,2021,12,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),234,46236492,168048,1,0,1,0.0,0,0,0.1,16,
Tamil_Nadu,2021,12,Akila India Vallalar Peravai,234,46236492,196719,1,0,1,0.0,0,0,0.19,17,
Tamil_Nadu,2021,12,All  India  Pattali  Munnetra Katchi,234,46236492,398340,2,0,2,0.0,0,0,0.09,18,
Tamil_Nadu,2021,12,All India Jananayaka Makkal Kazhagam,234,46236492,1906834,9,0,9,0.0,0,0.01,0.12,19,
Tamil_Nadu,2021,12,All India MGR Makkal Munnetra Kazhagam,234,46236492,767298,4,0,4,0.0,0,0,0.08,20,
Tamil_Nadu,2021,12,All India Uzhavargal Uzhaippalargal Katchi,234,46236492,382288,2,0,2,0.0,0,0,0.42,21,
Tamil_Nadu,2021,12,All India Youth Development Party,234,46236492,367875,2,0,2,0.0,0,0,0.08,22,
Tamil_Nadu,2021,12,All Pensioner’s Party,234,46236492,389508,2,0,2,0.0,0,0,0.12,23,
Tamil_Nadu,2021,12,Ambedkar Political Party,234,46236492,235849,1,0,1,0.0,0,0,0.08,24,
Tamil_Nadu,2021,12,Ambedkarite Party of India,234,46236492,1605847,8,0,8,0.0,0,0,0.07,25,
Tamil_Nadu,2021,12,Anaithindia Samudaya Munnetra Kazhagam,234,46236492,214460,1,0,1,0.0,0,0,0.05,26,
Tamil_Nadu,2021,12,Anaithu Makkal Arasiyal Katchi,234,46236492,4445204,22,0,22,0.0,0,0.01,0.07,27,
Tamil_Nadu,2021,12,Anaithu Makkal Munnetra Kazhagam,234,46236492,195118,1,0,1,0.0,0,0,0.12,28,
Tamil_Nadu,2021,12,Anaithu Makkal Puratchi Katchi,234,46236492,5460458,28,0,28,0.0,0,0.02,0.13,29,
Tamil_Nadu,2021,12,Anaithu Ulaga Tamilargal Munnetra Kalagam,234,46236492,192522,1,0,1,0.0,0,0,0.26,30,
Tamil_Nadu,2021,12,Anna Dravidar Kazhagam,234,46236492,3623671,18,0,18,0.0,0,0.01,0.12,31,
Tamil_Nadu,2021,12,Anna MGR Dravida Makkal Kalgam,234,46236492,3608504,17,0,17,0.0,0,0.01,0.09,32,
Tamil_Nadu,2021,12,Anna MGR Dravida Munnetra Kazhagam,234,46236492,388355,1,0,1,0.0,0,0,0.04,33,
Tamil_Nadu,2021,12,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,234,46236492,5132094,25,0,25,0.0,0,0.01,0.14,34,
Tamil_Nadu,2021,12,BJP,234,46236492,3542512,20,4,0,20.0,1.71,2.62,34.26,5,BHARATIYA JANATA PARTY
Tamil_Nadu,2021,12,BSP,234,46236492,32171635,162,0,162,0.0,0,0.22,0.31,35,BAHUJAN SAMAJ PARTY
Tamil_Nadu,2021,12,Bahujan Dravida Party,234,46236492,2907928,15,0,15,0.0,0,0,0.05,36,
Tamil_Nadu,2021,12,Bhartiya Manavadhikaar Federal Party,234,46236492,237751,1,0,1,0.0,0,0,0.03,37,
Tamil_Nadu,2021,12,CPI,234,46236492,1165783,6,2,0,33.333333333333336,0.85,1.09,43.28,7,COMMUNIST PARTY OF INDIA
Tamil_Nadu,2021,12,CPI(ML)(L),234,46236492,2407322,12,0,12,0.0,0,0.01,0.21,38,
Tamil_Nadu,2021,12,CPM,234,46236492,1111075,6,2,0,33.333333333333336,0.85,0.85,35.17,8,COMMUNIST PARTY OF INDIA (MARXIST)
Tamil_Nadu,2021,12,DMDK,234,46236492,11879606,60,0,60,0.0,0,0.43,1.68,39,DESIYA MURPOKKU DRAVIDA KAZHAGAM
Tamil_Nadu,2021,12,DMK,234,46236492,37523212,188,133,0,70.74468085106383,56.84,37.7,46.45,1,DRAVIDA MUMMETRA KAZHAGAM
Tamil_Nadu,2021,12,Desa Makkal Munnetrak Kazhgam,234,46236492,161717,1,0,1,0.0,0,0,0.12,40,
Tamil_Nadu,2021,12,Desiya Makkal Sakthi Katchi,234,46236492,3883570,19,0,19,0.0,0,0.01,0.11,41,
Tamil_Nadu,2021,12,Desiya Sirupanmayinar Makkal Iyakkam,234,46236492,1208543,6,0,6,0.0,0,0,0.1,42,
Tamil_Nadu,2021,12,Dhesiya Makkal Kazhagam,234,46236492,2173099,10,0,10,0.0,0,0.01,0.16,43,
Tamil_Nadu,2021,12,Dravida Murpokku Makkal Katchi,234,46236492,468993,2,0,2,0.0,0,0,0.04,44,
Tamil_Nadu,2021,12,Ezhuchi Tamilargal Munnetra Kazhagam,234,46236492,459840,2,0,2,0.0,0,0,0.06,45,
Tamil_Nadu,2021,12,Ganasangam Party of India,234,46236492,3282078,16,0,16,0.0,0,0.01,0.1,46,
Tamil_Nadu,2021,12,Hindustan Janta Party,234,46236492,154765,1,0,1,0.0,0,0,0.05,47,
Tamil_Nadu,2021,12,IJK,234,46236492,7819472,38,0,38,0.0,0,0.08,0.5,48,
Tamil_Nadu,2021,12,INC,234,46236492,4779109,25,18,0,72.0,7.69,4.27,41.36,3,INDIAN NATIONAL CONGRESS
Tamil_Nadu,2021,12,IND,234,46236492,46236492,2073,0,2072,0.0,0,1.39,1.39,49,
Tamil_Nadu,2021,12,IUML,234,46236492,578723,3,0,0,0.0,0,0.48,38.41,50,INDIAN UNION MUSLIM LEAGUE
Tamil_Nadu,2021,12,Ilantamilar Munnani Kazhagam,234,46236492,183352,1,0,1,0.0,0,0,0.08,51,
Tamil_Nadu,2021,12,Indhia Kudiarasu Katchi,234,46236492,244853,1,0,1,0.0,0,0,0.04,52,
Tamil_Nadu,2021,12,India Dravida Makkal Munnetra Katchi,234,46236492,1184720,6,0,6,0.0,0,0,0.08,53,
Tamil_Nadu,2021,12,JD(S),234,46236492,198781,1,0,1,0.0,0,0,0.6,54,
Tamil_Nadu,2021,12,Jebamani Janata,234,46236492,153430,1,0,1,0.0,0,0,0.07,55,
Tamil_Nadu,2021,12,Kamarajar Deseeya Congress,234,46236492,179899,1,0,1,0.0,0,0,0.04,56,
Tamil_Nadu,2021,12,Kongu  Desa  Marumalarchi  Makkal  Katchi,234,46236492,201385,1,0,1,0.0,0,0,0.47,57,
Tamil_Nadu,2021,12,LJP,234,46236492,1514221,7,0,7,0.0,0,0,0.06,58,
Tamil_Nadu,2021,12,MAKKAL SAKTHI KATCHI,234,46236492,182538,1,0,1,0.0,0,0,0.06,59,
Tamil_Nadu,2021,12,MGR Makkal Katchi,234,46236492,1079355,5,0,5,0.0,0,0,0.05,60,
Tamil_Nadu,2021,12,MNM,234,46236492,35326181,180,0,178,0.0,0,2.62,3.43,61,Makkal Needhi Maiam
Tamil_Nadu,2021,12,Mahathma Makkal Munnetra Kazhakam,234,46236492,138114,1,0,1,0.0,0,0,0.04,62,
Tamil_Nadu,2021,12,Makkal Munnetra Peravai,234,46236492,1449452,7,0,7,0.0,0,0,0.09,63,
Tamil_Nadu,2021,12,Makkal Nala Kazhagam,234,46236492,185930,1,0,1,0.0,0,0,0.28,64,
Tamil_Nadu,2021,12,Makkal Nalvaazhvuk Katchi,234,46236492,187027,1,0,1,0.0,0,0,0.06,65,
Tamil_Nadu,2021,12,"Makkal Sananayaga Kudiyarasu Katchi,",234,46236492,366195,2,0,2,0.0,0,0,0.08,66,
Tamil_Nadu,2021,12,"Makkal Thilagam Munnetra Kazhagam,",234,46236492,152037,1,0,1,0.0,0,0,0.07,67,
Tamil_Nadu,2021,12,Makkalatchi Katchi,234,46236492,588758,4,0,4,0.0,0,0,0.04,68,
Tamil_Nadu,2021,12,Manitha Urimaigal Kalaagam,234,46236492,563449,3,0,3,0.0,0,0,0.09,69,
Tamil_Nadu,2021,12,My India Party,234,46236492,12142525,59,0,59,0.0,0,0.03,0.1,70,
Tamil_Nadu,2021,12,NCP,234,46236492,1362517,6,0,6,0.0,0,0.01,0.25,71,
Tamil_Nadu,2021,12,NOTA,234,46236492,46236492,234,0,0,0.0,0,0.75,0.75,72,
Tamil_Nadu,2021,12,NPP,234,46236492,606919,3,0,3,0.0,0,0,0.2,73,
Tamil_Nadu,2021,12,NTK,234,46236492,46236492,234,0,233,0.0,0,6.58,6.58,74,Naam Tamilar Katchi
Tamil_Nadu,2021,12,Naadaalum Makkal Katchi,234,46236492,1666791,8,0,8,0.0,0,0,0.1,75,
Tamil_Nadu,2021,12,Naam Indiar Party,234,46236492,1841729,10,0,10,0.0,0,0.01,0.22,76,
Tamil_Nadu,2021,12,Nam India Naam Indiyar Katchi,234,46236492,564399,4,0,4,0.0,0,0,0.07,77,
Tamil_Nadu,2021,12,Namadhu Makkal Katchi,234,46236492,787459,4,0,4,0.0,0,0,0.19,78,
Tamil_Nadu,2021,12,Namathu Kongu Munnetra Kalagam,234,46236492,556369,3,0,3,0.0,0,0,0.08,79,
Tamil_Nadu,2021,12,National Democratic Party of South India,234,46236492,2078005,10,0,10,0.0,0,0,0.05,80,
Tamil_Nadu,2021,12,New Generation People’s Party,234,46236492,4071692,20,0,20,0.0,0,0.01,0.13,81,
