State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,GOVINDARAJAN T.J,DMK,126452,1,56.94,2,SEKAR C H,1,26.18
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,PRAKASH M,PMK,75514,2,34,3,SELVARAJ M,1,13.91
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,USHA,NTK,11701,3,5.27,8,SURESHKUMAR S,5,4.69
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,DILLIY K.M,DMDK,2576,4,1.16,4,GEETHA K,0,-1.91
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,None Of The Above,NOTA,1783,5,0.8,6,None of the Above,1,0.11
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,NAGARAJ S,BSP,1038,6,0.47,7,MURALI KRISHNA M (A) SAMARAN,1,-0.13
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,SARAVANAN V,IJK,816,7,0.37,,,,0.37
Tamil_Nadu,2021,12,1,GUMMIDIPUNDI,GEN,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,12,0.11,,,,0.11
Tamil_Nadu,2021,12,2,PONNERI,SC,DURAI. CHANDRASEKAR,INC,94528,1,44.94,,,,44.94
Tamil_Nadu,2021,12,2,PONNERI,SC,BALARAMAN. P,ADMK,84839,2,40.33,1,BALARAMAN P,-1,-8.23
Tamil_Nadu,2021,12,2,PONNERI,SC,MAHESWARI. A,NTK,19027,3,9.05,7,VINOTH BABU S,4,8.23
Tamil_Nadu,2021,12,2,PONNERI,SC,DESINGURAJAN. D,MNM,5394,4,2.56,,,,2.56
Tamil_Nadu,2021,12,2,PONNERI,SC,PON. RAJA,AMMK,2832,5,1.35,,,,1.35
Tamil_Nadu,2021,12,2,PONNERI,SC,None Of The Above,NOTA,1554,6,0.74,5,None of the Above,-1,-0.42
Tamil_Nadu,2021,12,2,PONNERI,SC,BHAVANI ILAVENIL. J,BSP,1106,7,0.53,8,RAJA S,1,-0.05
Tamil_Nadu,2021,12,2,PONNERI,SC,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,190,10,0.09,,,,0.09
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,S.Chandran,DMK,120314,1,51.72,,,,51.72
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,G.Hari,ADMK,91061,2,39.15,1,NARASIMHAN P M,-1,-2.69
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,L.AKILA,NTK,12007,3,5.16,8,PRABU S,5,4.68
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,D.Krishnamoorthi,DMDK,3928,4,1.69,4,KRISHNAMURTHY D,0,-5.35
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,None Of The Above,NOTA,1665,5,0.72,6,None of the Above,1,-0.21
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,N.MAGENDIRAN,BSP,717,8,0.31,7,JAIBASKARAN S,-1,-0.34
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,M.D.Thanigai Malai,IJK,353,10,0.15,,,,0.15
Tamil_Nadu,2021,12,3,TIRUTTANI,GEN,Manikkam,All India Jananayaka Makkal Kazhagam,121,13,0.05,,,,0.05
Tamil_Nadu,2021,12,4,THIRUVALLUR,GEN,"RAAJENDRAN, V.G.",DMK,107709,1,50.27,1,RAAJENDRAN V G,0,11.25
Tamil_Nadu,2021,12,4,THIRUVALLUR,GEN,"RAMANAH, BE VEE",ADMK,85008,2,39.68,2,BASKARAN A,0,3.15
Tamil_Nadu,2021,12,4,THIRUVALLUR,GEN,"PASUPATHY, P.",NTK,15028,3,7.01,7,SENTHIL KUMAR K,4,6.31
Tamil_Nadu,2021,12,4,THIRUVALLUR,GEN,"DOSS, D.",BSP,2329,4,1.09,5,PREM SEKAR M,1,0.04
Tamil_Nadu,2021,12,4,THIRUVALLUR,GEN,None Of The Above,NOTA,1872,5,0.87,8,None of the Above,3,0.18
Tamil_Nadu,2021,12,4,THIRUVALLUR,GEN,"GURU, N.",AMMK,1077,6,0.5,,,,0.5
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,Krishnaswamy A,DMK,149578,1,56.72,2,PARANTHAMEN I,1,18.31
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,Rajamannar S X,PMK,55468,2,21.03,3,PARTHASARATHY C,1,14.44
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,Manimekalai A,NTK,29871,3,11.33,7,PONNARASU A,4,10.26
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,Revathi Manimegalai J,MNM,11927,4,4.52,,,,4.52
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,Elumalai T.A.,AMMK,8805,5,3.34,,,,3.34
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,Sathyamurthy A C,BSP,2891,6,1.1,8,VIJAYABALAJI V,2,0.24
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,None Of The Above,NOTA,2867,7,1.09,6,None of the Above,-1,-0.27
Tamil_Nadu,2021,12,5,POONAMALLEE,SC,Boshya Gayathri M,My India Party,290,11,0.11,,,,0.11
Tamil_Nadu,2021,12,6,AVADI,GEN,Nasar S M,DMK,150287,1,49.94,2,NASAR S M,1,10.54
Tamil_Nadu,2021,12,6,AVADI,GEN,Pandiarajan K,ADMK,95012,2,31.57,1,PANDIA RAJAN K,-1,-8.35
Tamil_Nadu,2021,12,6,AVADI,GEN,VIJAYALAKSHMI G,NTK,30087,3,10,7,NALLATHAMBI S,4,8.41
Tamil_Nadu,2021,12,6,AVADI,GEN,Udhayakumar V,MNM,17092,4,5.68,,,,5.68
Tamil_Nadu,2021,12,6,AVADI,GEN,None Of The Above,NOTA,2381,5,0.79,6,None of the Above,1,-1.05
Tamil_Nadu,2021,12,6,AVADI,GEN,Sankar N M,DMDK,1911,6,0.64,,,,0.64
Tamil_Nadu,2021,12,6,AVADI,GEN,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1263,7,0.42,,,,0.42
Tamil_Nadu,2021,12,6,AVADI,GEN,CHARLES S,BSP,773,8,0.26,8,CHARLES S,0,-0.29
Tamil_Nadu,2021,12,6,AVADI,GEN,Banumathi,My India Party,127,15,0.04,,,,0.04
Tamil_Nadu,2021,12,6,AVADI,GEN,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,16,0.04,,,,0.04
Tamil_Nadu,2021,12,6,AVADI,GEN,Viswanathan R,MGR Makkal Katchi,108,17,0.04,,,,0.04
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,GANAPATHY.K,DMK,121298,1,44.29,,,,44.29
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,BENJAMIN.P,ADMK,89577,2,32.71,1,BENJAMIN P,-1,-7.41
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,PADMA PRIYA.S,MNM,33401,3,12.2,,,,12.2
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,GANESHKUMAR.G,NTK,21045,4,7.68,6,VASU M,2,5.19
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,LUCKY MURUGAN.E,AMMK,2660,5,0.97,,,,0.97
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,None Of The Above,NOTA,2146,6,0.78,5,None of the Above,-1,-1.9
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,SHANMUGAM.K,Tamil Nadu Ilangyar Katchi,908,7,0.33,,,,0.33
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,SANTHAKUMAR.Y,BSP,628,8,0.23,8,MOHAMED ABBAS S,0,-0.09
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,LAVANYA.P,NCP,349,10,0.13,,,,0.13
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,NEVIS STELLA MARY.B,Anaithu Makkal Arasiyal Katchi,124,15,0.05,,,,0.05
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,MUTHURAMAN.S,Anna MGR Dravida Makkal Kalgam,69,18,0.03,,,,0.03
Tamil_Nadu,2021,12,7,MADURAVOYAL,GEN,SUMITHRA.R,Bahujan Dravida Party,64,20,0.02,,,,0.02
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,JOSEPH SAMUEL,DMK,114554,1,47.67,,,,47.67
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,V ALEXANDER,ADMK,72408,2,30.13,1,ALEXANDER V,-1,-10.97
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,R ANBU THENARASAN,NTK,22701,3,9.45,7,ANBUTHENNARASAN R,4,7.25
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,S VAITHESWARAN,MNM,22370,4,9.31,,,,9.31
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,S VEDHACHALAM,AMMK,2631,5,1.09,,,,1.09
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,None Of The Above,NOTA,2358,6,0.98,6,None of the Above,0,-1.46
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,R Radha,NCP,615,8,0.26,9,ABUBAKKAR M,1,0.05
Tamil_Nadu,2021,12,8,AMBATTUR,GEN,S Veena,Anaithu Makkal Arasiyal Katchi,233,10,0.1,,,,0.1
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,SUDHARSANAM. S,DMK,151485,1,50.04,1,SUDHARSANAM S,0,4.61
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,Moorthy. V,ADMK,94414,2,31.19,2,DHAKSHNAMOORTHY D,0,-8.57
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,ELUMALAI. R,NTK,27453,3,9.07,7,ELUMALAI R,4,7.69
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,RAMESH,MNM,15877,4,5.25,,,,5.25
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,DHAKSHNAMOORTHY. D,AMMK,7104,5,2.35,,,,2.35
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,None Of The Above,NOTA,2166,6,0.72,6,None of the Above,0,-0.88
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,DEEPAK. S,BSP,1393,7,0.46,8,GIRI C,1,0.15
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,ARAVIND KUMAR. P,Desiya Makkal Sakthi Katchi,465,8,0.15,,,,0.15
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,SAMBATH. E,SHS,175,12,0.06,,,,0.06
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,VINOTH KUMAR. M,Naadaalum Makkal Katchi,114,15,0.04,,,,0.04
Tamil_Nadu,2021,12,9,MADAVARAM,GEN,YUVARAJ. M,Anna MGR Dravida Makkal Kalgam,81,19,0.03,,,,0.03
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,K.P.SHANKAR,DMK,88185,1,44.09,1,SAMY.K.P.P,0,0.84
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,K.KUPPAN,ADMK,50524,2,25.26,2,BALRAJ.B,0,-15.43
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,SEEMAN,NTK,48597,3,24.3,5,GOKUL.R,2,22.22
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,D.MOHAN,MNM,7053,4,3.53,,,,3.53
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,M.SOUNDARA PANDIAN,AMMK,1417,5,0.71,,,,0.71
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,None Of The Above,NOTA,1111,6,0.56,7,None of the Above,1,-0.97
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,M.KOTTESWARAN,BSP,367,9,0.18,,,,0.18
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,D.SASIRAJ,Samata Party,291,10,0.15,,,,0.15
Tamil_Nadu,2021,12,10,THIRUVOTTIYUR,GEN,R.EGAVALLI,Naadaalum Makkal Katchi,253,11,0.13,,,,0.13
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,1,51.2,2,SHIMLA MUTHUCHOZHAN,1,18.06
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,RAAJESH.R.S.,ADMK,53284,2,28.49,1,JAYALALITHAA J,-1,-27.38
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,GOWRISHANKAR . K,NTK,20437,3,10.93,7,DEVI G,4,9.49
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,FAZIL . A,MNM,11198,4,5.99,,,,5.99
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,DR. KALIDAS . P,AMMK,1852,5,0.99,,,,0.99
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,None Of The Above,NOTA,1704,6,0.91,6,None of the Above,0,-0.74
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,VIJAYAN.P,BSP,361,8,0.19,8,EDINBUROUGH J,0,0
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,SIVAKUMAR.S,SUCI,215,11,0.11,15,SADAIYANDI.E,4,0.03
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,BABU MAILAN . A,RPI(A),115,12,0.06,16,RAVI PARAYANAR.D,4,-0.01
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,RAMADASS . E,Makkal Nalvaazhvuk Katchi,104,14,0.06,,,,0.06
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,MOHAN . R,United States of India Party,79,16,0.04,,,,0.04
Tamil_Nadu,2021,12,11,DR. RADHAKRISHNAN NAGAR,GEN,VENUGOPAL.D,SHS,34,29,0.02,14,VENUGOPAL D,-15,-0.07
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,SHEKAR. R.D,DMK,105267,1,52.53,2,N R DHANAPALAN,1,10.42
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,DHANAPALAN N.R,ADMK,50291,2,25.1,1,P VETRIVEL,-1,-17.29
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,MERLIN SUGANTHI. S,NTK,19821,3,9.89,6,S VETRI THAMIZHAN,3,8.17
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,PONNUSAMY. A,MNM,17072,4,8.52,,,,8.52
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,LAKSHMI NARAYANAN. E,AMMK,4042,5,2.02,,,,2.02
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,None Of The Above,NOTA,1515,6,0.76,7,None of the Above,1,-0.92
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,SURESH. C,BSP,515,7,0.26,9,N RAJ,2,0.07
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,SOOSAI. M.A,RPI(A),296,8,0.15,,,,0.15
Tamil_Nadu,2021,12,12,PERAMBUR,GEN,SEBASTIN. J,SUCI,194,9,0.1,,,,0.1
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,M.K. STALIN,DMK,105522,1,60.86,1,STALIN.M.K,0,6.61
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,AADIRAJARAM,ADMK,35138,2,20.27,2,PRABHAKAR.J.C.D,0,-11.56
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,A.JAGADISH KUMAR,MNM,14076,3,8.12,,,,8.12
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,F.CAMILUS SELVA,NTK,11279,4,6.51,7,XAVIER FELIX.S,3,4.83
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,None Of The Above,NOTA,1529,5,0.88,5,None of the Above,0,-1.23
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,MJS.JAMAL MOHAMED MEERA,BSP,1295,6,0.75,9,VELAN.C,3,0.49
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,J.ARUMUGAM,AMMK,1080,7,0.62,,,,0.62
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,SURESH,Tamil Nadu Ilangyar Katchi,620,9,0.36,,,,0.36
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,ASHOK KUMAR.S,New Generation People’s Party,257,10,0.15,,,,0.15
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,G.VELMURUGAN,SHS,132,13,0.08,,,,0.08
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,VIVEKRAJ.J,Thamizhaga Munnetra Congress,116,15,0.07,,,,0.07
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,D.SURESHBABU,Desiya Makkal Sakthi Katchi,87,19,0.05,,,,0.05
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,ELUMALAI.K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,69,21,0.04,,,,0.04
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,M.RAJENDRAN,National Democratic Party of South India,65,22,0.04,,,,0.04
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,S.SURESHKUMAR,Makkalatchi Katchi,43,26,0.02,,,,0.02
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,A.SEETHA,Bahujan Dravida Party,41,27,0.02,,,,0.02
Tamil_Nadu,2021,12,13,KOLATHUR,GEN,E.RAJENDRAN,Anna MGR Dravida Makkal Kalgam,30,34,0.02,,,,0.02
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,A . Vetriazhagan,DMK,76127,1,52.83,1,B. RANGANATHAN,0,8.87
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,J.C.D.Prabhakar,ADMK,38890,2,26.99,2,THADI M.RAJU,0,-10.76
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,Sriharan,MNM,13364,3,9.27,,,,9.27
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,R.Sridar,NTK,10914,4,7.57,7,A.VAGAI VENTHAN,3,5.57
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,None Of The Above,NOTA,1444,5,1,6,None of the Above,1,-1.27
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,D.Subamangalam,DMDK,1094,6,0.76,3,T.PANDIYAN,-3,-4.73
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,Jagadesh Jayakumar,Valamaana  Tamizhagam   Katchi,261,8,0.18,,,,0.18
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,A.Palanivel,BSP,222,9,0.15,9,A.PALANIVEL,0,-0.1
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,L.Govindaraj,Nam India Naam Indiyar Katchi,189,12,0.13,,,,0.13
Tamil_Nadu,2021,12,14,VILLIVAKKAM,GEN,S. Raju Bharathi,Desiya Makkal Sakthi Katchi,88,15,0.06,,,,0.06
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,SIVAKUMAR.P,DMK,81727,1,61.13,1,SIVAKUMAR P @ THAYAGAM KAVI,0,15.88
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,KALYANI.P.L,ADMK,26714,2,19.98,2,NEELAKANDAN V,0,-22.84
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,ILLAVANJI.Dr.R,NTK,10921,3,8.17,6,GOWRI,3,6.83
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,OBATH.S,MNM,9710,4,7.26,,,,7.26
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,SEKAR.M.P,DMDK,1787,5,1.34,,,,1.34
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,None Of The Above,NOTA,1046,6,0.78,4,None of the Above,-2,-1.19
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,BAGAVATH SINGH.M,BSP,355,7,0.27,9,SATHISH S,2,-0.07
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,PRABHAKARAN.K,Makkalatchi Katchi,79,15,0.06,,,,0.06
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,RAVIKUMAR.S,Republican Party of India  (Sivaraj),62,17,0.05,,,,0.05
Tamil_Nadu,2021,12,15,THIRU-VI-KA-NAGAR,SC,RAVIPARAIYANAR.D,RPI(A),41,20,0.03,14,NAGESHRAO R,-6,-0.09
Tamil_Nadu,2021,12,16,EGMORE,SC,I.PARANTHAMEN,DMK,68832,1,57.71,1,RAVICHANDRAN K.S,0,12.07
Tamil_Nadu,2021,12,16,EGMORE,SC,B.JOHN PANDIAN,ADMK,30064,2,25.21,2,PARITHI ELLAMVAZHUTHI E,0,-11.58
Tamil_Nadu,2021,12,16,EGMORE,SC,U. PRIYADARSINI,MNM,9990,3,8.38,,,,8.38
Tamil_Nadu,2021,12,16,EGMORE,SC,P.GEETHA LAKSHMI,NTK,6276,4,5.26,7,JAYALAKSHMI I,3,4.06
Tamil_Nadu,2021,12,16,EGMORE,SC,T.PRABHU,DMDK,1293,5,1.08,4,PRABHU T,-1,-4.16
Tamil_Nadu,2021,12,16,EGMORE,SC,None Of The Above,NOTA,1176,6,0.99,5,None of the Above,-1,-1.36
Tamil_Nadu,2021,12,16,EGMORE,SC,K.P.SUNDARAPRATHABAN,BSP,361,8,0.3,8,EZHILARASAN I,0,0.09
Tamil_Nadu,2021,12,16,EGMORE,SC,J.CHANDRAKALA,LJP,92,12,0.08,,,,0.08
Tamil_Nadu,2021,12,16,EGMORE,SC,G.SHEEJA,Nam India Naam Indiyar Katchi,55,14,0.05,,,,0.05
Tamil_Nadu,2021,12,16,EGMORE,SC,R.REVANTH,Anaithu Makkal Arasiyal Katchi,45,15,0.04,,,,0.04
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,MURTHY.R.IDREAM,DMK,64424,1,53.16,,,,53.16
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,JAYAKUMAR.D,ADMK,36645,2,30.24,1,JAYAKUMAR D,-1,-14.97
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,GUNASEKARAN.S,MNM,8166,3,6.74,,,,6.74
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,KAMALI.S,NTK,7953,4,6.56,6,ANANDA RAJ B,2,4.61
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,RAMAJAYAM.C,AMMK,1128,5,0.93,,,,0.93
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,None Of The Above,NOTA,901,6,0.74,7,None of the Above,1,-1.18
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,JAMES MARTIN.M,Tamil Nadu Ilangyar Katchi,557,7,0.46,,,,0.46
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,KUMAR.S,BSP,180,9,0.15,11,RUBALINGAM K,2,-0.1
Tamil_Nadu,2021,12,17,ROYAPURAM,GEN,MOHAN.A,Tipu Sultan Party,172,10,0.14,,,,0.14
Tamil_Nadu,2021,12,18,HARBOUR,GEN,SEKARBABU. P.K,DMK,59317,1,58.35,1,SEKAR BABU P K,0,17.99
Tamil_Nadu,2021,12,18,HARBOUR,GEN,VINOJ. P. SELVAM,BJP,32043,2,31.52,3,KRISHNAKUMAR NADHANI,1,18.71
Tamil_Nadu,2021,12,18,HARBOUR,GEN,RAMESH. A,MNM,3763,3,3.7,,,,3.7
Tamil_Nadu,2021,12,18,HARBOUR,GEN,AHAMED FAZIL. M,NTK,3357,4,3.3,8,ANWAR BAIG,4,2.43
Tamil_Nadu,2021,12,18,HARBOUR,GEN,None Of The Above,NOTA,912,5,0.9,5,None of the Above,0,-1.12
Tamil_Nadu,2021,12,18,HARBOUR,GEN,SANTHANA KRISHNAN. P,AMMK,775,6,0.76,,,,0.76
Tamil_Nadu,2021,12,18,HARBOUR,GEN,RAVIKUMAR. C,BSP,410,7,0.4,10,NAZEER HUSSAIN S,3,0.23
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,UDHAYANIDHI STALIN,DMK,93285,1,67.89,1,J.ANBAZHAGAN,0,20.57
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,KASSALI A.V.A,PMK,23930,2,17.42,6,A.V.A.KASSALI,4,15.67
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,JAYASIMMARAJA  S M,NTK,9193,3,6.69,7,P.SIVAKUMAR,4,5.43
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,MOHAMMED IDRIS K,IJK,4096,4,2.98,,,,2.98
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,None Of The Above,NOTA,2061,5,1.5,5,None of the Above,0,-0.93
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,RAJENDRAN L,AMMK,1873,6,1.36,,,,1.36
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,RAGHU C,BSP,723,7,0.53,9,C.RAGHU,2,0.3
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,TABREZ,Tipu Sultan Party,367,8,0.27,,,,0.27
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,MOHAMED RIOZ,Anaithu Makkal Arasiyal Katchi,112,13,0.08,,,,0.08
Tamil_Nadu,2021,12,19,CHEPAUK-THIRUVALLIKENI,GEN,ABID BAKSHQ H HUSSAIN,RPI(A),105,15,0.08,16,ABID BAKSHQH HUSSAIN,1,0
