State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Tamil_Nadu,2021,12,ADMK,191,66,0,3.11,34.55,4
Tamil_Nadu,2021,12,BJP,20,4,0,0.96,20.0,8
Tamil_Nadu,2021,12,CPI,6,2,0,7.53,33.33,5
Tamil_Nadu,2021,12,CPM,6,2,0,3.33,33.33,6
Tamil_Nadu,2021,12,DMK,188,133,0,9.83,70.74,2
Tamil_Nadu,2021,12,INC,25,18,0,6.48,72.0,1
Tamil_Nadu,2021,12,PMK,23,5,1,1.47,21.74,7
Tamil_Nadu,2021,12,VCK,6,4,0,2.36,66.67,3
Tamil_Nadu,2016,11,ADMK,232,134,2,4.54,57.76,1
Tamil_Nadu,2016,11,DMK,178,89,0,3.98,50.0,2
Tamil_Nadu,2016,11,INC,41,8,0,2.56,19.51,4
Tamil_Nadu,2016,11,IUML,5,1,0,0.13,20.0,3
Tamil_Nadu,2011,10,ADMK,165,150,0,15.49,90.91,3
Tamil_Nadu,2011,10,AIFB,1,1,0,8.89,100.0,1
Tamil_Nadu,2011,10,CPI,10,9,0,5.28,90.0,4
Tamil_Nadu,2011,10,CPM,12,10,0,12.37,83.33,5
Tamil_Nadu,2011,10,DMDK,41,29,0,6.55,70.73,6
Tamil_Nadu,2011,10,DMK,124,23,0,1.43,18.55,8
Tamil_Nadu,2011,10,INC,63,5,1,0.9,7.94,10
Tamil_Nadu,2011,10,MAMAK,3,2,0,4.51,66.67,7
Tamil_Nadu,2011,10,PMK,30,3,0,0.95,10.0,9
Tamil_Nadu,2011,10,PT,2,2,0,18.56,100.0,2
Tamil_Nadu,2006,9,ADMK,188,61,3,1.64,32.45,6
Tamil_Nadu,2006,9,CPI,10,6,0,4.67,60.0,4
Tamil_Nadu,2006,9,CPM,13,9,0,7.19,69.23,3
Tamil_Nadu,2006,9,DMDK,232,1,223,0.04,0.43,9
Tamil_Nadu,2006,9,DMK,132,96,0,6.71,72.73,1
Tamil_Nadu,2006,9,INC,48,34,0,5.86,70.83,2
Tamil_Nadu,2006,9,IND,1222,1,1217,0,0.08,10
Tamil_Nadu,2006,9,MDMK,35,6,0,0.65,17.14,8
Tamil_Nadu,2006,9,PMK,31,18,0,4.3,58.06,5
Tamil_Nadu,2006,9,VCK,9,2,0,1.88,22.22,7
Tamil_Nadu,2001,8,ADMK,141,132,0,14.45,93.62,2
Tamil_Nadu,2001,8,BJP,21,4,0,0.73,19.05,9
Tamil_Nadu,2001,8,CPI,8,5,0,10.88,62.5,7
Tamil_Nadu,2001,8,CPM,8,6,0,9.54,75.0,3
Tamil_Nadu,2001,8,DMK,183,31,2,0.94,16.94,10
Tamil_Nadu,2001,8,FBL,1,1,0,10.01,100.0,1
Tamil_Nadu,2001,8,INC,14,7,0,7.98,50.0,8
