Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
12,930,10th Pass,12,66,2021,ADMK,18.18
12,930,12th Pass,7,66,2021,ADMK,10.61
12,930,5th Pass,3,66,2021,ADMK,4.55
12,930,8th Pass,1,66,2021,ADMK,1.52
12,930,Doctorate,2,66,2021,ADMK,3.03
12,930,Graduate,16,66,2021,ADMK,24.24
12,930,Graduate Professional,12,66,2021,ADMK,18.18
12,930,Others,2,66,2021,ADMK,3.03
12,930,Post Graduate,10,66,2021,ADMK,15.15
12,930,Unknown,1,66,2021,ADMK,1.52
12,1605,Graduate,1,4,2021,BJP,25
12,1605,Graduate Professional,1,4,2021,BJP,25
12,1605,Post Graduate,2,4,2021,BJP,50
12,2444,12th Pass,1,2,2021,CPI,50
12,2444,Graduate Professional,1,2,2021,CPI,50
12,14635,8th Pass,1,2,2021,CPM,50
12,14635,Graduate Professional,1,2,2021,CPM,50
12,10192,10th Pass,16,133,2021,DMK,12.03
12,10192,12th Pass,12,133,2021,DMK,9.02
12,10192,5th Pass,3,133,2021,DMK,2.26
12,10192,8th Pass,15,133,2021,DMK,11.28
12,10192,Doctorate,4,133,2021,DMK,3.01
12,10192,Graduate,18,133,2021,DMK,13.53
12,10192,Graduate Professional,27,133,2021,DMK,20.3
12,10192,Others,1,133,2021,DMK,0.75
12,10192,Post Graduate,28,133,2021,DMK,21.05
12,10192,Unknown,9,133,2021,DMK,6.77
12,3482,10th Pass,2,18,2021,INC,11.11
12,3482,Graduate,3,18,2021,INC,16.67
12,3482,Graduate Professional,5,18,2021,INC,27.78
12,3482,Post Graduate,6,18,2021,INC,33.33
12,3482,Unknown,2,18,2021,INC,11.11
12,11891,12th Pass,1,5,2021,PMK,20
12,11891,8th Pass,1,5,2021,PMK,20
12,11891,Graduate,1,5,2021,PMK,20
12,11891,Post Graduate,1,5,2021,PMK,20
12,11891,Unknown,1,5,2021,PMK,20
12,8488,12th Pass,1,4,2021,VCK,25
12,8488,Graduate,1,4,2021,VCK,25
12,8488,Graduate Professional,1,4,2021,VCK,25
12,8488,Others,1,4,2021,VCK,25
11,930,Unknown,134,134,2016,ADMK,100
11,10192,10th Pass,16,89,2016,DMK,17.98
11,10192,12th Pass,9,89,2016,DMK,10.11
11,10192,5th Pass,2,89,2016,DMK,2.25
11,10192,8th Pass,8,89,2016,DMK,8.99
11,10192,Doctorate,3,89,2016,DMK,3.37
11,10192,Graduate,10,89,2016,DMK,11.24
11,10192,Graduate Professional,16,89,2016,DMK,17.98
11,10192,Others,1,89,2016,DMK,1.12
11,10192,Post Graduate,22,89,2016,DMK,24.72
11,10192,Unknown,2,89,2016,DMK,2.25
11,3482,10th Pass,2,8,2016,INC,25
11,3482,Graduate Professional,1,8,2016,INC,12.5
11,3482,Post Graduate,4,8,2016,INC,50
11,3482,Unknown,1,8,2016,INC,12.5
11,3952,12th Pass,1,1,2016,IUML,100
10,930,10th Pass,27,150,2011,ADMK,18
10,930,12th Pass,19,150,2011,ADMK,12.67
10,930,5th Pass,9,150,2011,ADMK,6
10,930,8th Pass,14,150,2011,ADMK,9.33
10,930,Doctorate,1,150,2011,ADMK,0.67
10,930,Graduate,28,150,2011,ADMK,18.67
10,930,Graduate Professional,18,150,2011,ADMK,12
10,930,Literate,2,150,2011,ADMK,1.33
10,930,Others,2,150,2011,ADMK,1.33
10,930,Post Graduate,23,150,2011,ADMK,15.33
10,930,Unknown,7,150,2011,ADMK,4.67
10,3040,Graduate Professional,1,1,2011,AIFB,100
10,2444,10th Pass,4,9,2011,CPI,44.44
10,2444,12th Pass,1,9,2011,CPI,11.11
10,2444,5th Pass,1,9,2011,CPI,11.11
10,2444,8th Pass,1,9,2011,CPI,11.11
10,2444,Graduate,1,9,2011,CPI,11.11
10,2444,Graduate Professional,1,9,2011,CPI,11.11
10,14635,10th Pass,1,10,2011,CPM,10
10,14635,12th Pass,2,10,2011,CPM,20
10,14635,8th Pass,2,10,2011,CPM,20
10,14635,Graduate,3,10,2011,CPM,30
10,14635,Graduate Professional,2,10,2011,CPM,20
10,2956,10th Pass,9,29,2011,DMDK,31.03
10,2956,12th Pass,5,29,2011,DMDK,17.24
10,2956,8th Pass,2,29,2011,DMDK,6.9
10,2956,Graduate,4,29,2011,DMDK,13.79
10,2956,Graduate Professional,4,29,2011,DMDK,13.79
10,2956,Literate,1,29,2011,DMDK,3.45
10,2956,Post Graduate,3,29,2011,DMDK,10.34
10,2956,Unknown,1,29,2011,DMDK,3.45
10,10192,10th Pass,4,23,2011,DMK,17.39
10,10192,12th Pass,2,23,2011,DMK,8.7
10,10192,Graduate,5,23,2011,DMK,21.74
10,10192,Graduate Professional,5,23,2011,DMK,21.74
10,10192,Post Graduate,4,23,2011,DMK,17.39
10,10192,Unknown,3,23,2011,DMK,13.04
10,3482,10th Pass,3,5,2011,INC,60
10,3482,Unknown,2,5,2011,INC,40
10,11572,Doctorate,1,2,2011,MAMAK,50
10,11572,Graduate,1,2,2011,MAMAK,50
10,11891,Graduate Professional,1,3,2011,PMK,33.33
10,11891,Post Graduate,2,3,2011,PMK,66.67
10,12001,8th Pass,1,2,2011,PT,50
10,12001,Post Graduate,1,2,2011,PT,50
9,930,10th Pass,17,61,2006,ADMK,27.87
9,930,12th Pass,3,61,2006,ADMK,4.92
9,930,5th Pass,1,61,2006,ADMK,1.64
9,930,8th Pass,5,61,2006,ADMK,8.2
9,930,Graduate,11,61,2006,ADMK,18.03
9,930,Graduate Professional,7,61,2006,ADMK,11.48
9,930,Illiterate,2,61,2006,ADMK,3.28
9,930,Others,1,61,2006,ADMK,1.64
9,930,Post Graduate,6,61,2006,ADMK,9.84
9,930,Unknown,8,61,2006,ADMK,13.11
9,2444,10th Pass,4,6,2006,CPI,66.67
9,2444,8th Pass,1,6,2006,CPI,16.67
9,2444,Unknown,1,6,2006,CPI,16.67
9,14635,Unknown,9,9,2006,CPM,100
9,2956,10th Pass,1,1,2006,DMDK,100
9,10192,10th Pass,18,96,2006,DMK,18.75
9,10192,12th Pass,9,96,2006,DMK,9.38
9,10192,5th Pass,5,96,2006,DMK,5.21
9,10192,8th Pass,9,96,2006,DMK,9.38
9,10192,Doctorate,1,96,2006,DMK,1.04
9,10192,Graduate,14,96,2006,DMK,14.58
9,10192,Graduate Professional,15,96,2006,DMK,15.62
9,10192,Others,3,96,2006,DMK,3.12
9,10192,Post Graduate,12,96,2006,DMK,12.5
9,10192,Unknown,10,96,2006,DMK,10.42
9,3482,10th Pass,5,34,2006,INC,14.71
9,3482,12th Pass,3,34,2006,INC,8.82
9,3482,5th Pass,1,34,2006,INC,2.94
9,3482,Doctorate,1,34,2006,INC,2.94
9,3482,Graduate,7,34,2006,INC,20.59
9,3482,Graduate Professional,9,34,2006,INC,26.47
9,3482,Post Graduate,5,34,2006,INC,14.71
9,3482,Unknown,3,34,2006,INC,8.82
9,10809,Unknown,1,1,2006,IND,100
9,11601,8th Pass,1,6,2006,MDMK,16.67
9,11601,Graduate,2,6,2006,MDMK,33.33
9,11601,Graduate Professional,1,6,2006,MDMK,16.67
9,11601,Post Graduate,2,6,2006,MDMK,33.33
9,11891,10th Pass,3,18,2006,PMK,16.67
9,11891,12th Pass,1,18,2006,PMK,5.56
9,11891,Graduate,3,18,2006,PMK,16.67
9,11891,Graduate Professional,1,18,2006,PMK,5.56
9,11891,Others,3,18,2006,PMK,16.67
9,11891,Post Graduate,3,18,2006,PMK,16.67
9,11891,Unknown,4,18,2006,PMK,22.22
9,8488,Graduate,1,2,2006,VCK,50
9,8488,Graduate Professional,1,2,2006,VCK,50
