Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,930,191,60,5,76,89,44,58,31,29,24,1,ADMK,19.64,#37f226,44.44,60 (44.44%),40,40.0% (24/60),20,20.0% (1/5),25.62
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,706,3,0,0,1,2,1,0,0,0,0,0,AIMIM,0.26,#285B35,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24323,3,0,0,0,3,0,0,0,0,0,0,AISMK,0,#AD0200,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,18228,2,0,0,0,1,1,0,0,0,0,0,AITC,0,#4285F4,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24338,165,2,20,13,137,16,12,0,0,0,0,AMMK,3.36,#B7BA00,1.48,2 (1.48%),0,0.0% (0/2),0,0.0% (0/20),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24327,3,0,0,0,3,0,0,0,0,0,0,Aanaithinthiya Jananayaka Pathukappu Kazhagam,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24410,3,0,0,0,3,0,0,0,0,0,0,Ahimsa Socialist Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,268,4,0,0,0,4,0,0,0,0,0,0,Akhil Bharat Hindu Mahasabha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,8878,1,0,0,0,1,0,0,0,0,0,0,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,457,1,0,0,0,1,0,0,0,0,0,0,Akila India Vallalar Peravai,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,740,2,0,0,1,1,1,0,0,0,0,0,All  India  Pattali  Munnetra Katchi,0.26,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24295,9,0,0,1,8,1,0,0,0,0,0,All India Jananayaka Makkal Kazhagam,0.26,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24325,4,0,0,0,4,0,0,0,0,0,0,All India MGR Makkal Munnetra Kazhagam,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24408,2,0,2,0,0,2,0,0,0,0,0,All India Uzhavargal Uzhaippalargal Katchi,0,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24310,2,0,0,0,2,0,0,0,0,0,0,All India Youth Development Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,815,2,0,0,0,2,0,0,0,0,0,0,All Pensioner’s Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24324,1,0,0,0,1,0,0,0,0,0,0,Ambedkar Political Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,880,8,0,0,0,8,0,0,0,0,0,0,Ambedkarite Party of India,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24315,1,0,0,0,1,0,0,0,0,0,0,Anaithindia Samudaya Munnetra Kazhagam,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24293,22,0,0,0,22,0,0,0,0,0,0,Anaithu Makkal Arasiyal Katchi,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,918,1,0,0,0,1,0,0,0,0,0,0,Anaithu Makkal Munnetra Kazhagam,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24412,28,0,0,0,28,0,0,0,0,0,0,Anaithu Makkal Puratchi Katchi,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24328,1,0,0,0,1,0,0,0,0,0,0,Anaithu Ulaga Tamilargal Munnetra Kalagam,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24314,18,0,0,0,18,0,0,0,0,0,0,Anna Dravidar Kazhagam,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,3998,135,82,234,52,8,387,3483,330,185,121,98,2021,24294,17,0,0,0,17,0,0,0,0,0,0,Anna MGR Dravida Makkal Kalgam,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
