State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Telangana,2018,2,AAP,119,20695458,7066958,41,0,41,0.0,0,0.06,0.19,8,
Telangana,2018,2,ABDBM,119,20695458,176630,1,0,1,0.0,0,0,0.54,9,
Telangana,2018,2,ABJS,119,20695458,474723,3,0,3,0.0,0,0.01,0.26,10,
Telangana,2018,2,ABML(S),119,20695458,278432,2,0,2,0.0,0,0,0.08,11,
Telangana,2018,2,AIFB,119,20695458,3415177,19,1,17,5.2631578947368425,0.84,0.77,4.66,5,ALL INDIA FORWARD BLOC
Telangana,2018,2,AIJHP,119,20695458,462337,2,0,2,0.0,0,0.01,0.3,12,
Telangana,2018,2,AIMIM,119,20695458,1192429,8,7,0,87.5,5.88,2.71,47.05,3,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
Telangana,2018,2,AISMP,119,20695458,1088944,6,0,6,0.0,0,0.01,0.21,13,
Telangana,2018,2,ANASP,119,20695458,518084,3,0,3,0.0,0,0,0.13,14,
Telangana,2018,2,ANC,119,20695458,2094949,12,0,12,0.0,0,0.01,0.12,15,
Telangana,2018,2,API,119,20695458,490871,3,0,3,0.0,0,0.02,0.87,16,
Telangana,2018,2,AYSRCP,119,20695458,846808,5,0,5,0.0,0,0,0.08,17,
Telangana,2018,2,BBKD,119,20695458,473839,3,0,3,0.0,0,0.02,0.99,18,
Telangana,2018,2,BHRHS,119,20695458,1663251,10,0,10,0.0,0,0.01,0.12,19,
Telangana,2018,2,BHRJP,119,20695458,1911309,10,0,10,0.0,0,0.02,0.22,20,
Telangana,2018,2,BJLP,119,20695458,13973211,79,0,78,0.0,0,0.68,1.01,21,
Telangana,2018,2,BJP,119,20695458,20522227,118,1,103,0.847457627118644,0.84,7.01,7.07,6,BHARATIYA JANATA PARTY
Telangana,2018,2,BMUP,119,20695458,3173097,19,0,19,0.0,0,0.03,0.22,22,
Telangana,2018,2,BRPP,119,20695458,134439,1,0,1,0.0,0,0,0.06,23,
Telangana,2018,2,BSP,119,20695458,18793012,107,0,103,0.0,0,2.07,2.28,24,BAHUJAN SAMAJ PARTY
Telangana,2018,2,CPI,119,20695458,472164,3,0,1,0.0,0,0.4,17.62,25,COMMUNIST PARTY OF INDIA
Telangana,2018,2,CPI(ML)(L),119,20695458,387788,2,0,2,0.0,0,0.04,1.91,26,
Telangana,2018,2,CPM,119,20695458,4454514,26,0,26,0.0,0,0.44,2.05,27,COMMUNIST PARTY OF INDIA (MARXIST)
Telangana,2018,2,DABAP,119,20695458,1183399,6,0,6,0.0,0,0.01,0.14,28,
Telangana,2018,2,DEPI,119,20695458,136911,1,0,1,0.0,0,0,0.27,29,
Telangana,2018,2,GGP,119,20695458,436780,3,0,3,0.0,0,0.01,0.3,30,
Telangana,2018,2,HEAP,119,20695458,144770,1,0,1,0.0,0,0,0.04,31,
Telangana,2018,2,ICSP,119,20695458,359678,2,0,2,0.0,0,0,0.19,32,
Telangana,2018,2,ILP(AP),119,20695458,304361,1,0,1,0.0,0,0,0.2,33,
Telangana,2018,2,INC,119,20695458,17109182,99,19,6,19.19191919191919,15.97,28.43,34.39,2,INDIAN NATIONAL CONGRESS
Telangana,2018,2,INCP,119,20695458,177578,1,0,1,0.0,0,0,0.07,34,
Telangana,2018,2,IND,119,20695458,20695458,675,1,672,0.14814814814814814,0.84,3.26,3.26,7,INDEPENDENT
Telangana,2018,2,IPBP,119,20695458,3924450,22,0,22,0.0,0,0.03,0.14,35,
Telangana,2018,2,JBJSP,119,20695458,592212,3,0,3,0.0,0,0,0.08,36,
Telangana,2018,2,JD(S),119,20695458,124315,1,0,1,0.0,0,0,0.1,37,
Telangana,2018,2,JISWP,119,20695458,3534631,19,0,19,0.0,0,0.03,0.16,38,
Telangana,2018,2,JMBP,119,20695458,1143235,6,0,6,0.0,0,0.01,0.14,39,
Telangana,2018,2,JPS,119,20695458,597126,4,0,4,0.0,0,0.01,0.32,40,
Telangana,2018,2,JVHNP,119,20695458,776513,4,0,4,0.0,0,0,0.09,41,
Telangana,2018,2,LSP,119,20695458,124315,1,0,1,0.0,0,0,0.12,42,LOK SATTA PARTY
Telangana,2018,2,LSSP,119,20695458,1274771,9,0,9,0.0,0,0.01,0.24,43,
Telangana,2018,2,MANP,119,20695458,674857,4,0,4,0.0,0,0.01,0.27,44,
Telangana,2018,2,MBT,119,20695458,584666,4,0,4,0.0,0,0.11,3.8,45,
Telangana,2018,2,MCPI(U),119,20695458,664478,4,0,4,0.0,0,0.01,0.2,46,
Telangana,2018,2,MMP,119,20695458,554910,4,0,4,0.0,0,0,0.07,47,
Telangana,2018,2,NBNAP,119,20695458,141521,1,0,1,0.0,0,0,0.03,48,
Telangana,2018,2,NCP,119,20695458,4032293,22,0,22,0.0,0,0.14,0.73,49,
Telangana,2018,2,NIP,119,20695458,3674160,21,0,21,0.0,0,0.03,0.14,50,
Telangana,2018,2,NOTA,119,20695458,20695458,119,0,0,0.0,0,1.09,1.09,51,
Telangana,2018,2,NPRP,119,20695458,1235164,7,0,7,0.0,0,0.03,0.53,52,
Telangana,2018,2,NVDMP,119,20695458,179037,1,0,1,0.0,0,0,0.09,53,
Telangana,2018,2,NVSMP,119,20695458,1107258,6,0,6,0.0,0,0.01,0.16,54,
Telangana,2018,2,NYBP,119,20695458,165747,1,0,1,0.0,0,0,0.18,55,
Telangana,2018,2,NYP,119,20695458,267515,2,0,2,0.0,0,0.01,0.9,56,
Telangana,2018,2,PJD,119,20695458,737102,4,0,4,0.0,0,0.01,0.23,57,
Telangana,2018,2,PPOI,119,20695458,7205529,40,0,40,0.0,0,0.14,0.41,58,
Telangana,2018,2,PRBP,119,20695458,450883,3,0,3,0.0,0,0.01,0.38,59,
Telangana,2018,2,PRSTP,119,20695458,593729,2,0,2,0.0,0,0.01,0.18,60,
Telangana,2018,2,PRSWP,119,20695458,2172177,12,0,12,0.0,0,0.05,0.52,61,
Telangana,2018,2,RJD,119,20695458,124315,1,0,1,0.0,0,0,0.07,62,
Telangana,2018,2,RPI,119,20695458,1218205,7,0,7,0.0,0,0.02,0.28,63,
Telangana,2018,2,RPI(A),119,20695458,1982811,13,0,13,0.0,0,0.03,0.27,64,
Telangana,2018,2,RPI(KH),119,20695458,302388,2,0,2,0.0,0,0.03,2.13,65,
Telangana,2018,2,Rasyadhikara Party,119,20695458,297572,2,0,2,0.0,0,0.03,1.75,66,
Telangana,2018,2,SHP,119,20695458,592101,3,0,3,0.0,0,0.03,0.95,67,
Telangana,2018,2,SHS,119,20695458,7621847,41,0,41,0.0,0,0.07,0.18,68,
Telangana,2018,2,SJUP,119,20695458,1067742,5,0,5,0.0,0,0,0.08,69,
Telangana,2018,2,SP,119,20695458,4888388,27,0,27,0.0,0,0.06,0.27,70,
Telangana,2018,2,SP(I),119,20695458,165626,1,0,1,0.0,0,0,0.09,71,
Telangana,2018,2,SPS,119,20695458,512763,3,0,3,0.0,0,0.01,0.36,72,
Telangana,2018,2,SUCI,119,20695458,355586,2,0,2,0.0,0,0,0.17,73,
Telangana,2018,2,SWBP,119,20695458,209499,1,0,1,0.0,0,0,0.07,74,
Telangana,2018,2,SWFB,119,20695458,5448565,30,0,30,0.0,0,0.83,3.16,75,
Telangana,2018,2,TCP,119,20695458,161754,1,0,1,0.0,0,0.02,2.47,76,
Telangana,2018,2,TCPI,119,20695458,1617237,8,0,8,0.0,0,0.01,0.16,77,
Telangana,2018,2,TDP,119,20695458,2413850,13,2,2,15.384615384615385,1.68,3.51,30.07,4,TELUGU DESAM
Telangana,2018,2,TFIP,119,20695458,472226,2,0,2,0.0,0,0,0.12,78,
