State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Telangana,2018,2,1,SIRPUR,GEN,KONERU KONAPPA,TRS,83088,1,50.57,2,KAVETI SAMMAIAH,1,24
Telangana,2018,2,1,SIRPUR,GEN,DR. PALVAI HARISH BABU,INC,59052,2,35.94,3,KOKKIRALA PREM SAGAR RAO,1,18.12
Telangana,2018,2,1,SIRPUR,GEN,DR.KOTTAPELLI SRINIVAS,BJP,6279,3,3.82,,,,3.82
Telangana,2018,2,1,SIRPUR,GEN,RRAAVI SRINWASS,BSP,5379,4,3.27,1,KONERU KONAPPA,-3,-29.14
Telangana,2018,2,1,SIRPUR,GEN,None of the Above,NOTA,1579,6,0.96,7,None of the Above,1,-0.2
Telangana,2018,2,1,SIRPUR,GEN,CHILAKAMMA EDLA,PPOI,1013,8,0.62,,,,0.62
Telangana,2018,2,1,SIRPUR,GEN,KUDAKA KISHORE,API,733,9,0.45,,,,0.45
Telangana,2018,2,1,SIRPUR,GEN,JADI DILEEP,BMUP,512,11,0.31,,,,0.31
Telangana,2018,2,1,SIRPUR,GEN,KOTA VENKANNA,BJLP,511,12,0.31,,,,0.31
Telangana,2018,2,1,SIRPUR,GEN,RAMCHANDER,PRBP,429,13,0.26,,,,0.26
Telangana,2018,2,2,CHENNUR,SC,BALKA SUMAN,TRS,71980,1,53.06,1,NALLALA ODELU,0,2.27
Telangana,2018,2,2,CHENNUR,SC,VENKATESH NETHA BORLAKUNTA,INC,43848,2,32.32,2,GADDAM VINOD,0,2.02
Telangana,2018,2,2,CHENNUR,SC,SOGALA SANJEEV,RPI(KH),6274,3,4.62,,,,4.62
Telangana,2018,2,2,CHENNUR,SC,None of the Above,NOTA,2135,4,1.57,5,None of the Above,1,0.3
Telangana,2018,2,2,CHENNUR,SC,ANDUGULA SRINIVAS,BJP,2026,5,1.49,3,RAM VENU,-2,-4.68
Telangana,2018,2,2,CHENNUR,SC,BOJJA RAMANA KUMARI,PPOI,1335,7,0.98,,,,0.98
Telangana,2018,2,2,CHENNUR,SC,SUJATHA SUREPALLY,BSP,1200,8,0.88,6,THUNGAPINDI RAMESH,-2,-0.38
Telangana,2018,2,2,CHENNUR,SC,RAKESH REGUNTA,NPRP,1035,9,0.76,,,,0.76
Telangana,2018,2,2,CHENNUR,SC,BODA JANARDHAN,BJLP,983,10,0.72,,,,0.72
Telangana,2018,2,2,CHENNUR,SC,THUNGAPINDI RAMESH,RPI(A),830,12,0.61,,,,0.61
Telangana,2018,2,2,CHENNUR,SC,NEELAM SURENDER,NCP,516,14,0.38,,,,0.38
Telangana,2018,2,2,CHENNUR,SC,RAMAGIRI VIKRAM SINGH,NIP,484,15,0.36,15,RAMAGIRI VIKRAM SINGH,0,0.04
Telangana,2018,2,3,BELLAMPALLE,SC,DURGAM CHINNAIAH,TRS,55026,1,43.16,1,DURGAM CHINNAIAH,0,-18.6
Telangana,2018,2,3,BELLAMPALLE,SC,GADDAM VINOD,BSP,43750,2,34.31,,,,34.31
Telangana,2018,2,3,BELLAMPALLE,SC,GUNDA MALLESH,CPI,3905,4,3.06,2,GUNDA MALLESH,-2,-14.73
Telangana,2018,2,3,BELLAMPALLE,SC,KOYYALA EMAJI,BJP,3031,5,2.38,,,,2.38
Telangana,2018,2,3,BELLAMPALLE,SC,None of the Above,NOTA,2598,6,2.04,9,None of the Above,3,1.39
Telangana,2018,2,3,BELLAMPALLE,SC,KRISHNA SABBANI,BJLP,1812,7,1.42,,,,1.42
Telangana,2018,2,3,BELLAMPALLE,SC,DURGE MAHENDAR,NPRP,1202,9,0.94,,,,0.94
Telangana,2018,2,3,BELLAMPALLE,SC,MITTAPALLI KUMARA SWAMY,NIP,695,13,0.55,,,,0.55
Telangana,2018,2,3,BELLAMPALLE,SC,PAGIDI RAJENDER,AAP,450,14,0.35,,,,0.35
Telangana,2018,2,4,MANCHERIAL,GEN,NADIPELLI DIWAKAR RAO,TRS,75360,1,45.2,1,DIWAKAR RAO NADIPELLI,0,-16.42
Telangana,2018,2,4,MANCHERIAL,GEN,KOKKIRALA PREMSAGAR RAO,INC,70512,2,42.29,2,GADDAM ARAVINDA REDDY,0,19.03
Telangana,2018,2,4,MANCHERIAL,GEN,RAGHUNATH VERABELLI,BJP,5018,3,3.01,3,MULKALA MALLAREDDY,0,-4.49
Telangana,2018,2,4,MANCHERIAL,GEN,ARE SRINIVAS,BJLP,2190,4,1.31,,,,1.31
Telangana,2018,2,4,MANCHERIAL,GEN,BERA SATHYANARAYANA,BSP,2174,5,1.3,7,VEMULA KIRAN,2,0.67
Telangana,2018,2,4,MANCHERIAL,GEN,None of the Above,NOTA,1394,9,0.84,5,None of the Above,-4,-0.12
Telangana,2018,2,4,MANCHERIAL,GEN,AGGI BHEEMAIAH,PPOI,560,12,0.34,,,,0.34
Telangana,2018,2,4,MANCHERIAL,GEN,ALPULA BHARATHI,IPBP,241,16,0.14,,,,0.14
Telangana,2018,2,4,MANCHERIAL,GEN,KUAKATLA THIRUPATHI YADAV,SHS,229,17,0.14,,,,0.14
Telangana,2018,2,4,MANCHERIAL,GEN,SYED AFRATH AHMED,AAP,201,18,0.12,,,,0.12
Telangana,2018,2,4,MANCHERIAL,GEN,KAMERA KRANTHI KUMAR,RPI(KH),158,19,0.09,,,,0.09
Telangana,2018,2,4,MANCHERIAL,GEN,TOGARI BANESH,NIP,149,20,0.09,,,,0.09
Telangana,2018,2,4,MANCHERIAL,GEN,MEDI NARSAIAH,TPGS,141,21,0.08,,,,0.08
Telangana,2018,2,5,ASIFABAD,ST,ATHRAM SAKKU,INC,65788,1,40.92,2,ATRAM SAKKU,1,13.58
Telangana,2018,2,5,ASIFABAD,ST,KOVA LAXMI,TRS,65617,2,40.81,1,KOVA LAXMI,-1,0.46
Telangana,2018,2,5,ASIFABAD,ST,AZMERA ATHMA RAO,BJP,6711,3,4.17,,,,4.17
Telangana,2018,2,5,ASIFABAD,ST,KOTNAKA VIJAY KUMAR,TJS,6183,4,3.85,,,,3.85
Telangana,2018,2,5,ASIFABAD,ST,AJMERA RAMNAIK,BSP,3629,5,2.26,6,KANAKA RAMBABAI,1,-0.49
Telangana,2018,2,5,ASIFABAD,ST,ADE BALAJI,BBKD,3039,6,1.89,,,,1.89
Telangana,2018,2,5,ASIFABAD,ST,MUKADE VISHNU,API,2972,7,1.85,,,,1.85
