State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Telangana,2018,2,AIFB,19,1,17,1.02,5.26,5
Telangana,2018,2,AIMIM,8,7,0,30.25,87.5,1
Telangana,2018,2,BJP,118,1,103,0.11,0.85,6
Telangana,2018,2,INC,99,19,6,1.28,19.19,3
Telangana,2018,2,IND,675,1,672,0,0.15,7
Telangana,2018,2,TDP,13,2,2,1.53,15.38,4
Telangana,2018,2,TRS,119,88,7,13.68,73.95,2
Telangana,2014,1,AIMIM,20,7,10,11.28,35.0,2
Telangana,2014,1,BJP,45,5,24,2.47,11.11,6
Telangana,2014,1,BSP,102,2,100,0.11,1.96,9
Telangana,2014,1,CPI,7,1,4,0.37,14.29,5
Telangana,2014,1,CPM,37,1,34,0.03,2.7,8
Telangana,2014,1,INC,113,21,23,1.17,18.58,4
Telangana,2014,1,IND,668,1,661,0.02,0.15,10
Telangana,2014,1,TDP,72,15,26,2.04,20.83,3
Telangana,2014,1,TRS,119,63,22,9.17,52.94,1
Telangana,2014,1,YSRCP,92,3,87,0.2,3.26,7
