State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Telangana,2018,2,AAP,TELANGANA,41,0,41,0,0.0,8
Telangana,2018,2,ABDBM,TELANGANA,1,0,1,0,0.0,9
Telangana,2018,2,ABJS,TELANGANA,3,0,3,0,0.0,10
Telangana,2018,2,ABML(S),TELANGANA,2,0,2,0,0.0,11
Telangana,2018,2,AIFB,TELANGANA,19,1,17,1.02,5.26,5
Telangana,2018,2,AIJHP,TELANGANA,2,0,2,0,0.0,12
Telangana,2018,2,AIMIM,TELANGANA,8,7,0,30.25,87.5,1
Telangana,2018,2,AISMP,TELANGANA,6,0,6,0,0.0,13
Telangana,2018,2,ANASP,TELANGANA,3,0,3,0,0.0,14
Telangana,2018,2,ANC,TELANGANA,12,0,12,0,0.0,15
Telangana,2018,2,API,TELANGANA,3,0,3,0,0.0,16
Telangana,2018,2,AYSRCP,TELANGANA,5,0,5,0,0.0,17
Telangana,2018,2,BBKD,TELANGANA,3,0,3,0,0.0,18
Telangana,2018,2,BHRHS,TELANGANA,10,0,10,0,0.0,19
Telangana,2018,2,BHRJP,TELANGANA,10,0,10,0,0.0,20
Telangana,2018,2,BJLP,TELANGANA,79,0,78,0,0.0,21
Telangana,2018,2,BJP,TELANGANA,118,1,103,0.11,0.85,6
Telangana,2018,2,BMUP,TELANGANA,19,0,19,0,0.0,22
Telangana,2018,2,BRPP,TELANGANA,1,0,1,0,0.0,23
Telangana,2018,2,BSP,TELANGANA,107,0,103,0,0.0,24
Telangana,2018,2,CPI,TELANGANA,3,0,1,0,0.0,25
Telangana,2018,2,CPI(ML)(L),TELANGANA,2,0,2,0,0.0,26
Telangana,2018,2,CPM,TELANGANA,26,0,26,0,0.0,27
Telangana,2018,2,DABAP,TELANGANA,6,0,6,0,0.0,28
Telangana,2018,2,DEPI,TELANGANA,1,0,1,0,0.0,29
Telangana,2018,2,GGP,TELANGANA,3,0,3,0,0.0,30
Telangana,2018,2,HEAP,TELANGANA,1,0,1,0,0.0,31
Telangana,2018,2,ICSP,TELANGANA,2,0,2,0,0.0,32
Telangana,2018,2,ILP(AP),TELANGANA,1,0,1,0,0.0,33
Telangana,2018,2,INC,TELANGANA,99,19,6,1.28,19.19,3
Telangana,2018,2,INCP,TELANGANA,1,0,1,0,0.0,34
Telangana,2018,2,IND,TELANGANA,675,1,672,0,0.15,7
Telangana,2018,2,IPBP,TELANGANA,22,0,22,0,0.0,35
Telangana,2018,2,JBJSP,TELANGANA,3,0,3,0,0.0,36
Telangana,2018,2,JD(S),TELANGANA,1,0,1,0,0.0,37
Telangana,2018,2,JISWP,TELANGANA,19,0,19,0,0.0,38
Telangana,2018,2,JMBP,TELANGANA,6,0,6,0,0.0,39
Telangana,2018,2,JPS,TELANGANA,4,0,4,0,0.0,40
Telangana,2018,2,JVHNP,TELANGANA,4,0,4,0,0.0,41
Telangana,2018,2,LSP,TELANGANA,1,0,1,0,0.0,42
Telangana,2018,2,LSSP,TELANGANA,9,0,9,0,0.0,43
Telangana,2018,2,MANP,TELANGANA,4,0,4,0,0.0,44
Telangana,2018,2,MBT,TELANGANA,4,0,4,0,0.0,45
Telangana,2018,2,MCPI(U),TELANGANA,4,0,4,0,0.0,46
Telangana,2018,2,MMP,TELANGANA,4,0,4,0,0.0,47
Telangana,2018,2,NBNAP,TELANGANA,1,0,1,0,0.0,48
Telangana,2018,2,NCP,TELANGANA,22,0,22,0,0.0,49
Telangana,2018,2,NIP,TELANGANA,21,0,21,0,0.0,50
Telangana,2018,2,NOTA,TELANGANA,119,0,0,0,0.0,51
Telangana,2018,2,NPRP,TELANGANA,7,0,7,0,0.0,52
Telangana,2018,2,NVDMP,TELANGANA,1,0,1,0,0.0,53
Telangana,2018,2,NVSMP,TELANGANA,6,0,6,0,0.0,54
Telangana,2018,2,NYBP,TELANGANA,1,0,1,0,0.0,55
Telangana,2018,2,NYP,TELANGANA,2,0,2,0,0.0,56
Telangana,2018,2,PJD,TELANGANA,4,0,4,0,0.0,57
Telangana,2018,2,PPOI,TELANGANA,40,0,40,0,0.0,58
Telangana,2018,2,PRBP,TELANGANA,3,0,3,0,0.0,59
Telangana,2018,2,PRSTP,TELANGANA,2,0,2,0,0.0,60
Telangana,2018,2,PRSWP,TELANGANA,12,0,12,0,0.0,61
Telangana,2018,2,RJD,TELANGANA,1,0,1,0,0.0,62
Telangana,2018,2,RPI,TELANGANA,7,0,7,0,0.0,63
Telangana,2018,2,RPI(A),TELANGANA,13,0,13,0,0.0,64
Telangana,2018,2,RPI(KH),TELANGANA,2,0,2,0,0.0,65
Telangana,2018,2,Rasyadhikara Party,TELANGANA,2,0,2,0,0.0,66
Telangana,2018,2,SHP,TELANGANA,3,0,3,0,0.0,67
Telangana,2018,2,SHS,TELANGANA,41,0,41,0,0.0,68
Telangana,2018,2,SJUP,TELANGANA,5,0,5,0,0.0,69
Telangana,2018,2,SP,TELANGANA,27,0,27,0,0.0,70
Telangana,2018,2,SP(I),TELANGANA,1,0,1,0,0.0,71
Telangana,2018,2,SPS,TELANGANA,3,0,3,0,0.0,72
Telangana,2018,2,SUCI,TELANGANA,2,0,2,0,0.0,73
Telangana,2018,2,SWBP,TELANGANA,1,0,1,0,0.0,74
Telangana,2018,2,SWFB,TELANGANA,30,0,30,0,0.0,75
Telangana,2018,2,TCP,TELANGANA,1,0,1,0,0.0,76
Telangana,2018,2,TCPI,TELANGANA,8,0,8,0,0.0,77
Telangana,2018,2,TDP,TELANGANA,13,2,2,1.53,15.38,4
Telangana,2018,2,TFIP,TELANGANA,2,0,2,0,0.0,78
Telangana,2018,2,TJS,TELANGANA,8,0,7,0,0.0,79
Telangana,2018,2,TKRRP,TELANGANA,5,0,5,0,0.0,80
Telangana,2018,2,TLBP,TELANGANA,4,0,4,0,0.0,81
Telangana,2018,2,TLCP,TELANGANA,3,0,3,0,0.0,82
Telangana,2018,2,TLIP,TELANGANA,9,0,9,0,0.0,83
Telangana,2018,2,TMOR,TELANGANA,1,0,1,0,0.0,84
Telangana,2018,2,TPGS,TELANGANA,2,0,2,0,0.0,85
Telangana,2018,2,TPJP,TELANGANA,18,0,18,0,0.0,86
Telangana,2018,2,TPS(KRaK),TELANGANA,4,0,4,0,0.0,87
Telangana,2018,2,TRS,TELANGANA,119,88,7,13.68,73.95,2
Telangana,2018,2,TYS,TELANGANA,1,0,1,0,0.0,88
Telangana,2018,2,WPOI,TELANGANA,1,0,1,0,0.0,89
Telangana,2018,2,YP,TELANGANA,2,0,2,0,0.0,90
Telangana,2018,2,YSRPP,TELANGANA,1,0,1,0,0.0,91
Telangana,2018,2,YTP,TELANGANA,1,0,1,0,0.0,92
Telangana,2018,2,rpsn,TELANGANA,1,0,1,0,0.0,93
Telangana,2014,1,AAAP,TELANGANA,61,0,61,0,0.0,11
Telangana,2014,1,ABJS,TELANGANA,3,0,3,0,0.0,12
Telangana,2014,1,AHNP,TELANGANA,1,0,1,0,0.0,13
Telangana,2014,1,AIACP,TELANGANA,1,0,1,0,0.0,14
Telangana,2014,1,AIFB,TELANGANA,11,0,10,0,0.0,15
Telangana,2014,1,AIMIM,TELANGANA,20,7,10,11.28,35.0,2
Telangana,2014,1,ANC,TELANGANA,7,0,7,0,0.0,16
Telangana,2014,1,APRSSP,TELANGANA,2,0,2,0,0.0,17
Telangana,2014,1,BCUF,TELANGANA,12,0,12,0,0.0,18
Telangana,2014,1,BJP,TELANGANA,45,5,24,2.47,11.11,6
Telangana,2014,1,BMUP,TELANGANA,6,0,6,0,0.0,19
Telangana,2014,1,BSP,TELANGANA,102,2,100,0.11,1.96,9
Telangana,2014,1,BUDM,TELANGANA,1,0,1,0,0.0,20
Telangana,2014,1,CPI,TELANGANA,7,1,4,0.37,14.29,5
Telangana,2014,1,CPM,TELANGANA,37,1,34,0.03,2.7,8
Telangana,2014,1,DABAP,TELANGANA,4,0,4,0,0.0,21
Telangana,2014,1,ESP,TELANGANA,2,0,2,0,0.0,22
Telangana,2014,1,GAAP,TELANGANA,5,0,5,0,0.0,23
Telangana,2014,1,GGP,TELANGANA,1,0,1,0,0.0,24
Telangana,2014,1,GRIP,TELANGANA,1,0,1,0,0.0,25
Telangana,2014,1,ICSP,TELANGANA,15,0,15,0,0.0,26
Telangana,2014,1,IMPP,TELANGANA,2,0,2,0,0.0,27
Telangana,2014,1,INC,TELANGANA,113,21,23,1.17,18.58,4
Telangana,2014,1,IND,TELANGANA,668,1,661,0.02,0.15,10
Telangana,2014,1,IUML,TELANGANA,5,0,5,0,0.0,28
Telangana,2014,1,JAP,TELANGANA,7,0,7,0,0.0,29
Telangana,2014,1,JASP,TELANGANA,1,0,1,0,0.0,30
Telangana,2014,1,JASPA,TELANGANA,18,0,18,0,0.0,31
Telangana,2014,1,JD(U),TELANGANA,4,0,4,0,0.0,32
Telangana,2014,1,JMBP,TELANGANA,1,0,1,0,0.0,33
Telangana,2014,1,JP,TELANGANA,1,0,1,0,0.0,34
Telangana,2014,1,LSP,TELANGANA,39,0,39,0,0.0,35
Telangana,2014,1,MASP,TELANGANA,13,0,13,0,0.0,36
Telangana,2014,1,MBT,TELANGANA,6,0,5,0,0.0,37
Telangana,2014,1,MCPI,TELANGANA,10,0,10,0,0.0,38
Telangana,2014,1,MMS,TELANGANA,1,0,1,0,0.0,39
Telangana,2014,1,MMSP,TELANGANA,4,0,4,0,0.0,40
Telangana,2014,1,MTP,TELANGANA,1,0,1,0,0.0,41
Telangana,2014,1,NBNP,TELANGANA,4,0,4,0,0.0,42
Telangana,2014,1,NCP,TELANGANA,5,0,5,0,0.0,43
Telangana,2014,1,NIP,TELANGANA,1,0,1,0,0.0,44
Telangana,2014,1,NOTA,TELANGANA,119,0,0,0,0.0,45
Telangana,2014,1,PJDL,TELANGANA,4,0,4,0,0.0,46
Telangana,2014,1,PPOI,TELANGANA,47,0,47,0,0.0,47
Telangana,2014,1,PRBP,TELANGANA,2,0,2,0,0.0,48
Telangana,2014,1,RDHP,TELANGANA,1,0,1,0,0.0,49
Telangana,2014,1,RJD,TELANGANA,3,0,3,0,0.0,50
Telangana,2014,1,RLD,TELANGANA,19,0,19,0,0.0,51
Telangana,2014,1,RP(K),TELANGANA,2,0,2,0,0.0,52
Telangana,2014,1,RPI,TELANGANA,1,0,1,0,0.0,53
Telangana,2014,1,RPI(A),TELANGANA,9,0,9,0,0.0,54
Telangana,2014,1,RSP,TELANGANA,2,0,2,0,0.0,55
Telangana,2014,1,RSPI,TELANGANA,1,0,1,0,0.0,56
Telangana,2014,1,SHS,TELANGANA,6,0,6,0,0.0,57
Telangana,2014,1,SP,TELANGANA,3,0,3,0,0.0,58
Telangana,2014,1,SP(I),TELANGANA,1,0,1,0,0.0,59
Telangana,2014,1,SPS,TELANGANA,2,0,2,0,0.0,60
Telangana,2014,1,SRS,TELANGANA,1,0,1,0,0.0,61
Telangana,2014,1,SUCI,TELANGANA,1,0,1,0,0.0,62
Telangana,2014,1,TDP,TELANGANA,72,15,26,2.04,20.83,3
Telangana,2014,1,TECPI,TELANGANA,3,0,3,0,0.0,63
Telangana,2014,1,TLP,TELANGANA,6,0,6,0,0.0,64
Telangana,2014,1,TMOR,TELANGANA,2,0,2,0,0.0,65
Telangana,2014,1,TPS,TELANGANA,7,0,7,0,0.0,66
Telangana,2014,1,TRS,TELANGANA,119,63,22,9.17,52.94,1
Telangana,2014,1,VOP,TELANGANA,1,0,1,0,0.0,67
Telangana,2014,1,WPOI,TELANGANA,13,0,13,0,0.0,68
Telangana,2014,1,YSRCP,TELANGANA,92,3,87,0.2,3.26,7
Telangana,2014,1,YTP,TELANGANA,1,0,0,0,0.0,69
