Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
2,3040,Graduate,1,1,2018,AIFB,100
2,706,10th Pass,5,7,2018,AIMIM,71.43
2,706,12th Pass,1,7,2018,AIMIM,14.29
2,706,Others,1,7,2018,AIMIM,14.29
2,1605,Literate,1,1,2018,BJP,100
2,3482,10th Pass,3,19,2018,INC,15.79
2,3482,12th Pass,4,19,2018,INC,21.05
2,3482,5th Pass,1,19,2018,INC,5.26
2,3482,Graduate,6,19,2018,INC,31.58
2,3482,Graduate Professional,1,19,2018,INC,5.26
2,3482,Post Graduate,4,19,2018,INC,21.05
2,10809,Graduate,1,1,2018,IND,100
2,8300,10th Pass,1,2,2018,TDP,50
2,8300,5th Pass,1,2,2018,TDP,50
2,8284,10th Pass,7,88,2018,TRS,7.95
2,8284,12th Pass,18,88,2018,TRS,20.45
2,8284,5th Pass,1,88,2018,TRS,1.14
2,8284,8th Pass,2,88,2018,TRS,2.27
2,8284,Doctorate,2,88,2018,TRS,2.27
2,8284,Graduate,17,88,2018,TRS,19.32
2,8284,Graduate Professional,17,88,2018,TRS,19.32
2,8284,Others,4,88,2018,TRS,4.55
2,8284,Post Graduate,20,88,2018,TRS,22.73
