Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,13,41,0,0,2,39,2,0,0,0,0,0,AAP,0.74,#87CEEB,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,250,1,0,0,0,1,0,0,0,0,0,0,ABDBM,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,9325,3,0,0,0,3,0,0,0,0,0,0,ABJS,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,339,2,0,0,0,2,0,0,0,0,0,0,ABML(S),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,3040,19,0,2,2,16,2,1,1,0,0,0,AIFB,0.74,#DA0000,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),2.7
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,677,2,0,0,0,2,0,0,0,0,0,0,AIJHP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,706,8,7,0,7,1,2,5,0,0,7,0,AIMIM,2.57,#285B35,6.8,7 (6.8%),100,100.0% (7/7),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,754,6,0,1,2,4,2,0,0,0,0,0,AISMP,0.74,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,920,3,0,0,0,3,0,0,0,0,0,0,ANASP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,840,12,0,0,0,12,0,0,0,0,0,0,ANC,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,880,3,0,0,0,3,0,0,0,0,0,0,API,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,932,5,0,0,0,5,0,0,0,0,0,0,AYSRCP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,1885,3,0,0,0,3,0,0,0,0,0,0,BBKD,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,1277,10,0,0,1,9,1,0,0,0,0,0,BHRHS,0.37,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,1276,10,0,0,0,10,0,0,0,0,0,0,BHRJP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,1275,79,0,4,5,72,5,2,0,0,0,0,BJLP,1.84,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/4),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,1605,118,5,3,23,92,18,8,0,0,1,0,BJP,8.46,#ff9933,4.85,5 (4.85%),20,20.0% (1/5),0,0.0% (0/3),0
2,1821,103,72,119,74,26,272,1513,204,104,37,17,2018,1074,19,0,0,0,18,1,0,0,0,0,0,BMUP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
