Assembly_No,MyNeta_education,MLAs_var
12,10th Pass,7
12,12th Pass,16
12,8th Pass,3
12,Graduate,12
12,Graduate Professional,11
12,Others,1
12,Post Graduate,10
11,10th Pass,7
11,12th Pass,16
11,5th Pass,1
11,8th Pass,5
11,Graduate,16
11,Graduate Professional,10
11,Post Graduate,5
10,10th Pass,13
10,12th Pass,15
10,5th Pass,1
10,8th Pass,4
10,Graduate,17
10,Graduate Professional,6
10,Post Graduate,4
9,10th Pass,11
9,12th Pass,12
9,5th Pass,1
9,8th Pass,4
9,Graduate,18
9,Graduate Professional,7
9,Literate,1
9,Post Graduate,3
9,Unknown,3
