Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,16.6,82.24,10.81,6.95,66.67,40,60,60,60,16.67
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,31.31,60.94,14.81,24.24,85,31.67,63.33,51.67,37.25,64.71
10,249,51,44,60,4,1,104,130,38,81,14,12,2013,41.77,52.21,15.26,32.53,85,73.33,23.33,20,86.27,25
9,313,56,38,60,12,0,112,174,54,85,16,12,2008,35.78,55.59,17.25,27.16,93.33,63.33,26.67,20,67.86,0
8,254,53,41,60,12,3,92,144,36,74,12,11,2003,36.22,56.69,14.17,29.13,88.33,68.33,20,18.33,77.36,25
7,270,44,29,60,4,0,101,154,48,68,18,12,1998,37.41,57.04,17.78,25.19,73.33,48.33,30,20,65.91,0
6,407,47,25,60,1,0,99,287,52,68,25,18,1993,24.32,70.52,12.78,16.71,78.33,41.67,41.67,30,53.19,0
5,220,47,34,60,1,1,91,123,41,56,22,16,1988,41.36,55.91,18.64,25.45,78.33,56.67,36.67,26.67,72.34,100
4,206,51,37,60,10,0,77,124,51,31,21,15,1983,37.38,60.19,24.76,15.05,85,61.67,35,25,72.55,0
3,328,31,11,60,13,0,64,262,59,7,49,34,1977,19.51,79.88,17.99,2.13,51.67,18.33,81.67,56.67,35.48,0
2,234,6,5,60,0,0,11,223,11,0,55,53,1972,4.7,95.3,4.7,0,10,8.33,91.67,88.33,83.33,0
1,87,0,0,30,0,0,0,87,0,0,30,30,1967,0,100,0,0,0,0,100,100,0,0
