State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Tripura,2023,12,AIFB,60,2529659,56044,1,0,0,0.0,0,1.03,46.64,6,
Tripura,2023,12,AITC,60,2529659,1175898,28,0,28,0.0,0,0.88,1.9,7,
Tripura,2023,12,BJP,60,2529659,2327819,55,32,2,58.18181818181818,53.33,38.97,42.35,1,BHARATIYA JANATA PARTY
Tripura,2023,12,CPI,60,2529659,46720,1,0,0,0.0,0,0.48,25.82,8,COMMUNIST PARTY OF INDIA
Tripura,2023,12,Communist Party of India(Marxist),60,2529659,1802220,43,11,5,25.58139534883721,18.33,24.62,34.56,3,
Tripura,2023,12,Communist Party of India(Marxist-Leninist)(Liberation),60,2529659,43552,1,0,1,0.0,0,0.04,2.34,9,
Tripura,2023,12,INC,60,2529659,543341,13,3,0,23.076923076923077,5,8.56,39.87,4,INDIAN NATIONAL CONGRESS
Tripura,2023,12,IND,60,2529659,2529659,58,0,56,0.0,0,2.25,2.25,10,
Tripura,2023,12,Indigenous People's Front of Tripura,60,2529659,239583,6,1,5,16.666666666666668,1.67,1.26,13.29,5,
Tripura,2023,12,Nationalist Citizens Party of India,60,2529659,82205,2,0,2,0.0,0,0.03,1,11,
Tripura,2023,12,None of the Above,60,2529659,2529659,60,0,0,0.0,0,1.36,1.36,12,
Tripura,2023,12,RPI(A),60,2529659,78974,2,0,2,0.0,0,0.04,1.25,13,
Tripura,2023,12,RSP,60,2529659,43552,1,0,0,0.0,0,0.67,39.05,14,REVOLUTIONARY SOCIALIST PARTY
Tripura,2023,12,Republican Party of India (A),60,2529659,126135,3,0,3,0.0,0,0.02,0.49,15,
Tripura,2023,12,Tipra Motha Party,60,2529659,1759896,42,13,14,30.952380952380953,21.67,19.69,28.31,2,
Tripura,2023,12,Tipraland State Party,60,2529659,42295,1,0,1,0.0,0,0.06,3.44,16,
Tripura,2023,12,Tripura Peoples Party,60,2529659,78041,2,0,2,0.0,0,0.02,0.8,17,
Tripura,2018,11,AIFB,60,2353246,39216,1,0,0,0.0,0,0.56,33.44,4,
Tripura,2018,11,AITC,60,2353246,948949,24,0,24,0.0,0,0.3,0.74,5,
Tripura,2018,11,AMB,60,2353246,948788,24,0,24,0.0,0,0.24,0.6,6,
Tripura,2018,11,BJP,60,2353246,2023605,51,36,0,70.58823529411765,60,43.59,50.69,1,BHARATIYA JANATA PARTY
Tripura,2018,11,CPI,60,2353246,42350,1,0,0,0.0,0,0.82,45.7,7,COMMUNIST PARTY OF INDIA
Tripura,2018,11,CPI(ML)(L),60,2353246,204106,5,0,5,0.0,0,0.06,0.67,8,
Tripura,2018,11,CPM,60,2353246,2229533,57,16,1,28.07017543859649,26.67,42.22,44.57,2,COMMUNIST PARTY OF INDIA  (MARXIST)
Tripura,2018,11,INC,60,2353246,2306581,59,0,58,0.0,0,1.79,1.83,9,INDIAN NATIONAL CONGRESS
Tripura,2018,11,IND,60,2353246,2353246,25,0,25,0.0,0,0.25,0.25,10,
Tripura,2018,11,INPT,60,2353246,558349,15,0,15,0.0,0,0.72,3.03,11,INDIGENOUS NATIONALIST PARTY OF TWIPRA
Tripura,2018,11,IPFT,60,2353246,329641,9,8,0,88.88888888888889,13.33,7.38,52.66,3,INDIGENOUSN PEOPLE'S FRONT OF TRIPURA
Tripura,2018,11,NEINDP,60,2353246,31972,1,0,1,0.0,0,0.01,0.55,12,
Tripura,2018,11,NOTA,60,2353246,2353246,60,0,0,0.0,0,1.03,1.03,13,
Tripura,2018,11,RPI,60,2353246,46563,1,0,1,0.0,0,0.01,0.3,14,
Tripura,2018,11,RSP,60,2353246,42147,1,0,0,0.0,0,0.75,41.68,15,REVOLUTIONARY SOCIALIST PARTY
Tripura,2018,11,SUCI,60,2353246,210579,5,0,5,0.0,0,0.03,0.34,16,
Tripura,2018,11,TLSP,60,2353246,372128,10,0,10,0.0,0,0.15,0.95,17,
Tripura,2018,11,TRIPP,60,2353246,300179,8,0,8,0.0,0,0.11,0.9,18,
Tripura,2013,10,AIFB,60,2202065,39116,1,0,0,0.0,0,0.7,39.41,4,
Tripura,2013,10,AMB,60,2202065,596908,16,0,16,0.0,0,0.25,0.93,5,
Tripura,2013,10,BJP,60,2202065,1833712,50,0,49,0.0,0,1.54,1.84,6,BHARATIYA JANATA PARTY
Tripura,2013,10,CPI,60,2202065,73322,2,1,0,50.0,1.67,1.57,47.05,3,COMMUNIST PARTY OF INDIA
Tripura,2013,10,CPI(ML)(L),60,2202065,366224,10,0,10,0.0,0,0.16,0.97,7,
Tripura,2013,10,CPM,60,2202065,2000212,55,49,0,89.0909090909091,81.67,48.11,52.96,1,COMMUNIST PARTY OF INDIA  (MARXIST)
Tripura,2013,10,INC,60,2202065,1789106,48,10,0,20.833333333333332,16.67,36.53,44.96,2,INDIAN NATIONAL CONGRESS
Tripura,2013,10,IND,60,2202065,2202065,23,0,22,0.0,0,0.96,0.96,8,
Tripura,2013,10,INPT,60,2202065,412959,12,0,1,0.0,0,7.59,40.46,9,INDIGENOUS NATIONALIST PARTY OF TWIPRA
Tripura,2013,10,IPFT,60,2202065,608239,17,0,17,0.0,0,0.46,1.67,10,INDIGENOUSN PEOPLE'S FRONT OF TRIPURA
Tripura,2013,10,JD(U),60,2202065,34035,1,0,1,0.0,0,0.02,1.43,11,
Tripura,2013,10,NCP,60,2202065,72786,2,0,2,0.0,0,0.03,1.04,12,
Tripura,2013,10,RSP,60,2202065,89415,2,0,0,0.0,0,1.95,48.06,13,REVOLUTIONARY SOCIALIST PARTY
Tripura,2013,10,SP,60,2202065,134843,4,0,4,0.0,0,0.08,1.26,14,
Tripura,2013,10,SUCI,60,2202065,240613,6,0,6,0.0,0,0.05,0.49,15,
Tripura,2008,9,AIFB,60,1880834,398047,12,0,12,0.0,0,0.16,0.74,6,
Tripura,2008,9,AITC,60,1880834,718989,22,0,22,0.0,0,0.35,0.92,7,
Tripura,2008,9,AMB,60,1880834,601162,20,0,20,0.0,0,0.31,0.96,8,
Tripura,2008,9,BJP,60,1880834,1573932,49,0,49,0.0,0,1.49,1.79,9,BHARATIYA JANATA PARTY
Tripura,2008,9,CPI,60,1880834,57333,2,1,0,50.0,1.67,1.48,48.65,4,COMMUNIST PARTY OF INDIA
Tripura,2008,9,CPI(ML)(L),60,1880834,472926,14,0,14,0.0,0,0.28,1.11,10,
Tripura,2008,9,CPM,60,1880834,1763183,56,46,0,82.14285714285714,76.67,48.01,51.21,1,COMMUNIST PARTY OF INDIA  (MARXIST)
Tripura,2008,9,INC,60,1880834,1541808,48,10,1,20.833333333333332,16.67,36.38,44.38,2,INDIAN NATIONAL CONGRESS
Tripura,2008,9,IND,60,1880834,1880834,60,0,56,0.0,0,3.21,3.21,11,
Tripura,2008,9,INPT,60,1880834,305404,11,1,2,9.090909090909092,1.67,6.21,38.23,5,INDIGENOUS NATIONALIST PARTY OF TWIPRA
Tripura,2008,9,JD(U),60,1880834,62163,2,0,2,0.0,0,0.06,1.74,12,
Tripura,2008,9,LJP,60,1880834,293444,9,0,9,0.0,0,0.16,1.06,13,
Tripura,2008,9,NCP,60,1880834,205121,5,0,5,0.0,0,0.1,0.92,14,
Tripura,2008,9,PDS,60,1880834,33622,1,0,1,0.0,0,0.11,6.13,15,
Tripura,2008,9,RSP,60,1880834,60318,2,2,0,100.0,3.33,1.69,52.58,3,REVOLUTIONARY SOCIALIST PARTY
Tripura,2003,8,AITC,60,1518789,471606,18,0,18,0.0,0,0.43,1.38,6,
Tripura,2003,8,AMB,60,1518789,218872,9,0,9,0.0,0,0.45,3.1,7,
Tripura,2003,8,BJP,60,1518789,560296,21,0,21,0.0,0,1.32,3.58,8,BHARATIYA JANATA PARTY
Tripura,2003,8,CPI,60,1518789,47464,2,1,0,50.0,1.67,1.54,49.39,5,COMMUNIST PARTY OF INDIA
Tripura,2003,8,CPI(ML)(L),60,1518789,204584,8,0,8,0.0,0,0.17,1.28,9,
Tripura,2003,8,CPM,60,1518789,1395953,55,38,0,69.0909090909091,63.33,46.82,50.94,1,COMMUNIST PARTY OF INDIA  (MARXIST)
Tripura,2003,8,FBL,60,1518789,22594,1,0,0,0.0,0,0.65,43.57,10,ALL INDIA FORWARD BLOC
Tripura,2003,8,INC,60,1518789,1119462,42,13,0,30.952380952380953,21.67,32.84,44.55,2,INDIAN NATIONAL CONGRESS
Tripura,2003,8,IND,60,1518789,1518789,52,0,52,0.0,0,0.84,0.84,11,
Tripura,2003,8,INPT,60,1518789,399327,18,6,0,33.333333333333336,10,12.46,47.38,3,INDIGENOUS NATIONALIST PARTY OF TWIPRA
Tripura,2003,8,JD(U),60,1518789,99047,4,0,4,0.0,0,0.06,0.95,12,
Tripura,2003,8,LJNSP,60,1518789,230502,10,0,10,0.0,0,0.23,1.54,13,
Tripura,2003,8,NCP,60,1518789,276768,12,0,12,0.0,0,0.3,1.65,14,
Tripura,2003,8,RSP,60,1518789,52778,2,2,0,100.0,3.33,1.89,54.36,4,REVOLUTIONARY SOCIALIST PARTY
Tripura,1998,7,AMB,60,1366966,516587,24,0,24,0.0,0,0.32,0.84,7,
Tripura,1998,7,BJP,60,1366966,1366966,60,0,58,0.0,0,5.87,5.87,8,BHARATIYA JANATA PARTY
Tripura,1998,7,CPI,60,1366966,43554,2,1,0,50.0,1.67,1.38,43.17,6,COMMUNIST PARTY OF INDIA
Tripura,1998,7,CPI(ML)(L),60,1366966,43132,2,0,2,0.0,0,0.03,0.94,9,
Tripura,1998,7,CPM,60,1366966,1257924,55,38,0,69.0909090909091,63.33,45.49,49.43,1,COMMUNIST PARTY OF INDIA  (MARXIST)
Tripura,1998,7,FBL,60,1366966,20761,1,0,0,0.0,0,0.56,36.92,10,ALL INDIA FORWARD BLOC
Tripura,1998,7,INC,60,1366966,1065740,45,13,1,28.88888888888889,21.67,33.96,43.55,2,INDIAN NATIONAL CONGRESS
Tripura,1998,7,IND,60,1366966,1366966,60,2,55,3.3333333333333335,3.33,3.29,3.29,4,
Tripura,1998,7,JD,60,1366966,60176,3,0,3,0.0,0,0.24,5.47,11,
Tripura,1998,7,RJD,60,1366966,142543,6,0,6,0.0,0,0.04,0.35,12,
Tripura,1998,7,RSP,60,1366966,44727,2,2,0,100.0,3.33,1.65,50.36,5,REVOLUTIONARY SOCIALIST PARTY
Tripura,1998,7,TUJS,60,1366966,209310,10,4,0,40.0,6.67,7.19,46.95,3,TRIPURA UPAJATI JUBA SAMITY
Tripura,1993,6,AMB,60,1339838,935031,42,0,40,0.0,0,1.46,2.1,8,
Tripura,1993,6,BJP,60,1339838,859096,38,0,36,0.0,0,2.02,3.15,9,BHARATIYA JANATA PARTY
Tripura,1993,6,CPI,60,1339838,45908,2,0,0,0.0,0,1.35,39.34,10,COMMUNIST PARTY OF INDIA
Tripura,1993,6,CPM,60,1339838,1139520,51,44,0,86.27450980392157,73.33,44.78,52.65,1,COMMUNIST PARTY OF INDIA  (MARXIST)
Tripura,1993,6,FBL,60,1339838,20633,1,1,0,100.0,1.67,0.8,51.66,4,ALL INDIA FORWARD BLOC
Tripura,1993,6,INC,60,1339838,1045819,46,10,1,21.73913043478261,16.67,32.73,41.93,2,INDIAN NATIONAL CONGRESS
Tripura,1993,6,IND,60,1339838,1339838,207,1,201,0.4830917874396135,1.67,6.16,6.16,5,
Tripura,1993,6,IPF,60,1339838,39814,2,0,2,0.0,0,0.03,1.13,11,
Tripura,1993,6,JD(B),60,1339838,48112,2,1,0,50.0,1.67,1.57,43.61,6,JANTA DAL (B)
Tripura,1993,6,RSP,60,1339838,42383,2,2,0,100.0,3.33,1.58,50.1,3,REVOLUTIONARY SOCIALIST PARTY
Tripura,1993,6,TJS,60,1339838,294019,14,1,1,7.142857142857143,1.67,7.52,34.26,7,TRIPURA UPJATI JUBA SAMITY
Tripura,1988,5,BJP,60,1136405,192247,10,0,10,0.0,0,0.15,0.91,5,BHARATIYA JANATA PARTY
Tripura,1988,5,CPI,60,1136405,19683,1,0,0,0.0,0,0.82,47.32,6,COMMUNIST PARTY OF INDIA
Tripura,1988,5,CPM,60,1136405,1043161,55,26,0,47.27272727272727,43.33,45.82,49.92,1,COMMUNIST PARTY OF INDIA  (MARXIST)
Tripura,1988,5,FBL,60,1136405,18076,1,0,0,0.0,0,0.67,42.22,7,ALL INDIA FORWARD BLOC
Tripura,1988,5,INC,60,1136405,877112,46,25,0,54.34782608695652,41.67,37.33,48.37,2,INDIAN NATIONAL CONGRESS
Tripura,1988,5,IND,60,1136405,1136405,81,0,78,0.0,0,2.98,2.98,8,
Tripura,1988,5,JNP,60,1136405,186209,10,0,10,0.0,0,0.1,0.61,9,
Tripura,1988,5,RSP,60,1136405,35559,2,2,0,100.0,3.33,1.6,51.13,4,REVOLUTIONARY SOCIALIST PARTY
