State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Tripura,2023,12,1,SIMNA,ST,Brishaketu Debbarma,Tipra Motha Party,22757,1,64.89,,,,64.89
Tripura,2023,12,1,SIMNA,ST,Kumodh Debbarma,Communist Party of India(Marxist),5811,2,16.57,,,,16.57
Tripura,2023,12,1,SIMNA,ST,Binod Debbarma,BJP,5663,3,16.15,,,,16.15
Tripura,2023,12,1,SIMNA,ST,NOTA,None of the Above,422,4,1.2,,,,1.2
Tripura,2023,12,2,MOHANPUR,GEN,Ratan Lal Nath,BJP,19663,1,45.34,1,RATAN LAL NATH,0,-9.77
Tripura,2023,12,2,MOHANPUR,GEN,Tapas Dey,Tipra Motha Party,12278,2,28.31,,,,28.31
Tripura,2023,12,2,MOHANPUR,GEN,Prasanta Sen Chowdhury,INC,10588,3,24.42,4,DILIP KUMAR GHOSH,1,23.58
Tripura,2023,12,2,MOHANPUR,GEN,NOTA,None of the Above,352,5,0.81,,,,0.81
Tripura,2023,12,3,BAMUTIA,SC,Nayan Sarkar,Communist Party of India(Marxist),20119,1,46.39,,,,46.39
Tripura,2023,12,3,BAMUTIA,SC,Krishnadhan Das,BJP,18093,2,41.72,1,KRISHNADHAN DAS,-1,-7.98
Tripura,2023,12,3,BAMUTIA,SC,Nitai Sarkar,Tipra Motha Party,3478,3,8.02,,,,8.02
Tripura,2023,12,3,BAMUTIA,SC,Nihar Ranjan Sarkar,AITC,635,4,1.46,,,,1.46
Tripura,2023,12,3,BAMUTIA,SC,NOTA,None of the Above,473,5,1.09,,,,1.09
Tripura,2023,12,4,BARJALA,SC,Sudip Sarkar,Communist Party of India(Marxist),21486,1,50.93,,,,50.93
Tripura,2023,12,4,BARJALA,SC,Dr. Dilip Kumar Das,BJP,19697,2,46.69,1,DILIP KUMAR DAS,-1,-9.5
Tripura,2023,12,4,BARJALA,SC,NOTA,None of the Above,1001,3,2.37,,,,2.37
Tripura,2023,12,5,KHAYERPUR,GEN,Ratan Chakraborty,BJP,22453,1,47.48,1,RATAN CHAKRABORTY,0,-9.16
Tripura,2023,12,5,KHAYERPUR,GEN,Pabitra Kar,Communist Party of India(Marxist),18343,2,38.79,,,,38.79
Tripura,2023,12,5,KHAYERPUR,GEN,Lakshmi Nag (Barman),Tipra Motha Party,5147,3,10.88,,,,10.88
Tripura,2023,12,5,KHAYERPUR,GEN,Tejen Das,AITC,830,4,1.76,,,,1.76
Tripura,2023,12,5,KHAYERPUR,GEN,NOTA,None of the Above,520,5,1.1,,,,1.1
Tripura,2023,12,6,AGARTALA,GEN,Sudip Roy Barman,INC,26435,1,57.35,3,PRASHANTA SEN CHOWDHURY,2,55.9
Tripura,2023,12,6,AGARTALA,GEN,Papia Dutta,BJP,18273,2,39.64,1,SUDIP ROY BARMAN,-1,-16.95
Tripura,2023,12,6,AGARTALA,GEN,NOTA,None of the Above,562,3,1.22,,,,1.22
Tripura,2023,12,6,AGARTALA,GEN,Arnab Roy,Republican Party of India (A),220,6,0.48,,,,0.48
Tripura,2023,12,7,RAMNAGAR,GEN,SURAJIT DATTA,BJP,17455,1,46.2,1,SURAJIT DATTA,0,-8.47
Tripura,2023,12,7,RAMNAGAR,GEN,PUJAN BISWAS,AITC,2079,3,5.5,5,SOUMEN MAJUMDER,2,4.79
Tripura,2023,12,7,RAMNAGAR,GEN,NOTA,None of the Above,685,5,1.81,,,,1.81
Tripura,2023,12,8,TOWN BORDOWALI,GEN,MANIK SAHA,BJP,19586,1,49.77,1,ASISH KUMAR SAHA,0,-12.18
Tripura,2023,12,8,TOWN BORDOWALI,GEN,ASISH KUMAR SAHA,INC,18329,2,46.58,3,RATNA DATTA,1,43.26
Tripura,2023,12,8,TOWN BORDOWALI,GEN,ANANTA BANERJEE,AITC,639,3,1.62,,,,1.62
Tripura,2023,12,8,TOWN BORDOWALI,GEN,NOTA,None of the Above,351,4,0.89,,,,0.89
Tripura,2023,12,8,TOWN BORDOWALI,GEN,ARNAB ROY,Republican Party of India (A),130,6,0.33,,,,0.33
Tripura,2023,12,9,BANAMALIPUR,GEN,GOPAL CHANDRA ROY,INC,17128,1,49.58,3,GOPAL CHANDRA ROY,2,47.23
Tripura,2023,12,9,BANAMALIPUR,GEN,RAJIB BHATTACHARJEE,BJP,15759,2,45.61,1,BIPLAB KUMAR DEB,-1,-15.96
Tripura,2023,12,9,BANAMALIPUR,GEN,SANTANU SAHA,AITC,732,3,2.12,5,KUHELI DAS (SINHA),2,1.79
Tripura,2023,12,9,BANAMALIPUR,GEN,NOTA,None of the Above,479,4,1.39,,,,1.39
Tripura,2023,12,10,MAJLISHPUR,GEN,Sushanta Chowdhury,BJP,21349,1,46.8,1,SUSHANTA CHOWDHURY,0,-6.6
Tripura,2023,12,10,MAJLISHPUR,GEN,Sanjoy Das,Communist Party of India(Marxist),16177,2,35.46,,,,35.46
Tripura,2023,12,10,MAJLISHPUR,GEN,Samir Basu,Tipra Motha Party,6996,3,15.33,,,,15.33
Tripura,2023,12,10,MAJLISHPUR,GEN,Nirmal Majumder,AITC,608,4,1.33,,,,1.33
Tripura,2023,12,10,MAJLISHPUR,GEN,NOTA,None of the Above,492,5,1.08,,,,1.08
Tripura,2023,12,11,MANDAIBAZAR,ST,Swapna Debbarma,Tipra Motha Party,28726,1,66.35,,,,66.35
Tripura,2023,12,11,MANDAIBAZAR,ST,Radhacharan Debbarma,Communist Party of India(Marxist),7077,2,16.35,,,,16.35
Tripura,2023,12,11,MANDAIBAZAR,ST,Tarit Debbarma,BJP,6603,3,15.25,,,,15.25
Tripura,2023,12,11,MANDAIBAZAR,ST,NOTA,None of the Above,444,4,1.03,,,,1.03
Tripura,2023,12,12,TAKARJALA ,ST,Biswajit Kalai,Tipra Motha Party,34717,1,86.81,,,,86.81
Tripura,2023,12,12,TAKARJALA ,ST,Bidhan DebBarma,Indigenous People's Front of Tripura,2262,2,5.66,,,,5.66
Tripura,2023,12,12,TAKARJALA ,ST,Shyamal Debbarma,Communist Party of India(Marxist),1796,3,4.49,,,,4.49
Tripura,2023,12,12,TAKARJALA ,ST,NOTA,None of the Above,676,4,1.69,,,,1.69
Tripura,2023,12,12,TAKARJALA ,ST,Ananta DebBarma,RPI(A),542,5,1.36,,,,1.36
Tripura,2023,12,13,PRATAPGARH,SC,RAMU DAS,Communist Party of India(Marxist),26422,1,49.61,,,,49.61
Tripura,2023,12,13,PRATAPGARH,SC,REBATI MOHAN DAS,BJP,24336,2,45.7,1,REBATI MOHAN DAS,-1,-5.83
Tripura,2023,12,13,PRATAPGARH,SC,KUHELI DAS,AITC,1181,3,2.22,5,MITHUN DAS,2,1.58
Tripura,2023,12,13,PRATAPGARH,SC,NOTA,None of the Above,555,5,1.04,,,,1.04
Tripura,2023,12,14,BADHARGHAT,SC,Mina Rani Sarkar,BJP,27427,1,48.94,1,DILIP SARKAR,0,-4.91
Tripura,2023,12,14,BADHARGHAT,SC,Partha Ranjan Sarkar,AIFB,26138,2,46.64,,,,46.64
Tripura,2023,12,14,BADHARGHAT,SC,NOTA,None of the Above,720,5,1.28,,,,1.28
Tripura,2023,12,15,KAMALASAGAR,GEN,Antara Sarkar Deb,BJP,19052,1,47.39,2,ARUN BHOWMIK,1,1.84
