State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Tripura,2023,12,BJP,55,32,2,4.69,58.18,1
Tripura,2023,12,Communist Party of India(Marxist),43,11,5,1.04,25.58,3
Tripura,2023,12,INC,13,3,0,3.42,23.08,4
Tripura,2023,12,Indigenous People's Front of Tripura,6,1,5,0.14,16.67,5
Tripura,2023,12,Tipra Motha Party,42,13,14,9.3,30.95,2
Tripura,2018,11,BJP,51,36,0,8.56,70.59,2
Tripura,2018,11,CPM,57,16,1,2.4,28.07,3
Tripura,2018,11,IPFT,9,8,0,13.24,88.89,1
Tripura,2013,10,CPI,2,1,0,4.78,50.0,2
Tripura,2013,10,CPM,55,49,0,9.51,89.09,1
Tripura,2013,10,INC,48,10,0,1.22,20.83,3
Tripura,2008,9,CPI,2,1,0,4,50.0,3
Tripura,2008,9,CPM,56,46,0,8.16,82.14,2
Tripura,2008,9,INC,48,10,1,1.17,20.83,4
Tripura,2008,9,INPT,11,1,2,0.03,9.09,5
Tripura,2008,9,RSP,2,2,0,8.78,100.0,1
Tripura,2003,8,CPI,2,1,0,4.43,50.0,3
Tripura,2003,8,CPM,55,38,0,8.23,69.09,2
Tripura,2003,8,INC,42,13,0,2.01,30.95,5
Tripura,2003,8,INPT,18,6,0,5.36,33.33,4
Tripura,2003,8,RSP,2,2,0,11.18,100.0,1
Tripura,1998,7,CPI,2,1,0,0.18,50.0,3
Tripura,1998,7,CPM,55,38,0,8.95,69.09,2
Tripura,1998,7,INC,45,13,1,2.51,28.89,5
Tripura,1998,7,IND,60,2,55,0.35,3.33,6
Tripura,1998,7,RSP,2,2,0,5.04,100.0,1
Tripura,1998,7,TUJS,10,4,0,2.33,40.0,4
Tripura,1993,6,CPM,51,44,0,16.05,86.27,3
Tripura,1993,6,FBL,1,1,0,6.08,100.0,1
Tripura,1993,6,INC,46,10,1,3.2,21.74,5
Tripura,1993,6,IND,207,1,201,0.05,0.48,7
Tripura,1993,6,JD(B),2,1,0,4.53,50.0,4
Tripura,1993,6,RSP,2,2,0,13.54,100.0,2
Tripura,1993,6,TJS,14,1,1,0.28,7.14,6
Tripura,1988,5,CPM,55,26,0,5.75,47.27,4
Tripura,1988,5,INC,46,25,0,3.54,54.35,2
Tripura,1988,5,RSP,2,2,0,3.25,100.0,1
Tripura,1988,5,TUS,14,7,0,2.38,50.0,3
Tripura,1983,4,CPM,56,37,0,10.17,66.07,2
Tripura,1983,4,INC,45,12,4,1.78,26.67,4
Tripura,1983,4,IND,75,3,63,0.24,4.0,5
Tripura,1983,4,RSP,2,2,0,5.39,100.0,1
Tripura,1983,4,TUS,14,6,1,6.13,42.86,3
Tripura,1977,3,CPM,55,51,0,27.13,92.73,3
Tripura,1977,3,FBL,1,1,0,46.4,100.0,1
Tripura,1977,3,IND,48,2,46,2.15,4.17,5
Tripura,1977,3,RSP,2,2,0,41.71,100.0,2
Tripura,1977,3,TUS,28,4,16,0.8,14.29,4
Tripura,1972,2,CPI,11,1,8,0.36,9.09,3
Tripura,1972,2,CPM,57,16,2,5.21,28.07,2
Tripura,1972,2,INC,59,41,0,10.73,69.49,1
Tripura,1972,2,IND,85,2,73,0.2,2.35,4
Tripura,1967,1,CPI,7,1,0,0.19,14.29,2
Tripura,1967,1,CPM,16,2,0,4.33,12.5,3
Tripura,1967,1,INC,30,27,0,23.02,90.0,1
