Assembly_No,TCPD_Prof_Main,MLAs_var
12,Agriculture,5
12,Business,8
12,Liberal Profession or Professional,4
12,Other,6
12,Politics,1
12,Retired or Pension,2
12,Small Business or Self-employed,6
12,Social Work,28
11,Agriculture,3
11,Business,8
11,Former Government,1
11,Liberal Profession or Professional,3
11,Other,3
11,Politics,4
11,Retired or Pension,5
11,Small Business or Self-employed,3
11,Social Work,30
10,Agriculture,6
10,Business,2
10,Former Government,1
10,Liberal Profession or Professional,2
10,Other,7
10,Politics,8
10,Retired or Pension,1
10,Small Business or Self-employed,1
10,Social Work,32
9,Other,57
9,Unknown,3
