Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
12,1605,10th Pass,2,32,2023,BJP,6.25
12,1605,12th Pass,9,32,2023,BJP,28.12
12,1605,8th Pass,3,32,2023,BJP,9.38
12,1605,Graduate,10,32,2023,BJP,31.25
12,1605,Graduate Professional,5,32,2023,BJP,15.62
12,1605,Post Graduate,3,32,2023,BJP,9.38
12,14635,10th Pass,2,11,2023,Communist Party of India(Marxist),18.18
12,14635,12th Pass,3,11,2023,Communist Party of India(Marxist),27.27
12,14635,Graduate,2,11,2023,Communist Party of India(Marxist),18.18
12,14635,Graduate Professional,2,11,2023,Communist Party of India(Marxist),18.18
12,14635,Post Graduate,2,11,2023,Communist Party of India(Marxist),18.18
12,3482,12th Pass,1,3,2023,INC,33.33
12,3482,Graduate Professional,2,3,2023,INC,66.67
12,3967,12th Pass,1,1,2023,Indigenous People's Front of Tripura,100
12,,10th Pass,3,13,2023,Tipra Motha Party,23.08
12,,12th Pass,2,13,2023,Tipra Motha Party,15.38
12,,Graduate Professional,2,13,2023,Tipra Motha Party,15.38
12,,Others,1,13,2023,Tipra Motha Party,7.69
12,,Post Graduate,5,13,2023,Tipra Motha Party,38.46
11,1605,10th Pass,4,36,2018,BJP,11.11
11,1605,12th Pass,9,36,2018,BJP,25
11,1605,5th Pass,1,36,2018,BJP,2.78
11,1605,8th Pass,4,36,2018,BJP,11.11
11,1605,Graduate,8,36,2018,BJP,22.22
11,1605,Graduate Professional,7,36,2018,BJP,19.44
11,1605,Post Graduate,3,36,2018,BJP,8.33
11,14635,12th Pass,6,16,2018,CPM,37.5
11,14635,8th Pass,1,16,2018,CPM,6.25
11,14635,Graduate,6,16,2018,CPM,37.5
11,14635,Graduate Professional,2,16,2018,CPM,12.5
11,14635,Post Graduate,1,16,2018,CPM,6.25
11,3967,10th Pass,3,8,2018,IPFT,37.5
11,3967,12th Pass,1,8,2018,IPFT,12.5
11,3967,Graduate,2,8,2018,IPFT,25
11,3967,Graduate Professional,1,8,2018,IPFT,12.5
11,3967,Post Graduate,1,8,2018,IPFT,12.5
10,2444,10th Pass,1,1,2013,CPI,100
10,14635,10th Pass,12,49,2013,CPM,24.49
10,14635,12th Pass,10,49,2013,CPM,20.41
10,14635,5th Pass,1,49,2013,CPM,2.04
10,14635,8th Pass,4,49,2013,CPM,8.16
10,14635,Graduate,15,49,2013,CPM,30.61
10,14635,Graduate Professional,3,49,2013,CPM,6.12
10,14635,Post Graduate,4,49,2013,CPM,8.16
10,3482,12th Pass,5,10,2013,INC,50
10,3482,Graduate,2,10,2013,INC,20
10,3482,Graduate Professional,3,10,2013,INC,30
9,2444,8th Pass,1,1,2008,CPI,100
9,14635,10th Pass,10,46,2008,CPM,21.74
9,14635,12th Pass,9,46,2008,CPM,19.57
9,14635,5th Pass,1,46,2008,CPM,2.17
9,14635,8th Pass,3,46,2008,CPM,6.52
9,14635,Graduate,15,46,2008,CPM,32.61
9,14635,Graduate Professional,3,46,2008,CPM,6.52
9,14635,Literate,1,46,2008,CPM,2.17
9,14635,Post Graduate,2,46,2008,CPM,4.35
9,14635,Unknown,2,46,2008,CPM,4.35
9,3482,12th Pass,3,10,2008,INC,30
9,3482,Graduate,1,10,2008,INC,10
9,3482,Graduate Professional,4,10,2008,INC,40
9,3482,Post Graduate,1,10,2008,INC,10
9,3482,Unknown,1,10,2008,INC,10
9,3962,10th Pass,1,1,2008,INPT,100
9,12053,Graduate,2,2,2008,RSP,100
