Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,3040,1,0,0,0,1,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,18228,28,0,1,1,26,2,0,0,0,0,0,AITC,2.33,#4285F4,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,1605,55,26,1,26,29,17,9,13,13,19,0,BJP,60.47,#ff9933,65,26 (65.0%),73.08,73.08% (19/26),0,0.0% (0/1),36.11
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,2444,1,0,0,0,1,0,0,0,0,0,0,CPI,0,#ff3300,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,14635,44,7,0,7,37,2,5,8,8,3,0,Communist Party of India(Marxist),16.28,,17.5,7 (17.5%),42.86,42.86% (3/7),nan,nan% (0/0),22.22
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,3482,13,2,2,2,10,0,3,2,2,1,0,INC,4.65,#138808,5,2 (5.0%),50,50.0% (1/2),0,0.0% (0/2),5.56
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,10809,58,1,0,3,55,3,0,0,0,0,0,IND,6.98,#808080,2.5,1 (2.5%),0,0.0% (0/1),nan,nan% (0/0),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,3967,6,3,0,3,3,3,0,1,1,0,0,Indigenous People's Front of Tripura,6.98,,7.5,3 (7.5%),0,0.0% (0/3),nan,nan% (0/0),2.78
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,24545,2,0,0,0,2,0,0,0,0,0,0,RPI(A),0,#1c0ea0,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,12053,1,0,0,0,1,0,0,0,0,0,0,RSP,0,#F20400,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,12285,3,0,0,0,3,0,0,0,0,0,0,Republican Party of India (A),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,8332,1,0,0,0,1,0,0,0,0,0,0,Tipraland State Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
12,259,40,24,60,6,1,43,213,28,18,36,36,2023,8342,2,0,0,0,2,0,0,0,0,0,0,Tripura Peoples Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,3040,1,0,0,0,1,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,18228,24,0,0,0,23,1,0,0,0,0,0,AITC,0,#4285F4,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,894,24,0,0,9,9,9,6,0,0,0,0,AMB,9.68,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,1605,51,6,12,13,33,6,12,27,22,6,10,BJP,13.98,#ff9933,11.76,6 (11.76%),100,100.0% (6/6),83.33,83.33% (10/12),71.05
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,2444,1,1,0,1,0,0,1,0,0,0,0,CPI,1.08,#ff3300,1.96,1 (1.96%),0,0.0% (0/1),nan,nan% (0/0),0
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,2472,5,0,0,1,3,1,1,0,0,0,0,CPI(ML)(L),1.08,#9c6f73,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,14635,57,42,1,44,11,14,32,3,2,13,0,CPM,47.31,#991f00,82.35,42 (82.35%),30.95,30.95% (13/42),0,0.0% (0/1),7.89
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,3482,59,2,1,6,49,4,6,0,0,0,0,INC,6.45,#138808,3.92,2 (3.92%),0,0.0% (0/2),0,0.0% (0/1),0
11,297,51,19,60,17,11,93,181,44,72,38,31,2018,10809,25,0,0,6,17,3,5,0,0,0,0,IND,6.45,#808080,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
