Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
12,1605,Agriculture,2,32,2023,BJP,6.25
12,1605,Business,7,32,2023,BJP,21.88
12,1605,Liberal Profession or Professional,1,32,2023,BJP,3.12
12,1605,Other,2,32,2023,BJP,6.25
12,1605,Retired or Pension,1,32,2023,BJP,3.12
12,1605,Small Business or Self-employed,1,32,2023,BJP,3.12
12,1605,Social Work,18,32,2023,BJP,56.25
12,14635,Agriculture,2,11,2023,Communist Party of India(Marxist),18.18
12,14635,Business,1,11,2023,Communist Party of India(Marxist),9.09
12,14635,Other,1,11,2023,Communist Party of India(Marxist),9.09
12,14635,Politics,1,11,2023,Communist Party of India(Marxist),9.09
12,14635,Retired or Pension,1,11,2023,Communist Party of India(Marxist),9.09
12,14635,Social Work,5,11,2023,Communist Party of India(Marxist),45.45
12,3482,Agriculture,1,3,2023,INC,33.33
12,3482,Liberal Profession or Professional,2,3,2023,INC,66.67
12,3967,Social Work,1,1,2023,Indigenous People's Front of Tripura,100
12,,Liberal Profession or Professional,1,13,2023,Tipra Motha Party,7.69
12,,Other,3,13,2023,Tipra Motha Party,23.08
12,,Small Business or Self-employed,5,13,2023,Tipra Motha Party,38.46
12,,Social Work,4,13,2023,Tipra Motha Party,30.77
11,1605,Agriculture,3,36,2018,BJP,8.33
11,1605,Business,7,36,2018,BJP,19.44
11,1605,Liberal Profession or Professional,3,36,2018,BJP,8.33
11,1605,Other,1,36,2018,BJP,2.78
11,1605,Retired or Pension,4,36,2018,BJP,11.11
11,1605,Small Business or Self-employed,3,36,2018,BJP,8.33
11,1605,Social Work,15,36,2018,BJP,41.67
11,14635,Other,2,16,2018,CPM,12.5
11,14635,Politics,4,16,2018,CPM,25
11,14635,Social Work,10,16,2018,CPM,62.5
11,3967,Business,1,8,2018,IPFT,12.5
11,3967,Former Government,1,8,2018,IPFT,12.5
11,3967,Retired or Pension,1,8,2018,IPFT,12.5
11,3967,Social Work,5,8,2018,IPFT,62.5
10,2444,Other,1,1,2013,CPI,100
10,14635,Agriculture,5,49,2013,CPM,10.2
10,14635,Former Government,1,49,2013,CPM,2.04
10,14635,Other,6,49,2013,CPM,12.24
10,14635,Politics,7,49,2013,CPM,14.29
10,14635,Retired or Pension,1,49,2013,CPM,2.04
10,14635,Small Business or Self-employed,1,49,2013,CPM,2.04
10,14635,Social Work,28,49,2013,CPM,57.14
10,3482,Agriculture,1,10,2013,INC,10
10,3482,Business,2,10,2013,INC,20
10,3482,Liberal Profession or Professional,2,10,2013,INC,20
10,3482,Politics,1,10,2013,INC,10
10,3482,Social Work,4,10,2013,INC,40
9,2444,Other,1,1,2008,CPI,100
9,14635,Other,44,46,2008,CPM,95.65
9,14635,Unknown,2,46,2008,CPM,4.35
9,3482,Other,9,10,2008,INC,90
9,3482,Unknown,1,10,2008,INC,10
9,3962,Other,1,1,2008,INPT,100
9,12053,Other,2,2,2008,RSP,100
