State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Uttar_Pradesh,18,2022,4442,3522
Uttar_Pradesh,17,2017,4853,3740
Uttar_Pradesh,16,2012,6838,5758
Uttar_Pradesh,15,2007,6086,5034
Uttar_Pradesh,14,2002,5524,4413
Uttar_Pradesh,13,1996,4429,3244
Uttar_Pradesh,12,1993,9601,8536
Uttar_Pradesh,11,1991,7844,6804
Uttar_Pradesh,10,1989,6102,5093
Uttar_Pradesh,9,1985,6019,5116
Uttar_Pradesh,8,1980,4619,3664
Uttar_Pradesh,7,1977,3012,2112
Uttar_Pradesh,6,1974,4039,3011
Uttar_Pradesh,5,1969,2871,1791
Uttar_Pradesh,4,1967,3014,1998
Uttar_Pradesh,3,1962,2620,1613
