Assembly_No,MyNeta_education,MLAs_var
18,10th Pass,24
18,12th Pass,53
18,8th Pass,10
18,Doctorate,15
18,Graduate,95
18,Graduate Professional,71
18,Literate,7
18,Others,3
18,Post Graduate,122
18,Unknown,3
17,10th Pass,30
17,12th Pass,45
17,8th Pass,19
17,Doctorate,17
17,Graduate,89
17,Graduate Professional,71
17,Illiterate,2
17,Literate,3
17,Others,5
17,Post Graduate,109
17,Unknown,13
16,10th Pass,41
16,12th Pass,78
16,5th Pass,3
16,8th Pass,23
16,Doctorate,8
16,Graduate,90
16,Graduate Professional,62
16,Literate,13
16,Others,3
16,Post Graduate,78
16,Unknown,4
15,10th Pass,33
15,12th Pass,57
15,5th Pass,3
15,8th Pass,25
15,Doctorate,7
15,Graduate,93
15,Graduate Professional,63
15,Literate,12
15,Others,4
15,Post Graduate,83
15,Unknown,23
