Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,11.35,85.03,7.27,7.7,49.63,35.73,52.11,45.41,72,21.26
17,4853,244,72,403,234,71,660,4002,462,389,278,202,2017,13.6,82.46,9.52,8.02,60.55,17.87,68.98,50.12,29.51,30.34
16,6838,213,89,403,246,27,612,5969,398,471,245,197,2012,8.95,87.29,5.82,6.89,52.85,22.08,60.79,48.88,41.78,10.98
15,6086,260,116,403,309,62,670,5051,533,502,241,177,2007,11.01,82.99,8.76,8.25,64.52,28.78,59.8,43.92,44.62,20.06
14,5524,238,114,403,289,59,528,4590,459,475,228,171,2002,9.56,83.09,8.31,8.6,59.06,28.29,56.58,42.43,47.9,20.42
13,4429,217,98,424,263,93,571,3555,422,452,248,160,1996,12.89,80.27,9.53,10.21,51.18,23.11,58.49,37.74,45.16,35.36
12,9601,225,101,423,238,67,875,8227,764,610,272,196,1993,9.11,85.69,7.96,6.35,53.19,23.88,64.3,46.34,44.89,28.15
11,7844,251,87,419,293,45,851,6554,822,468,278,197,1991,10.85,83.55,10.48,5.97,59.9,20.76,66.35,47.02,34.66,15.36
10,6102,222,93,425,229,118,583,5191,567,344,263,197,1989,9.55,85.07,9.29,5.64,52.24,21.88,61.88,46.35,41.89,51.53
9,6019,162,82,425,209,49,464,5283,437,299,295,243,1985,7.71,87.77,7.26,4.97,38.12,19.29,69.41,57.18,50.62,23.44
8,4619,172,43,425,303,46,435,3900,446,273,317,245,1980,9.42,84.43,9.66,5.91,40.47,10.12,74.59,57.65,25,15.18
7,3012,202,83,425,196,133,464,2428,385,199,318,245,1977,15.41,80.61,12.78,6.61,47.53,19.53,74.82,57.65,41.09,67.86
6,4039,177,78,424,180,44,439,3493,430,116,322,265,1974,10.87,86.48,10.65,2.87,41.75,18.4,75.94,62.5,44.07,24.44
5,2871,34,16,425,79,30,93,2567,266,38,359,317,1969,3.24,89.41,9.27,1.32,8,3.76,84.47,74.59,47.06,37.97
4,3014,19,10,425,13,4,53,2961,51,2,415,403,1967,1.76,98.24,1.69,0.07,4.47,2.35,97.65,94.82,52.63,30.77
3,2620,0,0,430,0,0,0,2620,0,0,430,430,1962,0,100,0,0,0,0,100,100,0,0
