State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Uttar_Pradesh,18,2022,287,9
Uttar_Pradesh,17,2017,302,8
Uttar_Pradesh,16,2012,222,10
Uttar_Pradesh,15,2007,130,12
Uttar_Pradesh,14,2002,91,16
Uttar_Pradesh,13,1996,75,11
Uttar_Pradesh,12,1993,71,9
Uttar_Pradesh,11,1991,49,9
Uttar_Pradesh,10,1989,41,10
Uttar_Pradesh,9,1985,12,7
Uttar_Pradesh,8,1980,18,8
Uttar_Pradesh,7,1977,14,4
Uttar_Pradesh,6,1974,25,11
Uttar_Pradesh,5,1969,26,11
Uttar_Pradesh,4,1967,8,8
Uttar_Pradesh,3,1962,9,8
