State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Uttar_Pradesh,2022,18,1,BEHAT,GEN,Umar Ali Khan,SP,134513,1,47.81,,,,47.81
Uttar_Pradesh,2022,18,1,BEHAT,GEN,Naresh Saini,BJP,96633,2,34.34,2,MAHAVEER SINGH RANA,0,6.05
Uttar_Pradesh,2022,18,1,BEHAT,GEN,Rais Malik,BSP,45075,3,16.02,3,MOHD. IQBAL,0,-12.1
Uttar_Pradesh,2022,18,1,BEHAT,GEN,Poonam Kamboj,INC,1632,4,0.58,1,NARESH SAINI,-3,-37.84
Uttar_Pradesh,2022,18,1,BEHAT,GEN,Sushil Kumar,AAAP,1162,5,0.41,,,,0.41
Uttar_Pradesh,2022,18,1,BEHAT,GEN,None Of The Above,NOTA,1117,6,0.4,5,None of the Above,-1,-0.22
Uttar_Pradesh,2022,18,2,NAKUR,GEN,MUKESH CHOUDHARY,BJP,104114,1,38.47,1,DR.DHARAM SINGH SAINI,0,1.54
Uttar_Pradesh,2022,18,2,NAKUR,GEN,DR. DHARAM SINGH SAINI,SP,103799,2,38.35,,,,38.35
Uttar_Pradesh,2022,18,2,NAKUR,GEN,SAHIL KHAN,BSP,55112,3,20.36,3,NAVEEN CHOUDHARY,0,-5.21
Uttar_Pradesh,2022,18,2,NAKUR,GEN,RIZWANA,AIMIM,3593,4,1.33,,,,1.33
Uttar_Pradesh,2022,18,2,NAKUR,GEN,RANDHEER SINGH,INC,1354,5,0.5,2,IMRAN MASOOD,-3,-34.85
Uttar_Pradesh,2022,18,2,NAKUR,GEN,None Of The Above,NOTA,710,6,0.26,4,None of the Above,-2,-0.22
Uttar_Pradesh,2022,18,2,NAKUR,GEN,SONU KUMAR,ASPKR,616,7,0.23,,,,0.23
Uttar_Pradesh,2022,18,2,NAKUR,GEN,ATUL KUMAR,Inqalab Vikas Dal,420,8,0.16,,,,0.16
Uttar_Pradesh,2022,18,2,NAKUR,GEN,NITIN KUMAR,Jai Maha Bharath Party,267,9,0.1,,,,0.1
Uttar_Pradesh,2022,18,2,NAKUR,GEN,ASHISH TYAGI,AAAP,240,10,0.09,,,,0.09
Uttar_Pradesh,2022,18,2,NAKUR,GEN,DEVENDRA CHAUHAN,Aamjan Ekta Party,218,11,0.08,,,,0.08
Uttar_Pradesh,2022,18,2,NAKUR,GEN,NAHID LATIF,Lok Dal,209,12,0.08,,,,0.08
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,RAJEEV GUMBER,BJP,143195,1,48.85,2,RAJIV GUMBER,1,3.87
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,SANJAY GARG,SP,135761,2,46.32,1,SANJAY GARG,-1,-0.36
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,Manish,BSP,8776,3,2.99,3,MUKESH DIXIT,0,-3.38
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,SUKHWINDER KAUR,INC,2256,4,0.77,,,,0.77
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,None Of The Above,NOTA,753,5,0.26,6,None of the Above,1,0.01
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,MANSOOR AHMED,ASPKR,695,6,0.24,,,,0.24
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,AVTAR SINGH,Akhand Bharat Vikas Party,398,7,0.14,,,,0.14
Uttar_Pradesh,2022,18,3,SAHARANPUR NAGAR,GEN,RITA,Bahujan Mukti Party,360,8,0.12,,,,0.12
