State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Uttar_Pradesh,2022,18,ADS,17,12,0,7.34,70.59,1
Uttar_Pradesh,2022,18,BJP,376,255,3,9.04,67.82,2
Uttar_Pradesh,2022,18,BSP,403,1,290,0.01,0.25,9
Uttar_Pradesh,2022,18,INC,399,2,387,0.02,0.5,8
Uttar_Pradesh,2022,18,JDL,16,2,14,1.55,12.5,7
Uttar_Pradesh,2022,18,NINSHAD,10,6,0,4.61,60.0,3
Uttar_Pradesh,2022,18,RLD,33,8,3,1.69,24.24,6
Uttar_Pradesh,2022,18,SBSP,19,6,5,2.88,31.58,5
Uttar_Pradesh,2022,18,SP,347,111,6,2.45,31.99,4
Uttar_Pradesh,2017,17,ADAL,11,9,0,12.46,81.82,1
Uttar_Pradesh,2017,17,BJP,384,312,6,12.22,81.25,2
Uttar_Pradesh,2017,17,BSP,403,19,83,0.2,4.71,6
Uttar_Pradesh,2017,17,INC,114,7,30,0.74,6.14,5
Uttar_Pradesh,2017,17,IND,1462,3,1455,0.06,0.21,9
Uttar_Pradesh,2017,17,NINSHAD,72,1,70,0.13,1.39,7
Uttar_Pradesh,2017,17,RLD,277,1,266,0.01,0.36,8
Uttar_Pradesh,2017,17,SBSP,8,4,0,5.99,50.0,3
Uttar_Pradesh,2017,17,SP,311,47,25,1.08,15.11,4
Uttar_Pradesh,2012,16,AD,76,1,69,0.12,1.32,9
Uttar_Pradesh,2012,16,BJP,398,47,229,0.95,11.81,4
Uttar_Pradesh,2012,16,BSP,403,80,51,1.03,19.85,2
Uttar_Pradesh,2012,16,IEMC,18,1,16,0.5,5.56,6
Uttar_Pradesh,2012,16,INC,355,28,240,0.49,7.89,5
Uttar_Pradesh,2012,16,IND,1691,6,1681,0.05,0.35,11
Uttar_Pradesh,2012,16,NCP,127,1,126,0.04,0.79,10
Uttar_Pradesh,2012,16,PECP,208,4,193,0.1,1.92,8
Uttar_Pradesh,2012,16,QED,43,2,37,0.14,4.65,7
Uttar_Pradesh,2012,16,RLD,46,9,19,1.92,19.57,3
Uttar_Pradesh,2012,16,SP,401,224,53,5.03,55.86,1
Uttar_Pradesh,2007,15,ABLTC,2,1,0,4.49,50.0,2
Uttar_Pradesh,2007,15,BJP,350,51,146,0.99,14.57,4
Uttar_Pradesh,2007,15,BJSH,66,1,65,0.02,1.52,10
Uttar_Pradesh,2007,15,BSP,403,206,36,3.81,51.12,1
Uttar_Pradesh,2007,15,INC,393,22,323,0.61,5.6,7
Uttar_Pradesh,2007,15,IND,2581,9,2560,0.05,0.35,13
Uttar_Pradesh,2007,15,JD(U),16,1,12,0.18,6.25,6
Uttar_Pradesh,2007,15,JM,118,1,116,0.01,0.85,11
Uttar_Pradesh,2007,15,RLD,254,10,222,0.26,3.94,8
Uttar_Pradesh,2007,15,RPD,14,2,12,0.73,14.29,5
Uttar_Pradesh,2007,15,RSBP,122,1,121,0.05,0.82,12
Uttar_Pradesh,2007,15,SP,393,97,70,1.54,24.68,3
Uttar_Pradesh,2007,15,UPUDF,54,1,51,0.01,1.85,9
Uttar_Pradesh,2002,14,ABHM,15,1,13,1.24,6.67,8
Uttar_Pradesh,2002,14,ABLTC,25,2,19,0.79,8.0,7
Uttar_Pradesh,2002,14,AD,227,3,216,0.1,1.32,14
Uttar_Pradesh,2002,14,BJP,320,88,50,1.86,27.5,4
Uttar_Pradesh,2002,14,BSP,401,98,91,1.43,24.44,5
Uttar_Pradesh,2002,14,CPM,6,2,3,1.92,33.33,3
Uttar_Pradesh,2002,14,INC,401,25,333,0.7,6.23,9
Uttar_Pradesh,2002,14,IND,2348,16,2313,0.11,0.68,17
Uttar_Pradesh,2002,14,JD(U),16,2,8,0.45,12.5,6
Uttar_Pradesh,2002,14,JP,23,1,21,0.92,4.35,12
Uttar_Pradesh,2002,14,LJNSP,18,1,9,0.12,5.56,10
Uttar_Pradesh,2002,14,NLP,129,1,125,0.01,0.78,16
Uttar_Pradesh,2002,14,RLD,38,14,12,5.14,36.84,1
Uttar_Pradesh,2002,14,RPD,61,1,58,0.11,1.64,13
Uttar_Pradesh,2002,14,RTKP,335,4,315,0.19,1.19,15
Uttar_Pradesh,2002,14,SJP(R),21,1,20,0.2,4.76,11
Uttar_Pradesh,2002,14,SP,390,143,68,2.98,36.67,2
Uttar_Pradesh,1996,13,AIIC(T),37,4,17,0.68,10.81,9
Uttar_Pradesh,1996,13,BJP,414,174,13,4.73,42.03,1
Uttar_Pradesh,1996,13,BKKGP,38,8,17,2.9,21.05,7
Uttar_Pradesh,1996,13,BSP,296,67,28,1.59,22.64,5
Uttar_Pradesh,1996,13,CPI,15,1,7,0.24,6.67,10
Uttar_Pradesh,1996,13,CPM,11,4,1,4.44,36.36,3
Uttar_Pradesh,1996,13,INC,126,33,20,2.88,26.19,4
Uttar_Pradesh,1996,13,IND,2031,13,1993,0.11,0.64,12
Uttar_Pradesh,1996,13,JD,54,7,20,1.19,12.96,8
Uttar_Pradesh,1996,13,SAP,9,2,5,1.29,22.22,6
Uttar_Pradesh,1996,13,SJP(R),77,1,72,0.18,1.3,11
Uttar_Pradesh,1996,13,SP,281,110,19,3.27,39.15,2
Uttar_Pradesh,1993,12,BJP,422,177,20,4.05,41.94,2
Uttar_Pradesh,1993,12,BSP,165,68,40,4.95,41.21,3
Uttar_Pradesh,1993,12,CPI,37,3,33,0.32,8.11,4
Uttar_Pradesh,1993,12,CPM,17,1,11,0.29,5.88,8
Uttar_Pradesh,1993,12,INC,421,28,264,0.57,6.65,7
Uttar_Pradesh,1993,12,IND,6444,8,6417,0.02,0.12,10
Uttar_Pradesh,1993,12,JD,377,27,244,0.37,7.16,6
Uttar_Pradesh,1993,12,JP,298,1,296,0,0.34,9
Uttar_Pradesh,1993,12,SP,256,109,52,4.47,42.58,1
Uttar_Pradesh,1993,12,UKD,13,1,12,0.03,7.69,5
Uttar_Pradesh,1991,11,BJP,415,221,41,6.83,53.25,1
Uttar_Pradesh,1991,11,BSP,386,12,299,0.23,3.11,9
