Assembly_No,TCPD_Prof_Main,MLAs_var
18,Agriculture,87
18,Business,158
18,Education,2
18,Former Government,1
18,Labourer or Daily Wage,1
18,Liberal Profession or Professional,24
18,Other,44
18,Politics,38
18,Retired or Pension,15
18,Salaried Work or Employed,22
18,Small Business or Self-employed,2
18,Social Work,7
18,Unknown,2
17,Agriculture,94
17,Business,153
17,Education,12
17,Former Government,3
17,Labourer or Daily Wage,2
17,Liberal Profession or Professional,29
17,Other,41
17,Politics,16
17,Retired or Pension,17
17,Salaried Work or Employed,8
17,Small Business or Self-employed,4
17,Social Work,11
17,Unknown,13
16,Agriculture,133
16,Business,115
16,Education,8
16,Former Government,6
16,Labourer or Daily Wage,1
16,Liberal Profession or Professional,18
16,Other,65
16,Politics,24
16,Retired or Pension,10
16,Salaried Work or Employed,5
16,Small Business or Self-employed,1
16,Social Work,16
16,Unknown,1
15,Other,395
15,Unknown,8
