Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
18,956,12th Pass,1,12,2022,ADS,8.33
18,956,Doctorate,2,12,2022,ADS,16.67
18,956,Graduate,3,12,2022,ADS,25
18,956,Graduate Professional,4,12,2022,ADS,33.33
18,956,Post Graduate,2,12,2022,ADS,16.67
18,1605,10th Pass,18,255,2022,BJP,7.06
18,1605,12th Pass,28,255,2022,BJP,10.98
18,1605,8th Pass,7,255,2022,BJP,2.75
18,1605,Doctorate,10,255,2022,BJP,3.92
18,1605,Graduate,61,255,2022,BJP,23.92
18,1605,Graduate Professional,43,255,2022,BJP,16.86
18,1605,Literate,2,255,2022,BJP,0.78
18,1605,Others,1,255,2022,BJP,0.39
18,1605,Post Graduate,82,255,2022,BJP,32.16
18,1605,Unknown,3,255,2022,BJP,1.18
18,16651,12th Pass,1,1,2022,BSP,100
18,3482,Graduate,1,2,2022,INC,50
18,3482,Graduate Professional,1,2,2022,INC,50
18,25025,Graduate,1,2,2022,JDL,50
18,25025,Post Graduate,1,2,2022,JDL,50
18,5873,12th Pass,1,6,2022,NINSHAD,16.67
18,5873,Graduate,1,6,2022,NINSHAD,16.67
18,5873,Graduate Professional,1,6,2022,NINSHAD,16.67
18,5873,Others,1,6,2022,NINSHAD,16.67
18,5873,Post Graduate,2,6,2022,NINSHAD,33.33
18,12169,12th Pass,3,8,2022,RLD,37.5
18,12169,Doctorate,1,8,2022,RLD,12.5
18,12169,Graduate,1,8,2022,RLD,12.5
18,12169,Graduate Professional,1,8,2022,RLD,12.5
18,12169,Post Graduate,2,8,2022,RLD,25
18,18721,12th Pass,1,6,2022,SBSP,16.67
18,18721,Graduate,2,6,2022,SBSP,33.33
18,18721,Graduate Professional,1,6,2022,SBSP,16.67
18,18721,Literate,1,6,2022,SBSP,16.67
18,18721,Post Graduate,1,6,2022,SBSP,16.67
18,7425,10th Pass,6,111,2022,SP,5.41
18,7425,12th Pass,18,111,2022,SP,16.22
18,7425,8th Pass,3,111,2022,SP,2.7
18,7425,Doctorate,2,111,2022,SP,1.8
18,7425,Graduate,25,111,2022,SP,22.52
18,7425,Graduate Professional,20,111,2022,SP,18.02
18,7425,Literate,4,111,2022,SP,3.6
18,7425,Others,1,111,2022,SP,0.9
18,7425,Post Graduate,32,111,2022,SP,28.83
17,956,Unknown,9,9,2017,ADAL,100
17,1605,10th Pass,28,312,2017,BJP,8.97
17,1605,12th Pass,35,312,2017,BJP,11.22
17,1605,8th Pass,13,312,2017,BJP,4.17
17,1605,Doctorate,11,312,2017,BJP,3.53
17,1605,Graduate,70,312,2017,BJP,22.44
17,1605,Graduate Professional,51,312,2017,BJP,16.35
17,1605,Illiterate,2,312,2017,BJP,0.64
17,1605,Literate,2,312,2017,BJP,0.64
17,1605,Others,4,312,2017,BJP,1.28
17,1605,Post Graduate,95,312,2017,BJP,30.45
17,1605,Unknown,1,312,2017,BJP,0.32
17,16651,12th Pass,1,19,2017,BSP,5.26
17,16651,8th Pass,1,19,2017,BSP,5.26
17,16651,Doctorate,2,19,2017,BSP,10.53
17,16651,Graduate,4,19,2017,BSP,21.05
17,16651,Graduate Professional,6,19,2017,BSP,31.58
17,16651,Post Graduate,4,19,2017,BSP,21.05
17,16651,Unknown,1,19,2017,BSP,5.26
17,3482,10th Pass,1,7,2017,INC,14.29
17,3482,12th Pass,1,7,2017,INC,14.29
17,3482,Graduate,2,7,2017,INC,28.57
17,3482,Post Graduate,3,7,2017,INC,42.86
17,10809,Graduate,2,3,2017,IND,66.67
17,10809,Post Graduate,1,3,2017,IND,33.33
17,5873,Unknown,1,1,2017,NINSHAD,100
17,12169,12th Pass,1,1,2017,RLD,100
17,18721,12th Pass,1,4,2017,SBSP,25
17,18721,8th Pass,1,4,2017,SBSP,25
17,18721,Graduate,2,4,2017,SBSP,50
17,7425,10th Pass,1,47,2017,SP,2.13
17,7425,12th Pass,6,47,2017,SP,12.77
17,7425,8th Pass,4,47,2017,SP,8.51
17,7425,Doctorate,4,47,2017,SP,8.51
17,7425,Graduate,9,47,2017,SP,19.15
17,7425,Graduate Professional,14,47,2017,SP,29.79
17,7425,Literate,1,47,2017,SP,2.13
17,7425,Others,1,47,2017,SP,2.13
17,7425,Post Graduate,6,47,2017,SP,12.77
17,7425,Unknown,1,47,2017,SP,2.13
16,954,Post Graduate,1,1,2012,AD,100
16,1605,10th Pass,1,47,2012,BJP,2.13
16,1605,12th Pass,7,47,2012,BJP,14.89
16,1605,5th Pass,1,47,2012,BJP,2.13
16,1605,8th Pass,1,47,2012,BJP,2.13
16,1605,Doctorate,1,47,2012,BJP,2.13
16,1605,Graduate,10,47,2012,BJP,21.28
16,1605,Graduate Professional,10,47,2012,BJP,21.28
16,1605,Post Graduate,15,47,2012,BJP,31.91
16,1605,Unknown,1,47,2012,BJP,2.13
16,16651,10th Pass,8,80,2012,BSP,10
16,16651,12th Pass,22,80,2012,BSP,27.5
16,16651,8th Pass,8,80,2012,BSP,10
16,16651,Doctorate,1,80,2012,BSP,1.25
16,16651,Graduate,13,80,2012,BSP,16.25
16,16651,Graduate Professional,11,80,2012,BSP,13.75
16,16651,Literate,5,80,2012,BSP,6.25
16,16651,Post Graduate,12,80,2012,BSP,15
16,3998,Unknown,1,1,2012,IEMC,100
16,3482,10th Pass,2,28,2012,INC,7.14
16,3482,12th Pass,5,28,2012,INC,17.86
16,3482,8th Pass,1,28,2012,INC,3.57
16,3482,Doctorate,1,28,2012,INC,3.57
16,3482,Graduate,3,28,2012,INC,10.71
16,3482,Graduate Professional,7,28,2012,INC,25
16,3482,Literate,2,28,2012,INC,7.14
16,3482,Post Graduate,5,28,2012,INC,17.86
16,3482,Unknown,2,28,2012,INC,7.14
16,10809,12th Pass,2,6,2012,IND,33.33
16,10809,8th Pass,1,6,2012,IND,16.67
16,10809,Graduate,2,6,2012,IND,33.33
16,10809,Post Graduate,1,6,2012,IND,16.67
16,5792,12th Pass,1,1,2012,NCP,100
16,5995,10th Pass,1,4,2012,PECP,25
16,5995,Graduate,1,4,2012,PECP,25
16,5995,Graduate Professional,1,4,2012,PECP,25
16,5995,Post Graduate,1,4,2012,PECP,25
16,6306,Graduate,2,2,2012,QED,100
16,12169,10th Pass,1,9,2012,RLD,11.11
16,12169,12th Pass,2,9,2012,RLD,22.22
16,12169,8th Pass,1,9,2012,RLD,11.11
16,12169,Graduate,1,9,2012,RLD,11.11
16,12169,Graduate Professional,2,9,2012,RLD,22.22
16,12169,Post Graduate,2,9,2012,RLD,22.22
16,7425,10th Pass,28,224,2012,SP,12.5
16,7425,12th Pass,39,224,2012,SP,17.41
16,7425,5th Pass,2,224,2012,SP,0.89
16,7425,8th Pass,11,224,2012,SP,4.91
16,7425,Doctorate,5,224,2012,SP,2.23
16,7425,Graduate,58,224,2012,SP,25.89
16,7425,Graduate Professional,31,224,2012,SP,13.84
16,7425,Literate,6,224,2012,SP,2.68
16,7425,Others,3,224,2012,SP,1.34
16,7425,Post Graduate,41,224,2012,SP,18.3
15,412,Unknown,1,1,2007,ABLTC,100
15,1605,10th Pass,3,51,2007,BJP,5.88
15,1605,12th Pass,7,51,2007,BJP,13.73
15,1605,8th Pass,2,51,2007,BJP,3.92
15,1605,Doctorate,1,51,2007,BJP,1.96
15,1605,Graduate,13,51,2007,BJP,25.49
15,1605,Graduate Professional,11,51,2007,BJP,21.57
15,1605,Literate,1,51,2007,BJP,1.96
15,1605,Post Graduate,11,51,2007,BJP,21.57
15,1605,Unknown,2,51,2007,BJP,3.92
15,1452,12th Pass,1,1,2007,BJSH,100
15,16651,10th Pass,20,206,2007,BSP,9.71
15,16651,12th Pass,34,206,2007,BSP,16.5
15,16651,5th Pass,2,206,2007,BSP,0.97
15,16651,8th Pass,13,206,2007,BSP,6.31
15,16651,Doctorate,4,206,2007,BSP,1.94
15,16651,Graduate,46,206,2007,BSP,22.33
15,16651,Graduate Professional,21,206,2007,BSP,10.19
15,16651,Literate,6,206,2007,BSP,2.91
15,16651,Others,4,206,2007,BSP,1.94
15,16651,Post Graduate,44,206,2007,BSP,21.36
15,16651,Unknown,12,206,2007,BSP,5.83
15,3482,10th Pass,1,22,2007,INC,4.55
15,3482,12th Pass,1,22,2007,INC,4.55
15,3482,8th Pass,2,22,2007,INC,9.09
15,3482,Graduate,5,22,2007,INC,22.73
