Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,13,349,0,5,4,339,7,3,0,0,0,0,AAAP,0.79,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/5),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,956,17,0,4,3,13,1,3,10,9,0,3,ADS,0.6,#8e4e67,0,0 (0.0%),nan,nan% (0/0),75,75.0% (3/4),4.76
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,3040,3,0,0,0,3,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,706,95,1,4,2,91,4,0,0,0,0,0,AIMIM,0.4,#285B35,0.5,1 (0.5%),0,0.0% (0/1),0,0.0% (0/4),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,24926,111,1,5,3,106,3,2,0,0,0,0,ASPKR,0.6,,0.5,1 (0.5%),0,0.0% (0/1),0,0.0% (0/5),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25078,1,0,0,0,1,0,0,0,0,0,0,Aam Aadmi Parivartan Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,15592,1,0,0,0,1,0,0,0,0,0,0,Aam Janata Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,17584,20,0,0,0,19,1,0,0,0,0,0,Aam Janta Party (India),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25020,2,0,0,0,2,0,0,0,0,0,0,Aamjan Ekta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,18403,1,0,0,0,1,0,0,0,0,0,0,Aapki Apni Party (Peoples),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,62,2,0,0,0,2,0,0,0,0,0,0,Abhay Samaj Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25082,1,0,0,0,1,0,0,0,0,0,0,Action Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25042,2,0,0,0,2,0,0,0,0,0,0,Adarsh Janta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,85,2,0,0,1,1,1,0,0,0,0,0,Adarsh Samaj Party,0.2,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,89,1,0,0,0,1,0,0,0,0,0,0,Adarshwaadi Congress Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,24366,1,0,0,0,1,0,0,0,0,0,0,Adim Bhartiya Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25021,1,0,0,0,1,0,0,0,0,0,0,Akhand Bharat Vikas Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,385,11,0,0,0,11,0,0,0,0,0,0,Akhil Bharatiya Socialist Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,393,3,0,0,0,3,0,0,0,0,0,0,Akhil Bhartiya Apna Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25093,1,0,0,0,1,0,0,0,0,0,0,Akhil Bhartiya Jansatta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25009,1,0,0,0,1,0,0,0,0,0,0,Akhil Bhartiya Lok Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25085,1,0,0,0,1,0,0,0,0,0,0,Akhil Bhartiya Naitik Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,458,1,0,0,0,1,0,0,0,0,0,0,Al-Hind Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,662,1,0,1,1,0,1,0,0,0,0,0,All India Hindustan Congress Party,0.2,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,726,2,0,0,0,2,0,0,0,0,0,0,All India Minorities Front,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,15661,2,0,0,0,2,0,0,0,0,0,0,All India Peoples' Front (Radical),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,9011,8,0,0,0,7,1,0,0,0,0,0,Ambedkar Samaj Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,871,1,0,0,1,0,1,0,0,0,0,0,Ambedkar Yug Party,0.2,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,880,1,0,0,0,1,0,0,0,0,0,0,Ambedkarite Party of India,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,920,2,0,0,0,2,0,0,0,0,0,0,Anarakshit Samaj Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,928,1,0,0,0,1,0,0,0,0,0,0,Anjaan Aadmi Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25105,4,0,1,1,3,1,0,0,0,0,0,Apana Dal Balihari Party,0.2,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25087,2,0,0,0,2,0,0,0,0,0,0,Apna Bharatiya Sanatan Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25113,6,0,1,0,5,1,0,0,0,0,0,Apna Dal (Kamerawadi),0,#135508,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,15711,2,0,0,0,2,0,0,0,0,0,0,Apna Dal United Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,15715,1,0,0,0,1,0,0,0,0,0,0,Apna Desh Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25004,2,0,0,0,2,0,0,0,0,0,0,Apni Janta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,964,1,0,0,0,1,0,0,0,0,0,0,Apni Zindgi Apna Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25047,2,0,0,0,2,0,0,0,0,0,0,Arjak Adhikar Dal,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,972,1,0,0,0,1,0,0,0,0,0,0,Asankhya Samaj Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25097,4,0,0,0,4,0,0,0,0,0,0,Atal Janshakti Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,15725,1,0,0,0,1,0,0,0,0,0,0,Awami Samta Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,1605,376,150,29,176,178,89,109,122,111,117,17,BJP,34.92,#ff9933,75,150 (75.0%),78,78.0% (117/150),58.62,58.62% (17/29),58.1
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,16651,403,3,38,32,346,35,22,1,1,0,0,BSP,6.35,#003399,1.5,3 (1.5%),0,0.0% (0/3),0,0.0% (0/38),0.48
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,25013,1,0,0,0,1,0,0,0,0,0,0,Bahujan Andolan Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,18340,2,0,0,0,2,0,0,0,0,0,0,Bahujan Awam Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,15729,1,0,0,0,1,0,0,0,0,0,0,Bahujan Kranti Party (Marxwad-Ambedkarwad),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,1060,5,0,0,0,5,0,0,0,0,0,0,Bahujan Maha Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,1074,93,0,1,3,90,2,1,0,0,0,0,Bahujan Mukti Party,0.6,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,1088,2,0,0,0,2,0,0,0,0,0,0,Bahujan Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
18,4442,200,144,403,207,44,504,3777,323,342,210,183,2022,1312,1,0,0,0,1,0,0,0,0,0,0,Bharat Lok Sewak Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
