Assembly_No,MyNeta_education,MLAs_var
5,10th Pass,8
5,12th Pass,9
5,8th Pass,3
5,Doctorate,4
5,Graduate,20
5,Graduate Professional,9
5,Literate,2
5,Post Graduate,15
4,10th Pass,8
4,12th Pass,5
4,8th Pass,2
4,Doctorate,4
4,Graduate,25
4,Graduate Professional,6
4,Others,1
4,Post Graduate,19
3,10th Pass,8
3,12th Pass,7
3,8th Pass,4
3,Doctorate,6
3,Graduate,16
3,Graduate Professional,12
3,Post Graduate,14
3,Unknown,3
2,10th Pass,7
2,12th Pass,8
2,8th Pass,3
2,Doctorate,2
2,Graduate,14
2,Graduate Professional,16
2,Post Graduate,13
2,Unknown,6
