State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Uttarakhand,2022,5,AAAP,70,5377029,5377029,70,0,68,0.0,0,3.31,3.31,5,AAM AADMI PARTY
Uttarakhand,2022,5,AIMIM,70,5377029,400188,4,0,4,0.0,0,0.03,0.42,6,
Uttarakhand,2022,5,ASPKR,70,5377029,1214677,13,0,13,0.0,0,0.63,2.81,7,
Uttarakhand,2022,5,Akhand Bharat Vikas Party,70,5377029,114198,2,0,2,0.0,0,0.01,0.29,8,
Uttarakhand,2022,5,BJP,70,5377029,5377029,70,47,1,67.14285714285714,67.14,44.33,44.33,1,BHARATIYA JANATA PARTY
Uttarakhand,2022,5,BSP,70,5377029,4482614,54,2,49,3.7037037037037037,2.86,4.82,5.79,3,BAHUJAN SAMAJ PARTY
Uttarakhand,2022,5,Bahujan Mukti Party,70,5377029,188592,3,0,3,0.0,0,0.02,0.64,9,
Uttarakhand,2022,5,Bharatiya Jan Jagriti Party,70,5377029,330444,3,0,3,0.0,0,0.01,0.12,10,
Uttarakhand,2022,5,Bharatiya Samajwadi party (Loktantrik),70,5377029,118849,1,0,1,0.0,0,0,0.11,11,
Uttarakhand,2022,5,Bharatiya Subhash Sena,70,5377029,322259,3,0,3,0.0,0,0.02,0.29,12,
Uttarakhand,2022,5,Bhartiya Shakti Chetna Party,70,5377029,100088,1,0,1,0.0,0,0,0.13,13,
Uttarakhand,2022,5,CPI,70,5377029,248604,4,0,4,0.0,0,0.04,0.94,14,
Uttarakhand,2022,5,CPI(ML)(L),70,5377029,146006,2,0,2,0.0,0,0.02,0.63,15,
Uttarakhand,2022,5,CPM,70,5377029,363867,4,0,4,0.0,0,0.04,0.65,16,
Uttarakhand,2022,5,INC,70,5377029,5377029,70,19,3,27.142857142857142,27.14,37.91,37.91,2,INDIAN NATIONAL CONGRESS
Uttarakhand,2022,5,IND,70,5377029,5377029,153,2,144,1.3071895424836601,2.86,5.58,5.58,4,INDEPENDENTS
Uttarakhand,2022,5,Jai Maha Bharath Party,70,5377029,185499,2,0,2,0.0,0,0.01,0.29,17,
Uttarakhand,2022,5,Jan Ekta Party,70,5377029,99869,1,0,1,0.0,0,0,0.25,18,
Uttarakhand,2022,5,Janta Brigade Party,70,5377029,99869,1,0,1,0.0,0,0,0.06,19,
Uttarakhand,2022,5,Loktantrik Janshakti Party,70,5377029,92757,1,0,1,0.0,0,0,0.22,20,
Uttarakhand,2022,5,NOTA,70,5377029,5377029,70,0,0,0.0,0,0.87,0.87,21,
Uttarakhand,2022,5,Naki Bharatiya Ekta Party,70,5377029,107381,1,0,1,0.0,0,0.01,0.3,22,
Uttarakhand,2022,5,Nyaydharmsabha,70,5377029,1186542,12,0,12,0.0,0,0.04,0.19,23,
Uttarakhand,2022,5,Peace Party,70,5377029,76892,1,0,1,0.0,0,0,0.24,24,
Uttarakhand,2022,5,Peoples Party of India (Democratic),70,5377029,714112,9,0,9,0.0,0,0.04,0.28,25,
Uttarakhand,2022,5,RLD,70,5377029,415487,4,0,4,0.0,0,0.01,0.15,26,
Uttarakhand,2022,5,Rashtravadi Vikas Party,70,5377029,205156,2,0,2,0.0,0,0.01,0.14,27,
Uttarakhand,2022,5,Rashtrawadi Janlok Party (Satya),70,5377029,411723,4,0,4,0.0,0,0.1,1.33,28,
Uttarakhand,2022,5,Rashtriya Adarsh Party,70,5377029,118849,1,0,1,0.0,0,0,0.07,29,
Uttarakhand,2022,5,Rashtriya Lokneeti Party,70,5377029,51632,1,0,1,0.0,0,0.01,0.96,30,
Uttarakhand,2022,5,Rashtriya Samaj Dal (R),70,5377029,228165,2,0,2,0.0,0,0,0.05,31,
Uttarakhand,2022,5,Rashtriya Uttarakhand Party,70,5377029,198101,3,0,3,0.0,0,0.01,0.25,32,
Uttarakhand,2022,5,Republican Party of India (A),70,5377029,86996,1,0,1,0.0,0,0,0.12,33,
Uttarakhand,2022,5,Right to Recall Party,70,5377029,346817,4,0,4,0.0,0,0.01,0.12,34,
Uttarakhand,2022,5,SP,70,5377029,4326189,54,0,54,0.0,0,0.29,0.36,35,SAMAJWADI PARTY
Uttarakhand,2022,5,SUCI,70,5377029,65024,1,0,1,0.0,0,0.01,0.71,36,
Uttarakhand,2022,5,Sainik Samaj Party,70,5377029,244699,2,0,2,0.0,0,0,0.1,37,
Uttarakhand,2022,5,Satya Bahumat Party,70,5377029,52153,1,0,1,0.0,0,0,0.42,38,
Uttarakhand,2022,5,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),70,5377029,104838,1,0,1,0.0,0,0,0.22,39,
Uttarakhand,2022,5,UKKD,70,5377029,3076132,43,0,41,0.0,0,1.08,1.89,40,UTTARAKHAND KRANTI DAL
Uttarakhand,2022,5,UTTARAKHAND PARIVARTAN PARTY,70,5377029,517524,7,0,7,0.0,0,0.03,0.35,41,
Uttarakhand,2022,5,Uttarakhand Janata Party,70,5377029,162185,2,0,2,0.0,0,0.01,0.4,42,
Uttarakhand,2022,5,Uttarakhand Janekta Party,70,5377029,380169,6,0,5,0.0,0,0.62,8.82,43,
Uttarakhand,2022,5,Uttarakhand Kranti Dal (Democratic),70,5377029,233147,3,0,3,0.0,0,0.01,0.26,44,
Uttarakhand,2022,5,Uttarakhand Kranti Dal(P),70,5377029,142316,2,0,2,0.0,0,0.01,0.21,45,
Uttarakhand,2022,5,Uttarakhand Raksha Morcha,70,5377029,188692,3,0,3,0.0,0,0.01,0.16,46,
Uttarakhand,2017,4,AIFB,70,4975167,77083,1,0,1,0.0,0,0,0.26,4,
Uttarakhand,2017,4,AVIRP,70,4975167,93549,1,0,1,0.0,0,0,0.13,5,
Uttarakhand,2017,4,BASAPA,70,4975167,355155,4,0,4,0.0,0,0.01,0.2,6,
Uttarakhand,2017,4,BASD,70,4975167,54676,1,0,1,0.0,0,0.02,1.75,7,
Uttarakhand,2017,4,BJP,70,4975167,4975167,70,57,0,81.42857142857143,81.43,46.51,46.51,1,BHARATIYA JANATA PARTY
Uttarakhand,2017,4,BKDL,70,4975167,84415,1,0,1,0.0,0,0,0.18,8,
Uttarakhand,2017,4,BKLJP,70,4975167,46800,1,0,1,0.0,0,0.01,1.07,9,
Uttarakhand,2017,4,BMF,70,4975167,103812,1,0,1,0.0,0,0,0.09,10,
Uttarakhand,2017,4,BMUP,70,4975167,278154,3,0,3,0.0,0,0.01,0.18,11,
Uttarakhand,2017,4,BSP,70,4975167,4935391,69,0,61,0.0,0,6.99,7.04,12,BAHUJAN SAMAJ PARTY
