State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Uttarakhand,2022,5,1,PUROLA,SC,DURGESHWAR LAL,BJP,27856,1,53.95,2,MALCHAND,1,20.06
Uttarakhand,2022,5,1,PUROLA,SC,Malchand,INC,21560,2,41.76,1,RAJKUMAR,-1,5.83
Uttarakhand,2022,5,1,PUROLA,SC,PRAKASH,AAAP,538,3,1.04,,,,1.04
Uttarakhand,2022,5,1,PUROLA,SC,Ram Prasad,Rashtriya Lokneeti Party,495,4,0.96,,,,0.96
Uttarakhand,2022,5,1,PUROLA,SC,Chain Singh,SP,464,5,0.9,,,,0.9
Uttarakhand,2022,5,1,PUROLA,SC,Ujali Devi,BSP,389,6,0.75,5,RAMLAL,-1,-0.62
Uttarakhand,2022,5,1,PUROLA,SC,None Of The Above,NOTA,330,7,0.64,4,None of the Above,-3,-0.9
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,Deepak Bijalwan,INC,16313,2,31.28,2,SANJAY DOBHAL,0,1.9
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,Kedar Singh,BJP,10620,3,20.36,1,KEDAR SINGH,-2,-21.67
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,Manoj Kohli Shyam,AAAP,583,4,1.12,,,,1.12
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,None Of The Above,NOTA,565,5,1.08,6,None of the Above,1,0.18
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,Jagaveer Singh,BSP,343,6,0.66,5,RAJBAHADUR SINGH BAUDDH,-1,-0.47
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,Vishal Singh,Rashtriya Uttarakhand Party,295,7,0.57,,,,0.57
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,Ramesh Chand Ramola,UKKD,264,8,0.51,9,PURUSHOTTAM UNIYAL,1,-0.01
Uttarakhand,2022,5,2,YAMUNOTRI,GEN,Vipin,Satya Bahumat Party,218,9,0.42,,,,0.42
