State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Uttarakhand,2022,5,BJP,70,47,1,8.58,67.14,1
Uttarakhand,2022,5,BSP,54,2,49,0.25,3.7,3
Uttarakhand,2022,5,INC,70,19,3,1.93,27.14,2
Uttarakhand,2022,5,IND,153,2,144,0.12,1.31,4
Uttarakhand,2017,4,BJP,70,57,0,11.78,81.43,1
Uttarakhand,2017,4,INC,70,11,4,0.62,15.71,2
Uttarakhand,2017,4,IND,261,2,243,0.03,0.77,3
Uttarakhand,2012,3,BJP,70,31,3,4.16,44.29,2
Uttarakhand,2012,3,BSP,70,3,52,0.22,4.29,3
Uttarakhand,2012,3,INC,70,32,4,3.88,45.71,1
Uttarakhand,2012,3,IND,261,3,246,0.07,1.15,5
Uttarakhand,2012,3,UKDP,44,1,41,0.13,2.27,4
Uttarakhand,2007,2,BJP,69,34,7,5.35,49.28,1
Uttarakhand,2007,2,BSP,69,8,57,1.08,11.59,3
Uttarakhand,2007,2,INC,69,21,7,2.71,30.43,2
Uttarakhand,2007,2,IND,240,3,229,0.08,1.25,5
Uttarakhand,2007,2,UKKD,61,3,52,0.57,4.92,4
Uttarakhand,2002,1,BJP,69,19,12,2.34,27.54,2
Uttarakhand,2002,1,BSP,68,7,55,0.92,10.29,3
Uttarakhand,2002,1,INC,70,36,10,3.98,51.43,1
Uttarakhand,2002,1,IND,346,3,333,0.09,0.87,6
Uttarakhand,2002,1,NCP,26,1,24,0.34,3.85,5
Uttarakhand,2002,1,UKKD,62,4,54,0.59,6.45,4
