State_Name,Year,Assembly_No,Party,Sub_Region,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
Uttarakhand,2022,5,AAAP,GARHWAL,41,0,41,0,0.0,7
Uttarakhand,2022,5,AAAP,KUMAON,29,0,27,0,0.0,8
Uttarakhand,2022,5,AIMIM,GARHWAL,1,0,1,0,0.0,9
Uttarakhand,2022,5,AIMIM,KUMAON,3,0,3,0,0.0,10
Uttarakhand,2022,5,ASPKR,GARHWAL,12,0,12,0,0.0,11
Uttarakhand,2022,5,ASPKR,KUMAON,1,0,1,0,0.0,12
Uttarakhand,2022,5,Akhand Bharat Vikas Party,GARHWAL,2,0,2,0,0.0,13
Uttarakhand,2022,5,BJP,GARHWAL,41,29,1,9.64,70.73,1
Uttarakhand,2022,5,BJP,KUMAON,29,18,0,7.09,62.07,2
Uttarakhand,2022,5,BSP,GARHWAL,28,2,23,0.48,7.14,5
Uttarakhand,2022,5,BSP,KUMAON,26,0,26,0,0.0,14
Uttarakhand,2022,5,Bahujan Mukti Party,GARHWAL,3,0,3,0,0.0,15
Uttarakhand,2022,5,Bharatiya Jan Jagriti Party,GARHWAL,2,0,2,0,0.0,16
Uttarakhand,2022,5,Bharatiya Jan Jagriti Party,KUMAON,1,0,1,0,0.0,17
Uttarakhand,2022,5,Bharatiya Samajwadi party (Loktantrik),GARHWAL,1,0,1,0,0.0,18
Uttarakhand,2022,5,Bharatiya Subhash Sena,KUMAON,3,0,3,0,0.0,19
Uttarakhand,2022,5,Bhartiya Shakti Chetna Party,KUMAON,1,0,1,0,0.0,20
Uttarakhand,2022,5,CPI,GARHWAL,4,0,4,0,0.0,21
Uttarakhand,2022,5,CPI(ML)(L),GARHWAL,1,0,1,0,0.0,22
Uttarakhand,2022,5,CPI(ML)(L),KUMAON,1,0,1,0,0.0,23
Uttarakhand,2022,5,CPM,GARHWAL,4,0,4,0,0.0,24
Uttarakhand,2022,5,INC,GARHWAL,41,8,3,1.69,19.51,4
Uttarakhand,2022,5,INC,KUMAON,29,11,0,2.26,37.93,3
Uttarakhand,2022,5,IND,GARHWAL,93,2,88,0.2,2.15,6
Uttarakhand,2022,5,IND,KUMAON,60,0,56,0,0.0,25
Uttarakhand,2022,5,Jai Maha Bharath Party,GARHWAL,2,0,2,0,0.0,26
Uttarakhand,2022,5,Jan Ekta Party,KUMAON,1,0,1,0,0.0,27
Uttarakhand,2022,5,Janta Brigade Party,KUMAON,1,0,1,0,0.0,28
Uttarakhand,2022,5,Loktantrik Janshakti Party,GARHWAL,1,0,1,0,0.0,29
Uttarakhand,2022,5,NOTA,GARHWAL,41,0,0,0,0.0,30
Uttarakhand,2022,5,NOTA,KUMAON,29,0,0,0,0.0,31
Uttarakhand,2022,5,Naki Bharatiya Ekta Party,GARHWAL,1,0,1,0,0.0,32
Uttarakhand,2022,5,Nyaydharmsabha,GARHWAL,9,0,9,0,0.0,33
Uttarakhand,2022,5,Nyaydharmsabha,KUMAON,3,0,3,0,0.0,34
Uttarakhand,2022,5,Peace Party,GARHWAL,1,0,1,0,0.0,35
Uttarakhand,2022,5,Peoples Party of India (Democratic),GARHWAL,6,0,6,0,0.0,36
Uttarakhand,2022,5,Peoples Party of India (Democratic),KUMAON,3,0,3,0,0.0,37
Uttarakhand,2022,5,RLD,GARHWAL,3,0,3,0,0.0,38
Uttarakhand,2022,5,RLD,KUMAON,1,0,1,0,0.0,39
Uttarakhand,2022,5,Rashtravadi Vikas Party,GARHWAL,2,0,2,0,0.0,40
Uttarakhand,2022,5,Rashtrawadi Janlok Party (Satya),GARHWAL,4,0,4,0,0.0,41
Uttarakhand,2022,5,Rashtriya Adarsh Party,GARHWAL,1,0,1,0,0.0,42
Uttarakhand,2022,5,Rashtriya Lokneeti Party,GARHWAL,1,0,1,0,0.0,43
Uttarakhand,2022,5,Rashtriya Samaj Dal (R),GARHWAL,2,0,2,0,0.0,44
Uttarakhand,2022,5,Rashtriya Uttarakhand Party,GARHWAL,3,0,3,0,0.0,45
Uttarakhand,2022,5,Republican Party of India (A),KUMAON,1,0,1,0,0.0,46
Uttarakhand,2022,5,Right to Recall Party,GARHWAL,4,0,4,0,0.0,47
Uttarakhand,2022,5,SP,GARHWAL,27,0,27,0,0.0,48
Uttarakhand,2022,5,SP,KUMAON,27,0,27,0,0.0,49
Uttarakhand,2022,5,SUCI,GARHWAL,1,0,1,0,0.0,50
Uttarakhand,2022,5,Sainik Samaj Party,GARHWAL,2,0,2,0,0.0,51
Uttarakhand,2022,5,Satya Bahumat Party,GARHWAL,1,0,1,0,0.0,52
Uttarakhand,2022,5,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),GARHWAL,1,0,1,0,0.0,53
Uttarakhand,2022,5,UKKD,GARHWAL,29,0,28,0,0.0,54
Uttarakhand,2022,5,UKKD,KUMAON,14,0,13,0,0.0,55
Uttarakhand,2022,5,UTTARAKHAND PARIVARTAN PARTY,GARHWAL,1,0,1,0,0.0,56
Uttarakhand,2022,5,UTTARAKHAND PARIVARTAN PARTY,KUMAON,6,0,6,0,0.0,57
Uttarakhand,2022,5,Uttarakhand Janata Party,GARHWAL,2,0,2,0,0.0,58
Uttarakhand,2022,5,Uttarakhand Janekta Party,GARHWAL,6,0,5,0,0.0,59
