Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
5,1605,10th Pass,5,47,2022,BJP,10.64
5,1605,12th Pass,7,47,2022,BJP,14.89
5,1605,8th Pass,2,47,2022,BJP,4.26
5,1605,Doctorate,4,47,2022,BJP,8.51
5,1605,Graduate,15,47,2022,BJP,31.91
5,1605,Graduate Professional,3,47,2022,BJP,6.38
5,1605,Literate,1,47,2022,BJP,2.13
5,1605,Post Graduate,10,47,2022,BJP,21.28
5,16651,8th Pass,1,2,2022,BSP,50
5,16651,Literate,1,2,2022,BSP,50
5,3482,10th Pass,3,19,2022,INC,15.79
5,3482,12th Pass,1,19,2022,INC,5.26
5,3482,Graduate,5,19,2022,INC,26.32
5,3482,Graduate Professional,5,19,2022,INC,26.32
5,3482,Post Graduate,5,19,2022,INC,26.32
5,10809,12th Pass,1,2,2022,IND,50
5,10809,Graduate Professional,1,2,2022,IND,50
4,1605,10th Pass,6,57,2017,BJP,10.53
4,1605,12th Pass,3,57,2017,BJP,5.26
4,1605,8th Pass,2,57,2017,BJP,3.51
4,1605,Doctorate,3,57,2017,BJP,5.26
4,1605,Graduate,21,57,2017,BJP,36.84
4,1605,Graduate Professional,4,57,2017,BJP,7.02
4,1605,Others,1,57,2017,BJP,1.75
4,1605,Post Graduate,17,57,2017,BJP,29.82
4,3482,10th Pass,2,11,2017,INC,18.18
4,3482,12th Pass,2,11,2017,INC,18.18
4,3482,Doctorate,1,11,2017,INC,9.09
4,3482,Graduate,2,11,2017,INC,18.18
4,3482,Graduate Professional,2,11,2017,INC,18.18
4,3482,Post Graduate,2,11,2017,INC,18.18
4,10809,Graduate,2,2,2017,IND,100
3,1605,10th Pass,3,31,2012,BJP,9.68
3,1605,12th Pass,4,31,2012,BJP,12.9
3,1605,8th Pass,3,31,2012,BJP,9.68
3,1605,Doctorate,2,31,2012,BJP,6.45
3,1605,Graduate,8,31,2012,BJP,25.81
3,1605,Graduate Professional,4,31,2012,BJP,12.9
3,1605,Post Graduate,6,31,2012,BJP,19.35
3,1605,Unknown,1,31,2012,BJP,3.23
3,16651,10th Pass,1,3,2012,BSP,33.33
3,16651,8th Pass,1,3,2012,BSP,33.33
3,16651,Graduate Professional,1,3,2012,BSP,33.33
3,3482,10th Pass,4,32,2012,INC,12.5
3,3482,12th Pass,2,32,2012,INC,6.25
3,3482,Doctorate,4,32,2012,INC,12.5
3,3482,Graduate,6,32,2012,INC,18.75
3,3482,Graduate Professional,7,32,2012,INC,21.88
3,3482,Post Graduate,8,32,2012,INC,25
3,3482,Unknown,1,32,2012,INC,3.12
3,10809,12th Pass,1,3,2012,IND,33.33
3,10809,Graduate,1,3,2012,IND,33.33
3,10809,Unknown,1,3,2012,IND,33.33
3,8451,Graduate,1,1,2012,UKDP,100
2,1605,10th Pass,5,34,2007,BJP,14.71
2,1605,12th Pass,4,34,2007,BJP,11.76
2,1605,8th Pass,1,34,2007,BJP,2.94
2,1605,Doctorate,1,34,2007,BJP,2.94
2,1605,Graduate,6,34,2007,BJP,17.65
2,1605,Graduate Professional,7,34,2007,BJP,20.59
2,1605,Post Graduate,10,34,2007,BJP,29.41
2,16651,10th Pass,1,8,2007,BSP,12.5
2,16651,12th Pass,1,8,2007,BSP,12.5
2,16651,8th Pass,1,8,2007,BSP,12.5
2,16651,Graduate,3,8,2007,BSP,37.5
2,16651,Graduate Professional,1,8,2007,BSP,12.5
2,16651,Unknown,1,8,2007,BSP,12.5
2,3482,10th Pass,1,21,2007,INC,4.76
2,3482,12th Pass,3,21,2007,INC,14.29
2,3482,Doctorate,1,21,2007,INC,4.76
2,3482,Graduate,5,21,2007,INC,23.81
2,3482,Graduate Professional,8,21,2007,INC,38.1
2,3482,Post Graduate,2,21,2007,INC,9.52
2,3482,Unknown,1,21,2007,INC,4.76
2,10809,8th Pass,1,3,2007,IND,33.33
2,10809,Post Graduate,1,3,2007,IND,33.33
2,10809,Unknown,1,3,2007,IND,33.33
2,13023,Unknown,3,3,2007,UKKD,100
