Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,13,70,0,7,9,59,8,3,0,0,0,0,AAAP,6.16,#87CEEB,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/7),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,706,4,0,1,1,3,0,1,0,0,0,0,AIMIM,0.68,#285B35,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,24926,13,0,2,2,11,0,2,0,0,0,0,ASPKR,1.37,,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,25036,2,0,0,1,1,1,0,0,0,0,0,Akhand Bharat Vikas Party,0.68,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,1605,70,36,5,45,20,15,35,16,11,27,3,BJP,30.82,#ff9933,75,36 (75.0%),75,75.0% (27/36),60,60.0% (3/5),61.54
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,16651,54,0,2,8,39,10,5,0,0,0,0,BSP,5.48,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/2),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,1074,3,0,0,0,3,0,0,0,0,0,0,Bahujan Mukti Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,25034,3,0,0,0,3,0,0,0,0,0,0,Bharatiya Jan Jagriti Party,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,25033,1,0,0,0,1,0,0,0,0,0,0,Bharatiya Samajwadi party (Loktantrik),0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
5,632,48,32,70,32,4,146,450,85,97,26,18,2022,9668,3,0,0,1,2,1,0,0,0,0,0,Bharatiya Subhash Sena,0.68,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
