Assembly_No,Party_ID,TCPD_Prof_Main,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
5,1605,Agriculture,4,47,2022,BJP,8.51
5,1605,Business,13,47,2022,BJP,27.66
5,1605,Liberal Profession or Professional,1,47,2022,BJP,2.13
5,1605,Other,12,47,2022,BJP,25.53
5,1605,Politics,8,47,2022,BJP,17.02
5,1605,Retired or Pension,3,47,2022,BJP,6.38
5,1605,Salaried Work or Employed,3,47,2022,BJP,6.38
5,1605,Social Work,3,47,2022,BJP,6.38
5,16651,Agriculture,1,2,2022,BSP,50
5,16651,Politics,1,2,2022,BSP,50
5,3482,Agricultural Labour,1,19,2022,INC,5.26
5,3482,Agriculture,2,19,2022,INC,10.53
5,3482,Business,5,19,2022,INC,26.32
5,3482,Liberal Profession or Professional,1,19,2022,INC,5.26
5,3482,Other,4,19,2022,INC,21.05
5,3482,Politics,3,19,2022,INC,15.79
5,3482,Retired or Pension,2,19,2022,INC,10.53
5,3482,Salaried Work or Employed,1,19,2022,INC,5.26
5,10809,Agriculture,1,2,2022,IND,50
5,10809,Business,1,2,2022,IND,50
4,1605,Agriculture,14,57,2017,BJP,24.56
4,1605,Business,17,57,2017,BJP,29.82
4,1605,Liberal Profession or Professional,3,57,2017,BJP,5.26
4,1605,Other,4,57,2017,BJP,7.02
4,1605,Politics,11,57,2017,BJP,19.3
4,1605,Religious Occupation,1,57,2017,BJP,1.75
4,1605,Salaried Work or Employed,2,57,2017,BJP,3.51
4,1605,Small Business or Self-employed,2,57,2017,BJP,3.51
4,1605,Social Work,3,57,2017,BJP,5.26
4,3482,Agriculture,3,11,2017,INC,27.27
4,3482,Business,4,11,2017,INC,36.36
4,3482,Liberal Profession or Professional,1,11,2017,INC,9.09
4,3482,Other,1,11,2017,INC,9.09
4,3482,Retired or Pension,1,11,2017,INC,9.09
4,3482,Salaried Work or Employed,1,11,2017,INC,9.09
4,10809,Other,1,2,2017,IND,50
4,10809,Social Work,1,2,2017,IND,50
3,1605,Agriculture,11,31,2012,BJP,35.48
3,1605,Business,7,31,2012,BJP,22.58
3,1605,Liberal Profession or Professional,1,31,2012,BJP,3.23
3,1605,Other,5,31,2012,BJP,16.13
3,1605,Politics,1,31,2012,BJP,3.23
3,1605,Retired or Pension,1,31,2012,BJP,3.23
3,1605,Salaried Work or Employed,1,31,2012,BJP,3.23
3,1605,Small Business or Self-employed,1,31,2012,BJP,3.23
3,1605,Social Work,2,31,2012,BJP,6.45
3,1605,Unknown,1,31,2012,BJP,3.23
3,16651,Agriculture,2,3,2012,BSP,66.67
3,16651,Education,1,3,2012,BSP,33.33
3,3482,Agriculture,6,32,2012,INC,18.75
3,3482,Business,7,32,2012,INC,21.88
3,3482,Education,1,32,2012,INC,3.12
3,3482,Former Government,1,32,2012,INC,3.12
3,3482,Liberal Profession or Professional,2,32,2012,INC,6.25
3,3482,Other,10,32,2012,INC,31.25
3,3482,Politics,2,32,2012,INC,6.25
3,3482,Retired or Pension,1,32,2012,INC,3.12
3,3482,Social Work,1,32,2012,INC,3.12
3,3482,Unknown,1,32,2012,INC,3.12
3,10809,Agriculture,1,3,2012,IND,33.33
3,10809,Business,1,3,2012,IND,33.33
3,10809,Unknown,1,3,2012,IND,33.33
3,8451,Agriculture,1,1,2012,UKDP,100
2,1605,Other,34,34,2007,BJP,100
2,16651,Other,8,8,2007,BSP,100
2,3482,Other,21,21,2007,INC,100
2,10809,Other,3,3,2007,IND,100
2,13023,Unknown,3,3,2007,UKKD,100
