Assembly_No,MyNeta_education,MLAs_var
17,10th Pass,28
17,12th Pass,62
17,8th Pass,16
17,Doctorate,7
17,Graduate,72
17,Graduate Professional,42
17,Illiterate,1
17,Literate,1
17,Others,4
17,Post Graduate,59
17,Unknown,2
16,10th Pass,36
16,12th Pass,45
16,8th Pass,13
16,Doctorate,9
16,Graduate,84
16,Graduate Professional,39
16,Literate,1
16,Others,3
16,Post Graduate,60
16,Unknown,4
15,10th Pass,28
15,12th Pass,53
15,5th Pass,1
15,8th Pass,16
15,Doctorate,9
15,Graduate,73
15,Graduate Professional,46
15,Others,1
15,Post Graduate,56
15,Unknown,11
14,10th Pass,19
14,12th Pass,10
14,8th Pass,3
14,Doctorate,5
14,Graduate,31
14,Graduate Professional,16
14,Post Graduate,21
14,Unknown,189
