Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,23.26,72.7,13.32,13.98,64.29,40.48,53.06,43.2,62.96,40.62
16,1961,251,180,294,41,13,508,1343,376,242,98,73,2016,25.91,68.49,19.17,12.34,85.37,61.22,33.33,24.83,71.71,31.71
15,1792,159,66,294,30,10,318,1410,187,195,199,153,2011,17.75,78.68,10.44,10.88,54.08,22.45,67.69,52.04,41.51,33.33
14,1654,212,148,294,40,2,431,1113,246,295,123,112,2006,26.06,67.29,14.87,17.84,72.11,50.34,41.84,38.1,69.81,5
13,1676,224,166,294,125,32,443,1131,278,267,112,92,2001,26.43,67.48,16.59,15.93,76.19,56.46,38.1,31.29,74.11,25.6
12,2035,192,148,294,21,2,471,1462,329,244,121,93,1996,23.14,71.84,16.17,11.99,65.31,50.34,41.16,31.63,77.08,9.52
11,1903,188,155,294,14,0,385,1427,225,251,111,103,1991,20.23,74.99,11.82,13.19,63.95,52.72,37.76,35.03,82.45,0
10,1497,205,166,294,17,3,383,1029,188,280,101,89,1987,25.58,68.74,12.56,18.7,69.73,56.46,34.35,30.27,80.98,17.65
9,1204,216,167,294,36,5,377,765,191,248,108,88,1982,31.31,63.54,15.86,20.6,73.47,56.8,36.73,29.93,77.31,13.89
8,1572,168,28,294,103,18,341,1067,193,312,174,124,1977,21.69,67.88,12.28,19.85,57.14,9.52,59.18,42.18,16.67,17.48
7,833,235,124,280,25,8,436,363,256,214,144,87,1972,52.34,43.58,30.73,25.69,83.93,44.29,51.43,31.07,52.77,32
6,1405,202,106,279,66,11,321,1046,246,113,166,134,1971,22.85,74.45,17.51,8.04,72.4,37.99,59.5,48.03,52.48,16.67
5,1019,43,21,280,45,26,70,808,190,21,216,170,1969,6.87,79.29,18.65,2.06,15.36,7.5,77.14,60.71,48.84,57.78
4,1058,16,9,280,3,1,31,1027,29,2,271,264,1967,2.93,97.07,2.74,0.19,5.71,3.21,96.79,94.29,56.25,33.33
3,961,0,0,252,0,0,0,961,0,0,252,252,1962,0,100,0,0,0,0,100,100,0,0
