State_Name,Year,Assembly_No,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
West_Bengal,2021,17,1,MEKLIGANJ,SC,ADHIKARY PARESH CHANDRA,AITC,99338,1,49.98,1,ARGHYA ROY PRADHAN (BILU),0,8.63
West_Bengal,2021,17,1,MEKLIGANJ,SC,DADHIRAM RAY,BJP,84653,2,42.59,3,DADHIRAM RAY,1,29.68
West_Bengal,2021,17,1,MEKLIGANJ,SC,GOBINDA CHANDRA ROY,AIFB,6853,3,3.45,2,PARESH CHANDRA ADHIKARY,-1,-34.23
West_Bengal,2021,17,1,MEKLIGANJ,SC,None Of The Above,NOTA,2447,4,1.23,5,None of the Above,1,-0.06
West_Bengal,2021,17,1,MEKLIGANJ,SC,RANJIT KUMAR ROY,SUCI,1768,5,0.89,6,PRAMILA ROY,1,-0.26
West_Bengal,2021,17,1,MEKLIGANJ,SC,JYOTISH ROY,BSP,1025,6,0.52,4,JYOTISH ROY,-2,-2.6
West_Bengal,2021,17,1,MEKLIGANJ,SC,KUKIL ADHIKARY,Kamatapur People’s Party (United),794,8,0.4,,,,0.4
West_Bengal,2021,17,1,MEKLIGANJ,SC,CHINU ROY BARMAN,Amra Bangalee,400,10,0.2,,,,0.2
West_Bengal,2021,17,2,MATHABHANGA,SC,Sushil Barman,BJP,113249,1,52.87,3,SUSHIL BARMAN,2,37.27
West_Bengal,2021,17,2,MATHABHANGA,SC,Girindra Nath Barman,AITC,87115,2,40.67,1,BINAY KRISHNA BARMAN,-1,-7.43
West_Bengal,2021,17,2,MATHABHANGA,SC,Ashok Barman,CPM,7718,3,3.6,2,KHAGEN CHANDRA BARMAN,-1,-28.57
West_Bengal,2021,17,2,MATHABHANGA,SC,None Of The Above,NOTA,1443,4,0.67,4,None of the Above,0,-0.32
West_Bengal,2021,17,2,MATHABHANGA,SC,Kangsa Raj Barman,Kamatapur People’s Party (United),1289,5,0.6,,,,0.6
West_Bengal,2021,17,2,MATHABHANGA,SC,Bikash Barman,SUCI,589,8,0.27,9,MANJULA ROY,1,-0.24
West_Bengal,2021,17,2,MATHABHANGA,SC,Ratan Barman,Amra Bangalee,486,9,0.23,,,,0.23
West_Bengal,2021,17,3,COOCH BEHAR UTTAR,SC,SUKUMAR ROY,BJP,120483,1,49.4,3,SUKUMAR ROY,2,35.98
West_Bengal,2021,17,3,COOCH BEHAR UTTAR,SC,BINAY KRISHNA BARMAN,AITC,105868,2,43.4,2,PARIMAL BARMAN,0,5.26
West_Bengal,2021,17,3,COOCH BEHAR UTTAR,SC,NAGENDRA NATH ROY,AIFB,11475,3,4.7,1,NAGENDRA NATH ROY,-2,-38.93
West_Bengal,2021,17,3,COOCH BEHAR UTTAR,SC,None Of The Above,NOTA,1570,4,0.64,4,None of the Above,0,-0.54
West_Bengal,2021,17,3,COOCH BEHAR UTTAR,SC,ANIL CHANDRA ROY,SUCI,1386,5,0.57,7,ANILCHANDRA ROY,2,-0.2
West_Bengal,2021,17,3,COOCH BEHAR UTTAR,SC,SAMARESH RAY,Kamatapur People’s Party (United),1127,7,0.46,,,,0.46
West_Bengal,2021,17,3,COOCH BEHAR UTTAR,SC,GOPAL ROY,Amra Bangalee,628,8,0.26,,,,0.26
West_Bengal,2021,17,4,COOCH BEHAR DAKSHIN,GEN,Nikhil Ranjan Dey,BJP,91560,1,46.83,3,NIKHIL RANJAN DEY,2,36.69
West_Bengal,2021,17,4,COOCH BEHAR DAKSHIN,GEN,Avijit De Bhowmik,AITC,86629,2,44.31,1,MIHIR GOSWAMI,-1,-1.93
West_Bengal,2021,17,4,COOCH BEHAR DAKSHIN,GEN,Akshay Thakur,AIFB,10246,3,5.24,2,DEBASIS BANIK,-1,-30.84
West_Bengal,2021,17,4,COOCH BEHAR DAKSHIN,GEN,None Of The Above,NOTA,1464,5,0.75,6,None of the Above,1,-0.64
West_Bengal,2021,17,4,COOCH BEHAR DAKSHIN,GEN,Khokan Majumdar,BSP,1419,6,0.73,4,MAYA MAJUMDER,-2,-2.17
West_Bengal,2021,17,4,COOCH BEHAR DAKSHIN,GEN,Nazma Khandakar,SUCI,1138,7,0.58,7,NAZMA KHANDAKAR,0,-0.36
West_Bengal,2021,17,4,COOCH BEHAR DAKSHIN,GEN,Babla Deb,Amra Bangalee,329,10,0.17,,,,0.17
West_Bengal,2021,17,5,SITALKUCHI,SC,Baren Chandra Barman,BJP,124955,1,50.8,3,BAREN CHANDRA BARMAN,2,38.91
West_Bengal,2021,17,5,SITALKUCHI,SC,Partha Pratim Ray,AITC,107140,2,43.56,1,HITEN BARMAN,-1,-0.62
West_Bengal,2021,17,5,SITALKUCHI,SC,Sudhangshu Pramanik,CPM,6720,3,2.73,2,NAMADIPTI ADHIKARY,-1,-34.72
West_Bengal,2021,17,5,SITALKUCHI,SC,None Of The Above,NOTA,2743,4,1.12,7,None of the Above,3,0.2
West_Bengal,2021,17,5,SITALKUCHI,SC,Manik Chandra Barman,Kamatapur People’s Party (United),976,6,0.4,,,,0.4
West_Bengal,2021,17,5,SITALKUCHI,SC,Kamal Barman,Amra Bangalee,721,7,0.29,,,,0.29
West_Bengal,2021,17,5,SITALKUCHI,SC,Jagadish Adhikari,SUCI,693,8,0.28,5,JAGADISH ADHIKARI,-3,-0.71
West_Bengal,2021,17,6,SITAI,SC,JAGADISH CHANDRA BARMA BASUNIA,AITC,117908,1,49.42,1,JAGADISH CHANDRA BARMA BASUNIA,0,2.03
West_Bengal,2021,17,6,SITAI,SC,DIPAK KUMAR ROY,BJP,107796,2,45.18,3,BHABEN CHANDRA RAY,1,32.44
West_Bengal,2021,17,6,SITAI,SC,KESHAB CHANDRA RAY,INC,3964,3,1.66,2,KESHAB CHANDRA RAY,-1,-34.16
West_Bengal,2021,17,6,SITAI,SC,None Of The Above,NOTA,1577,6,0.66,4,None of the Above,-2,-0.47
West_Bengal,2021,17,6,SITAI,SC,ANIL CHANDRA BARMAN ROY,SUCI,1381,7,0.58,7,ANIL CHANDRA BARMAN ROY,0,-0.18
West_Bengal,2021,17,6,SITAI,SC,PROSHANTA BARMAN,LJP,550,9,0.23,,,,0.23
West_Bengal,2021,17,6,SITAI,SC,PRASANNA KUMAR ROY,Amra Bangalee,369,10,0.15,,,,0.15
West_Bengal,2021,17,7,DINHATA,GEN,NISITH PRAMANIK,BJP,116035,1,47.6,3,SACHINDRA NATH ADHIKARI,2,36.15
West_Bengal,2021,17,7,DINHATA,GEN,UDAYAN GUHA,AITC,115978,2,47.58,1,UDAYAN GUHA,-1,2.54
West_Bengal,2021,17,7,DINHATA,GEN,ABDUR ROUF,AIFB,6069,3,2.49,2,AKSHAY THAKUR,-1,-32.81
West_Bengal,2021,17,7,DINHATA,GEN,None Of The Above,NOTA,1537,4,0.63,6,None of the Above,2,-0.54
West_Bengal,2021,17,7,DINHATA,GEN,PRADIP ROY,SUCI,1375,6,0.56,10,PRADIP ROY,4,0.23
West_Bengal,2021,17,8,NATABARI,GEN,Mihir Goswami,BJP,111743,1,51.45,3,ALI HOSSAIN,2,40.67
West_Bengal,2021,17,8,NATABARI,GEN,Rabindra Nath Ghosh,AITC,88303,2,40.66,1,RABINDRA NATH GHOSH,-1,-6.06
West_Bengal,2021,17,8,NATABARI,GEN,Akik Hassan,CPM,11839,3,5.45,2,TAMSER ALI,-1,-33.18
West_Bengal,2021,17,8,NATABARI,GEN,Abdus Salam,SUCI,1186,5,0.55,7,RABIA SARKAR,2,-0.08
West_Bengal,2021,17,8,NATABARI,GEN,None Of The Above,NOTA,1146,6,0.53,6,None of the Above,0,-0.26
West_Bengal,2021,17,8,NATABARI,GEN,Dalendra Nath Ray,Amra Bangalee,1110,7,0.51,,,,0.51
West_Bengal,2021,17,8,NATABARI,GEN,Ekramul Hoque,United Socialist Party,505,8,0.23,,,,0.23
