State_Name,Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
West_Bengal,2021,17,AITC,290,215,0,11.89,74.14,1
West_Bengal,2021,17,BJP,293,77,11,1.79,26.28,2
West_Bengal,2021,17,IND,615,1,607,0,0.16,4
West_Bengal,2021,17,RSSCMJP,32,1,23,0.34,3.12,3
West_Bengal,2016,16,AIFB,25,2,2,0.95,8.0,7
West_Bengal,2016,16,AITC,293,211,1,8.57,72.01,1
West_Bengal,2016,16,BJP,291,3,263,0.07,1.03,8
West_Bengal,2016,16,CPI,11,1,0,0.02,9.09,6
West_Bengal,2016,16,CPM,148,26,0,1.11,17.57,4
West_Bengal,2016,16,GOJAM,5,3,2,12.03,60.0,2
West_Bengal,2016,16,INC,92,44,4,6.23,47.83,3
West_Bengal,2016,16,IND,371,1,359,0.05,0.27,9
West_Bengal,2016,16,RSP,19,3,4,0.24,15.79,5
West_Bengal,2011,15,AIFB,34,11,0,2.37,32.35,5
West_Bengal,2011,15,AITC,226,184,3,10.46,81.42,2
West_Bengal,2011,15,CPI,14,2,1,0.25,14.29,9
West_Bengal,2011,15,CPM,213,40,2,1.1,18.78,8
West_Bengal,2011,15,DSP(P),2,1,0,0.34,50.0,4
West_Bengal,2011,15,GOJAM,3,3,0,70.37,100.0,1
West_Bengal,2011,15,INC,66,42,5,5.03,63.64,3
West_Bengal,2011,15,IND,401,2,387,0.02,0.5,11
West_Bengal,2011,15,RSP,23,7,0,1.56,30.43,6
West_Bengal,2011,15,SP,5,1,0,1.64,20.0,7
West_Bengal,2011,15,SUCI,30,1,28,0.61,3.33,10
West_Bengal,2006,14,AIFB,34,23,0,12.39,67.65,4
West_Bengal,2006,14,AITC,257,30,58,0.86,11.67,10
West_Bengal,2006,14,CPI,13,8,1,9.97,61.54,5
West_Bengal,2006,14,CPM,212,176,2,14.22,83.02,3
West_Bengal,2006,14,DSP(P),2,1,0,11.4,50.0,7
West_Bengal,2006,14,GNLF,5,3,2,25.17,60.0,6
West_Bengal,2006,14,INC,262,21,176,0.64,8.02,11
West_Bengal,2006,14,IND,526,6,517,0.16,1.14,12
West_Bengal,2006,14,JKP(N),4,1,2,1.27,25.0,9
West_Bengal,2006,14,RJD,2,1,0,1.38,50.0,8
West_Bengal,2006,14,RSP,23,20,0,13.19,86.96,2
West_Bengal,2006,14,WBSP,4,4,0,10.53,100.0,1
West_Bengal,2001,13,AITC,226,60,8,2.1,26.55,8
West_Bengal,2001,13,CPI,13,7,1,7.47,53.85,6
West_Bengal,2001,13,CPM,211,143,1,11.4,67.77,4
