Assembly_No,TCPD_Prof_Main,MLAs_var
17,Agriculture,8
17,Business,24
17,Education,16
17,Liberal Profession or Professional,13
17,Other,200
17,Politics,9
17,Retired or Pension,7
17,Small Business or Self-employed,1
17,Social Work,14
17,Unknown,2
16,Agriculture,20
16,Business,54
16,Education,33
16,Former Government,11
16,Labourer or Daily Wage,1
16,Liberal Profession or Professional,32
16,Other,20
16,Politics,27
16,Religious Occupation,1
16,Retired or Pension,35
16,Salaried Work or Employed,10
16,Small Business or Self-employed,1
16,Social Work,43
16,Unemployed,2
16,Unknown,4
15,Agricultural Labour,1
15,Agriculture,30
15,Business,55
15,Education,35
15,Former Government,10
15,Labourer or Daily Wage,2
15,Liberal Profession or Professional,34
15,Other,17
15,Politics,18
15,Retired or Pension,29
15,Salaried Work or Employed,14
15,Small Business or Self-employed,3
15,Social Work,33
15,Unemployed,2
15,Unknown,11
14,Other,110
14,Unknown,184
