Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc
17,18228,10th Pass,18,215,2021,AITC,8.37
17,18228,12th Pass,49,215,2021,AITC,22.79
17,18228,8th Pass,11,215,2021,AITC,5.12
17,18228,Doctorate,5,215,2021,AITC,2.33
17,18228,Graduate,53,215,2021,AITC,24.65
17,18228,Graduate Professional,32,215,2021,AITC,14.88
17,18228,Illiterate,1,215,2021,AITC,0.47
17,18228,Others,3,215,2021,AITC,1.4
17,18228,Post Graduate,41,215,2021,AITC,19.07
17,,Unknown,2,215,2021,AITC,0.93
17,1605,10th Pass,10,77,2021,BJP,12.99
17,1605,12th Pass,13,77,2021,BJP,16.88
17,1605,8th Pass,5,77,2021,BJP,6.49
17,1605,Doctorate,2,77,2021,BJP,2.6
17,1605,Graduate,18,77,2021,BJP,23.38
17,1605,Graduate Professional,10,77,2021,BJP,12.99
17,1605,Literate,1,77,2021,BJP,1.3
17,1605,Others,1,77,2021,BJP,1.3
17,1605,Post Graduate,17,77,2021,BJP,22.08
17,10809,Graduate,1,1,2021,IND,100
17,24987,Post Graduate,1,1,2021,RSSCMJP,100
16,3040,Graduate Professional,1,2,2016,AIFB,50
16,3040,Post Graduate,1,2,2016,AIFB,50
16,18228,10th Pass,26,211,2016,AITC,12.32
16,18228,12th Pass,32,211,2016,AITC,15.17
16,18228,8th Pass,11,211,2016,AITC,5.21
16,18228,Doctorate,7,211,2016,AITC,3.32
16,18228,Graduate,59,211,2016,AITC,27.96
16,18228,Graduate Professional,32,211,2016,AITC,15.17
16,18228,Others,2,211,2016,AITC,0.95
16,18228,Post Graduate,41,211,2016,AITC,19.43
16,18228,Unknown,1,211,2016,AITC,0.47
16,1605,Graduate,2,3,2016,BJP,66.67
16,1605,Others,1,3,2016,BJP,33.33
16,2444,Graduate Professional,1,1,2016,CPI,100
16,14635,10th Pass,7,26,2016,CPM,26.92
16,14635,12th Pass,2,26,2016,CPM,7.69
16,14635,Doctorate,1,26,2016,CPM,3.85
16,14635,Graduate,9,26,2016,CPM,34.62
16,14635,Graduate Professional,1,26,2016,CPM,3.85
16,14635,Post Graduate,6,26,2016,CPM,23.08
16,3154,Unknown,3,3,2016,GOJAM,100
16,3482,10th Pass,3,44,2016,INC,6.82
16,3482,12th Pass,9,44,2016,INC,20.45
16,3482,8th Pass,2,44,2016,INC,4.55
16,3482,Doctorate,1,44,2016,INC,2.27
16,3482,Graduate,12,44,2016,INC,27.27
16,3482,Graduate Professional,4,44,2016,INC,9.09
16,3482,Literate,1,44,2016,INC,2.27
16,3482,Post Graduate,12,44,2016,INC,27.27
16,10809,12th Pass,1,1,2016,IND,100
16,12053,12th Pass,1,3,2016,RSP,33.33
16,12053,Graduate,2,3,2016,RSP,66.67
15,3040,12th Pass,5,11,2011,AIFB,45.45
15,3040,Graduate,2,11,2011,AIFB,18.18
15,3040,Graduate Professional,2,11,2011,AIFB,18.18
15,3040,Post Graduate,1,11,2011,AIFB,9.09
15,3040,Unknown,1,11,2011,AIFB,9.09
15,18228,10th Pass,15,184,2011,AITC,8.15
15,18228,12th Pass,30,184,2011,AITC,16.3
15,18228,5th Pass,1,184,2011,AITC,0.54
15,18228,8th Pass,10,184,2011,AITC,5.43
15,18228,Doctorate,7,184,2011,AITC,3.8
15,18228,Graduate,44,184,2011,AITC,23.91
15,18228,Graduate Professional,36,184,2011,AITC,19.57
15,18228,Post Graduate,36,184,2011,AITC,19.57
15,18228,Unknown,5,184,2011,AITC,2.72
15,2444,12th Pass,1,2,2011,CPI,50
15,2444,8th Pass,1,2,2011,CPI,50
15,14635,10th Pass,7,40,2011,CPM,17.5
15,14635,12th Pass,7,40,2011,CPM,17.5
15,14635,8th Pass,2,40,2011,CPM,5
15,14635,Graduate,9,40,2011,CPM,22.5
15,14635,Graduate Professional,3,40,2011,CPM,7.5
15,14635,Others,1,40,2011,CPM,2.5
15,14635,Post Graduate,11,40,2011,CPM,27.5
15,2936,Post Graduate,1,1,2011,DSP(P),100
15,3154,Unknown,3,3,2011,GOJAM,100
15,3482,10th Pass,4,42,2011,INC,9.52
15,3482,12th Pass,9,42,2011,INC,21.43
15,3482,8th Pass,2,42,2011,INC,4.76
15,3482,Doctorate,1,42,2011,INC,2.38
15,3482,Graduate,13,42,2011,INC,30.95
15,3482,Graduate Professional,5,42,2011,INC,11.9
15,3482,Post Graduate,7,42,2011,INC,16.67
15,3482,Unknown,1,42,2011,INC,2.38
15,10809,10th Pass,1,2,2011,IND,50
15,10809,8th Pass,1,2,2011,IND,50
15,12053,10th Pass,1,7,2011,RSP,14.29
15,12053,12th Pass,1,7,2011,RSP,14.29
15,12053,Graduate,5,7,2011,RSP,71.43
15,7425,Unknown,1,1,2011,SP,100
15,8082,Doctorate,1,1,2011,SUCI,100
14,3040,10th Pass,7,23,2006,AIFB,30.43
14,3040,12th Pass,3,23,2006,AIFB,13.04
14,3040,Doctorate,2,23,2006,AIFB,8.7
14,3040,Graduate,3,23,2006,AIFB,13.04
14,3040,Graduate Professional,1,23,2006,AIFB,4.35
14,3040,Post Graduate,4,23,2006,AIFB,17.39
14,3040,Unknown,3,23,2006,AIFB,13.04
14,18228,12th Pass,3,30,2006,AITC,10
14,18228,8th Pass,2,30,2006,AITC,6.67
14,18228,Doctorate,1,30,2006,AITC,3.33
14,18228,Graduate,7,30,2006,AITC,23.33
14,18228,Graduate Professional,9,30,2006,AITC,30
14,18228,Post Graduate,4,30,2006,AITC,13.33
14,18228,Unknown,4,30,2006,AITC,13.33
14,2444,Doctorate,1,8,2006,CPI,12.5
14,2444,Graduate,3,8,2006,CPI,37.5
14,2444,Graduate Professional,1,8,2006,CPI,12.5
14,2444,Post Graduate,2,8,2006,CPI,25
14,2444,Unknown,1,8,2006,CPI,12.5
14,14635,Unknown,176,176,2006,CPM,100
14,2936,Post Graduate,1,1,2006,DSP(P),100
14,10319,12th Pass,1,3,2006,GNLF,33.33
14,10319,Graduate Professional,1,3,2006,GNLF,33.33
14,10319,Post Graduate,1,3,2006,GNLF,33.33
