Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,3040,21,2,0,12,4,6,11,0,0,0,0,AIFB,2.42,#DA0000,1.06,2 (1.06%),0,0.0% (0/2),nan,nan% (0/0),0
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,706,6,0,0,0,6,0,0,0,0,0,0,AIMIM,0,#285B35,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,18228,288,137,28,158,110,39,139,84,70,113,18,AITC,31.85,#4285F4,72.49,137 (72.49%),82.48,82.48% (113/137),64.29,64.29% (18/28),53.85
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,8958,1,0,0,0,1,0,0,0,0,0,0,AJSUP,0,#84df33,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,268,2,0,0,0,2,0,0,0,0,0,0,Akhil Bharat Hindu Mahasabha,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,726,2,0,0,0,2,0,0,0,0,0,0,All India Minorities Front,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,880,4,0,0,0,4,0,0,0,0,0,0,Ambedkarite Party of India,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,894,40,0,0,9,30,7,3,0,0,0,0,Amra Bangalee,1.81,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,1605,291,16,27,71,205,55,31,68,53,6,8,BJP,14.31,#ff9933,8.47,16 (8.47%),37.5,37.5% (6/16),29.63,29.63% (8/27),43.59
17,2132,189,119,294,64,26,496,1550,284,298,156,127,2021,16651,162,0,1,45,109,38,15,0,0,0,0,BSP,9.07,#003399,0,0 (0.0%),nan,nan% (0/0),0,0.0% (0/1),0
