State_Name,Assembly_No,Year,Parties_Contested,Parties_Represented
Andaman_&_Nicobar_Islands,17,2019,6,1
Andhra_Pradesh,17,2019,50,3
Arunachal_Pradesh,17,2019,6,3
Assam,17,2019,27,5
Bihar,17,2019,116,9
Chandigarh,17,2019,23,1
Chhattisgarh,17,2019,38,2
Dadra_&_Nagar_Haveli,17,2019,7,0
Daman_&_Diu,17,2019,3,2
Delhi,17,2019,53,2
Goa,17,2019,5,2
Gujarat,17,2019,48,2
Haryana,17,2019,50,3
Himachal_Pradesh,17,2019,14,1
Jammu_&_Kashmir,17,2019,19,5
Jharkhand,17,2019,54,4
Karnataka,17,2019,61,3
Kerala,17,2019,24,6
Lakshadweep,17,2019,6,1
Lok_Sabha,17,2019,669,58
Madhya_Pradesh,17,2019,76,2
Maharashtra,17,2019,93,8
Manipur,17,2019,11,4
Meghalaya,17,2019,4,4
Mizoram,17,2019,3,1
Nagaland,17,2019,3,2
Odisha,17,2019,31,3
Puducherry,17,2019,10,2
Punjab,17,2019,53,6
Rajasthan,17,2019,37,4
Sikkim,17,2019,9,2
Tamil_Nadu,17,2019,55,9
Telangana,17,2019,44,4
Tripura,17,2019,9,2
Uttar_Pradesh,17,2019,198,7
Uttarakhand,17,2019,17,2
West_Bengal,17,2019,48,3
Andaman_&_Nicobar_Islands,16,2014,10,1
Andhra_Pradesh,16,2014,62,6
Arunachal_Pradesh,16,2014,7,3
Assam,16,2014,18,4
Bihar,16,2014,75,9
Chandigarh,16,2014,9,1
Chhattisgarh,16,2014,26,2
Dadra_&_Nagar_Haveli,16,2014,8,1
Daman_&_Diu,16,2014,4,1
Delhi,16,2014,43,2
Goa,16,2014,9,2
Gujarat,16,2014,32,2
Haryana,16,2014,42,4
Himachal_Pradesh,16,2014,9,2
Jammu_&_Kashmir,16,2014,19,5
Jharkhand,16,2014,39,8
Karnataka,16,2014,38,3
Kerala,16,2014,24,8
Lakshadweep,16,2014,6,1
Lok_Sabha,16,2014,463,54
Madhya_Pradesh,16,2014,55,3
Maharashtra,16,2014,65,7
Manipur,16,2014,10,5
Meghalaya,16,2014,6,4
Mizoram,16,2014,2,1
Nagaland,16,2014,3,2
Odisha,16,2014,26,3
Puducherry,16,2014,11,4
Punjab,16,2014,37,4
Rajasthan,16,2014,39,3
Sikkim,16,2014,6,3
Tamil_Nadu,16,2014,45,6
Tripura,16,2014,11,1
Uttar_Pradesh,16,2014,162,5
Uttarakhand,16,2014,25,2
West_Bengal,16,2014,41,7
Andaman_&_Nicobar_Islands,15,2009,8,1
Andhra_Pradesh,15,2009,42,7
Arunachal_Pradesh,15,2009,5,3
Assam,15,2009,25,5
Bihar,15,2009,66,10
Chandigarh,15,2009,6,1
Chhattisgarh,15,2009,27,4
Dadra_&_Nagar_Haveli,15,2009,3,1
Daman_&_Diu,15,2009,4,1
Delhi,15,2009,46,2
Goa,15,2009,8,3
Gujarat,15,2009,32,3
Haryana,15,2009,37,5
Himachal_Pradesh,15,2009,9,2
Jammu_&_Kashmir,15,2009,24,5
Jharkhand,15,2009,42,9
Karnataka,15,2009,31,3
Kerala,15,2009,18,5
Lakshadweep,15,2009,4,1
Lok_Sabha,15,2009,363,56
Madhya_Pradesh,15,2009,40,4
Maharashtra,15,2009,66,12
Manipur,15,2009,9,6
Meghalaya,15,2009,7,4
Mizoram,15,2009,2,1
Nagaland,15,2009,3,2
Odisha,15,2009,21,5
Puducherry,15,2009,10,2
Punjab,15,2009,31,3
Rajasthan,15,2009,28,3
Sikkim,15,2009,6,1
Tamil_Nadu,15,2009,41,9
Tripura,15,2009,8,1
Uttar_Pradesh,15,2009,123,7
Uttarakhand,15,2009,21,2
West_Bengal,15,2009,28,7
Andhra_Pradesh,14,2004,24,7
Arunachal_Pradesh,14,2004,6,3
Assam,14,2004,17,6
Bihar,14,2004,38,10
Chhattisgarh,14,2004,20,2
Delhi,14,2004,32,2
Goa,14,2004,7,3
Gujarat,14,2004,14,4
Haryana,14,2004,24,4
Himachal_Pradesh,14,2004,5,2
Jammu_&_Kashmir,14,2004,19,6
Jharkhand,14,2004,26,6
Karnataka,14,2004,15,4
Kerala,14,2004,16,8
Lok_Sabha,14,2004,213,52
Madhya_Pradesh,14,2004,26,5
Maharashtra,14,2004,39,9
Manipur,14,2004,8,7
Meghalaya,14,2004,3,3
Mizoram,14,2004,2,1
Nagaland,14,2004,3,2
Odisha,14,2004,14,4
Puducherry,14,2004,7,2
Punjab,14,2004,21,6
Rajasthan,14,2004,22,3
Sikkim,14,2004,4,1
Tamil_Nadu,14,2004,21,8
Tripura,14,2004,6,1
Uttar_Pradesh,14,2004,76,9
Uttarakhand,14,2004,15,4
West_Bengal,14,2004,26,7
Andhra_Pradesh,13,1999,20,6
Arunachal_Pradesh,13,1999,5,4
Assam,13,1999,19,6
Bihar,13,1999,36,11
Delhi,13,1999,20,3
Goa,13,1999,7,2
Gujarat,13,1999,13,2
Haryana,13,1999,13,3
Himachal_Pradesh,13,1999,8,3
Jammu_&_Kashmir,13,1999,21,5
Karnataka,13,1999,12,4
Kerala,13,1999,14,7
Lok_Sabha,13,1999,169,57
Madhya_Pradesh,13,1999,30,4
Maharashtra,13,1999,24,9
Manipur,13,1999,10,7
Meghalaya,13,1999,9,6
Mizoram,13,1999,4,1
Nagaland,13,1999,3,1
Odisha,13,1999,16,4
Puducherry,13,1999,3,3
Punjab,13,1999,20,7
Rajasthan,13,1999,19,5
Sikkim,13,1999,3,2
Tamil_Nadu,13,1999,31,11
Tripura,13,1999,9,3
Uttar_Pradesh,13,1999,56,9
West_Bengal,13,1999,20,7
