Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,State_Name,Year,Expanded_Party_Name
17,AAAP,1,207080,207080,1,0,1,0.0,0,1.37,1.37,2,Andaman_&_Nicobar_Islands,2019,AAM AADMI PARTY
17,AINHCP,1,207080,207080,1,0,1,0.0,0,0.1,0.1,3,Andaman_&_Nicobar_Islands,2019,
17,AITC,1,207080,207080,1,0,1,0.0,0,0.83,0.83,4,Andaman_&_Nicobar_Islands,2019,ALL INDIA TRINAMOOL CONGRESS
17,BJP,1,207080,207080,1,0,0,0.0,0,45.28,45.28,5,Andaman_&_Nicobar_Islands,2019,BHARATIYA JANATA PARTY
17,BSP,1,207080,207080,1,0,1,0.0,0,1.2,1.2,6,Andaman_&_Nicobar_Islands,2019,BAHUJAN SAMAJ PARTY
17,INC,1,207080,207080,1,1,0,100.0,100,46,46,1,Andaman_&_Nicobar_Islands,2019,INDIA NATIONAL CONGRESS
17,IND,1,207080,207080,9,0,9,0.0,0,4.54,4.54,7,Andaman_&_Nicobar_Islands,2019,INDEPENDENT
17,NOTA,1,207080,207080,1,0,1,0.0,0,0.68,0.68,8,Andaman_&_Nicobar_Islands,2019,
17,ACP,175,31386121,1208909,7,0,7,0.0,0,0,0.1,4,Andhra_Pradesh,2019,
17,AIFB,175,31386121,2515875,14,0,14,0.0,0,0.01,0.07,5,Andhra_Pradesh,2019,ALL INDIA FORWARD BLOC
17,AINPP,175,31386121,3828179,21,0,21,0.0,0,0.01,0.05,6,Andhra_Pradesh,2019,
17,ANC,175,31386121,2508124,14,0,14,0.0,0,0,0.06,7,Andhra_Pradesh,2019,
17,APoI,175,31386121,1244688,7,0,7,0.0,0,0.01,0.14,8,Andhra_Pradesh,2019,
17,ARPS,175,31386121,1304262,7,0,7,0.0,0,0,0.12,9,Andhra_Pradesh,2019,
17,AYSRCP,175,31386121,2508124,14,0,14,0.0,0,0.02,0.21,10,Andhra_Pradesh,2019,
17,AlPP,175,31386121,1254570,7,0,7,0.0,0,0,0.03,11,Andhra_Pradesh,2019,
17,BAHUMP,175,31386121,1235472,7,0,7,0.0,0,0,0.08,12,Andhra_Pradesh,2019,
17,BCUF,175,31386121,1288476,7,0,7,0.0,0,0,0.05,13,Andhra_Pradesh,2019,
17,BJP,175,31386121,30173347,168,0,168,0.0,0,0.95,0.98,14,Andhra_Pradesh,2019,BHARATIYA JANATA PARTY
17,BSP,175,31386121,3868004,21,0,21,0.0,0,0.26,2.15,15,Andhra_Pradesh,2019,BAHUJAN SAMAJ PARTY
17,CPI,175,31386121,2554023,14,0,14,0.0,0,0.08,1.03,16,Andhra_Pradesh,2019,COMMUNIST PART OF INDIA
17,CPI(ML)(L),175,31386121,2460280,14,0,14,0.0,0,0.01,0.18,17,Andhra_Pradesh,2019,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)
17,CPIM,175,31386121,3802301,21,0,21,0.0,0,0.13,1.07,18,Andhra_Pradesh,2019,
17,DABAP,175,31386121,1232881,7,0,7,0.0,0,0.01,0.36,19,Andhra_Pradesh,2019,
17,HMRD,175,31386121,1346210,7,0,7,0.0,0,0,0.03,20,Andhra_Pradesh,2019,
17,ILP(AP),175,31386121,1346210,7,0,7,0.0,0,0,0.08,21,Andhra_Pradesh,2019,
17,INC,175,31386121,31386121,175,0,175,0.0,0,1.29,1.29,22,Andhra_Pradesh,2019,INDIA NATIONAL CONGRESS
17,IND,175,31386121,31386121,693,0,693,0.0,0,0.79,0.79,23,Andhra_Pradesh,2019,INDEPENDENT
17,IPBP,175,31386121,4989763,28,0,28,0.0,0,0.02,0.14,24,Andhra_Pradesh,2019,
17,IUML,175,31386121,3915431,21,0,21,0.0,0,0.01,0.06,25,Andhra_Pradesh,2019,INDIAN UNION MUSLIM LEAGUE
17,JAJGP,175,31386121,8527450,49,0,49,0.0,0,0.04,0.13,26,Andhra_Pradesh,2019,
17,JPD,175,31386121,1304262,7,0,7,0.0,0,0,0.07,27,Andhra_Pradesh,2019,
17,JnP,175,31386121,21181160,119,1,101,0.8403361344537815,0.57,5.79,8.58,3,Andhra_Pradesh,2019,
17,MCPI,175,31386121,1168788,7,0,7,0.0,0,0,0.05,28,Andhra_Pradesh,2019,
17,MPP,175,31386121,5064273,28,0,28,0.0,0,0.02,0.14,29,Andhra_Pradesh,2019,MAHABHARATH PEOPLE'S PARTY
17,NDDHP,175,31386121,1346210,7,0,7,0.0,0,0,0.05,30,Andhra_Pradesh,2019,
17,NNKP,175,31386121,1429525,7,0,7,0.0,0,0,0.06,31,Andhra_Pradesh,2019,
17,NOTA,175,31386121,31386121,175,0,175,0.0,0,1.49,1.49,32,Andhra_Pradesh,2019,
17,NPT,175,31386121,2577866,14,0,14,0.0,0,0,0.05,33,Andhra_Pradesh,2019,NAVODYAM PARTY
17,NRCP,175,31386121,3838990,21,0,21,0.0,0,0,0.04,34,Andhra_Pradesh,2019,
17,NVSP,175,31386121,1168788,7,0,7,0.0,0,0.01,0.37,35,Andhra_Pradesh,2019,
17,NavaP,175,31386121,1212774,7,0,7,0.0,0,0,0.09,36,Andhra_Pradesh,2019,
17,PPOI,175,31386121,25185425,140,0,140,0.0,0,0.09,0.11,37,Andhra_Pradesh,2019,
17,PRSHP,175,31386121,5065693,28,0,28,0.0,0,0.03,0.19,38,Andhra_Pradesh,2019,
17,RD,175,31386121,1334375,7,0,7,0.0,0,0,0.09,39,Andhra_Pradesh,2019,
17,RDHP,175,31386121,1219648,7,0,7,0.0,0,0,0.03,40,Andhra_Pradesh,2019,
17,RKSP,175,31386121,1212774,7,0,7,0.0,0,0.01,0.28,41,Andhra_Pradesh,2019,
17,RPC(S),175,31386121,1244688,7,0,7,0.0,0,0,0.08,42,Andhra_Pradesh,2019,
17,RPI(A),175,31386121,6346452,35,0,35,0.0,0,0.03,0.14,43,Andhra_Pradesh,2019,REPUBLICAN PARTY OF INDIA (A)
17,RPI(KH),175,31386121,1224547,7,0,7,0.0,0,0.01,0.15,44,Andhra_Pradesh,2019,
17,RRS,175,31386121,1182157,7,0,7,0.0,0,0,0.1,45,Andhra_Pradesh,2019,
17,SAPRP,175,31386121,1208909,7,0,7,0.0,0,0.02,0.41,46,Andhra_Pradesh,2019,
17,SDPI,175,31386121,1182157,7,0,7,0.0,0,0.02,0.62,47,Andhra_Pradesh,2019,SOCIAL DEMOCRATIC PARTY OF INDIA
17,SMFB,175,31386121,1182157,7,0,7,0.0,0,0.01,0.18,48,Andhra_Pradesh,2019,
17,SP,175,31386121,2350945,14,0,14,0.0,0,0.02,0.29,49,Andhra_Pradesh,2019,SAMAJWADI PARTY
17,SUCI(C),175,31386121,2516532,14,0,14,0.0,0,0.01,0.09,50,Andhra_Pradesh,2019,
17,TDP,175,31386121,31386121,175,35,1,20.0,20,39.62,39.62,2,Andhra_Pradesh,2019,TELUGU DESAM PARTY
17,VCK,175,31386121,3883498,21,0,21,0.0,0,0.02,0.13,51,Andhra_Pradesh,2019,VIDUTHALAI CHIRUTHAIGAL KATCH
17,VJNP,175,31386121,2638637,14,0,14,0.0,0,0.01,0.07,52,Andhra_Pradesh,2019,
17,YSRCP,175,31386121,31386121,175,139,0,79.42857142857143,79.43,49.11,49.11,1,Andhra_Pradesh,2019,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY
17,AIFB,60,626977,344123,33,0,33,0.0,0,0.3,0.55,4,Arunachal_Pradesh,2019,ALL INDIA FORWARD BLOC
17,BJP,60,626977,626977,60,55,0,91.66666666666667,91.67,58.23,58.23,1,Arunachal_Pradesh,2019,BHARATIYA JANATA PARTY
17,INC,60,626977,626977,60,4,29,6.666666666666667,6.67,20.69,20.69,2,Arunachal_Pradesh,2019,INDIA NATIONAL CONGRESS
17,IND,60,626977,626977,60,0,59,0.0,0,2.05,2.05,5,Arunachal_Pradesh,2019,INDEPENDENT
17,JD(S),60,626977,626977,60,1,46,1.6666666666666667,1.67,9.06,9.06,3,Arunachal_Pradesh,2019,JANATA DAL (SECULAR)
17,NOTA,60,626977,626977,60,0,60,0.0,0,1.17,1.17,6,Arunachal_Pradesh,2019,
17,NPEP,60,626977,344123,33,0,30,0.0,0,4.23,7.71,7,Arunachal_Pradesh,2019,NATIONAL PEOPLE'S PARTY
17,PPA,60,626977,626977,60,0,56,0.0,0,4.27,4.27,8,Arunachal_Pradesh,2019,PEOPLE'S PARTY OF ARUNACHAL
17,ADRP,126,17932885,1280028,9,0,9,0.0,0,0.05,0.64,7,Assam,2019,
17,AGP,126,17932885,4556525,30,11,7,36.666666666666664,8.73,8.22,32.36,4,Assam,2019,ASOM GANA PARISHAD
17,AIFB,126,17932885,3057660,25,0,25,0.0,0,0.03,0.19,8,Assam,2019,ALL INDIA FORWARD BLOC
17,AITC,126,17932885,10945738,74,0,74,0.0,0,0.41,0.68,9,Assam,2019,ALL INDIA TRINAMOOL CONGRESS
17,AIUDF,126,17932885,4193473,28,12,6,42.857142857142854,9.52,7.81,33.41,3,Assam,2019,ALL INDIA UNITED DEMOCRATIC FRONT
17,AJM,126,17932885,5693683,38,0,38,0.0,0,0.12,0.38,10,Assam,2019,
17,ASDC,126,17932885,615872,5,0,5,0.0,0,0.21,5.98,11,Assam,2019,AUTONOMOUS STATE DEMAND COMMITTEE
17,BGanP,126,17932885,6205462,39,0,39,0.0,0,0.07,0.21,12,Assam,2019,
17,BJP,126,17932885,11906796,86,67,1,77.90697674418605,53.17,36.04,54.28,1,Assam,2019,BHARATIYA JANATA PARTY
17,BMUP,126,17932885,1013677,9,0,9,0.0,0,0.04,0.68,13,Assam,2019,
17,BNJD,126,17932885,1682616,10,0,10,0.0,0,0.01,0.11,14,Assam,2019,
17,BOPF,126,17932885,1469564,10,4,0,40.0,3.17,2.47,30.17,6,Assam,2019,BODOLAND PEOPLES FRONT
17,CPI,126,17932885,2334267,19,0,19,0.0,0,0.17,1.33,15,Assam,2019,COMMUNIST PART OF INDIA
17,CPIM,126,17932885,2749592,19,0,19,0.0,0,0.23,1.47,16,Assam,2019,
17,HND,126,17932885,7425801,48,0,48,0.0,0,0.12,0.29,17,Assam,2019,
17,INC,126,17932885,17932885,126,26,17,20.634920634920636,20.63,35.48,35.48,2,Assam,2019,INDIA NATIONAL CONGRESS
17,IND,126,17932885,17932885,411,6,402,1.4598540145985401,4.76,4.83,4.83,5,Assam,2019,INDEPENDENT
17,NCP,126,17932885,2466363,18,0,18,0.0,0,0.06,0.44,18,Assam,2019,NATIONAL CONGRESS PARTY
17,NOTA,126,17932885,17932885,126,0,126,0.0,0,0.99,0.99,19,Assam,2019,
17,NPEP,126,17932885,7688834,60,0,60,0.0,0,0.27,0.63,20,Assam,2019,NATIONAL PEOPLE'S PARTY
17,NRCong,126,17932885,3213478,20,0,20,0.0,0,0.02,0.13,21,Assam,2019,
17,PUJP,126,17932885,7855987,49,0,49,0.0,0,0.12,0.28,22,Assam,2019,
17,RPI(A),126,17932885,4896094,30,0,30,0.0,0,0.06,0.23,23,Assam,2019,REPUBLICAN PARTY OF INDIA (A)
17,SP,126,17932885,1761240,10,0,10,0.0,0,0.01,0.14,24,Assam,2019,SAMAJWADI PARTY
17,SUCI(C),126,17932885,7919958,54,0,54,0.0,0,0.09,0.21,25,Assam,2019,
17,SwaBP,126,17932885,1761240,10,0,10,0.0,0,0.02,0.23,26,Assam,2019,
17,TNRMPI,126,17932885,1452238,10,0,10,0.0,0,0.02,0.27,27,Assam,2019,
17,UPPL,126,17932885,1469564,10,0,1,0.0,0,1.73,21.08,28,Assam,2019,United People's Party Liberal
17,VPI,126,17932885,10333676,68,0,68,0.0,0,0.28,0.49,29,Assam,2019,
17,AAAP,243,40667344,3175454,18,0,18,0.0,0,0.06,0.82,10,Bihar,2019,AAM AADMI PARTY
17,AAHPty,243,40667344,1053964,6,0,6,0.0,0,0.01,0.32,11,Bihar,2019,
17,AAM,243,40667344,4187220,24,0,24,0.0,0,0.08,0.77,12,Bihar,2019,
17,ABJS,243,40667344,1072919,7,0,7,0.0,0,0.01,0.33,13,Bihar,2019,
17,AHFBK,243,40667344,1797339,12,0,12,0.0,0,0.06,1.29,14,Bihar,2019,
17,AIFB,243,40667344,4148424,24,0,24,0.0,0,0.04,0.4,15,Bihar,2019,ALL INDIA FORWARD BLOC
17,AIMIM,243,40667344,1100991,6,2,1,33.333333333333336,0.82,0.73,26.78,6,Bihar,2019,ALL INDIA MAJLIS-E ITHEHAD-UL MUSLIMEEN
17,AITC,243,40667344,1100991,6,0,6,0.0,0,0.01,0.5,16,Bihar,2019,ALL INDIA TRINAMOOL CONGRESS
17,AJPR,243,40667344,3030054,18,0,18,0.0,0,0.08,1.02,17,Bihar,2019,
17,AKBHAD,243,40667344,992810,6,0,6,0.0,0,0.01,0.44,18,Bihar,2019,
17,AKBMP,243,40667344,962294,6,0,6,0.0,0,0.02,1.05,19,Bihar,2019,
17,AMiP,243,40667344,2024364,12,0,12,0.0,0,0.03,0.56,20,Bihar,2019,
17,ANC,243,40667344,864507,6,0,6,0.0,0,0.03,1.44,21,Bihar,2019,
17,APKSP,243,40667344,1073175,6,0,6,0.0,0,0.02,0.78,22,Bihar,2019,
17,APoI,243,40667344,1924346,12,0,12,0.0,0,0.06,1.31,23,Bihar,2019,
17,ASDHP,243,40667344,3981642,24,0,24,0.0,0,0.03,0.29,24,Bihar,2019,
17,BALP,243,40667344,2112502,12,0,12,0.0,0,0.03,0.58,25,Bihar,2019,
17,BBC,243,40667344,5067882,30,0,30,0.0,0,0.05,0.37,26,Bihar,2019,BHARATER BIPLABI COMMUNIST PARTY
17,BBMP,243,40667344,955102,6,0,6,0.0,0,0.02,1.04,27,Bihar,2019,
17,BDlP,243,40667344,2981522,18,0,18,0.0,0,0.04,0.51,28,Bihar,2019,
17,BHAIP,243,40667344,938708,6,0,6,0.0,0,0,0.17,29,Bihar,2019,
17,BHAPRAP,243,40667344,2029862,13,0,13,0.0,0,0.01,0.24,30,Bihar,2019,
17,BIP,243,40667344,40667344,7,0,7,0.0,0,0.01,0.01,31,Bihar,2019,
17,BJAZP,243,40667344,1000841,6,0,6,0.0,0,0,0.18,32,Bihar,2019,
17,BJKD,243,40667344,4049689,25,0,25,0.0,0,0.06,0.58,33,Bihar,2019,
17,BJKVP,243,40667344,7124948,42,0,42,0.0,0,0.1,0.57,34,Bihar,2019,
17,BJP,243,40667344,17247829,104,96,0,92.3076923076923,39.51,23.54,55.5,1,Bihar,2019,BHARATIYA JANATA PARTY
17,BKVP,243,40667344,1072919,7,0,7,0.0,0,0.01,0.35,35,Bihar,2019,
17,BLND,243,40667344,8285735,48,0,48,0.0,0,0.08,0.39,36,Bihar,2019,
17,BLRP,243,40667344,2246437,14,0,14,0.0,0,0.01,0.19,37,Bihar,2019,
17,BLSP,243,40667344,4779285,30,1,0,3.3333333333333335,0.41,3.58,30.45,8,Bihar,2019,RASHTRIYA LOK SAMTA PARTY
17,BMF,243,40667344,7010522,43,0,43,0.0,0,0.06,0.34,38,Bihar,2019,
17,BMUP,243,40667344,11542460,67,0,67,0.0,0,0.16,0.55,39,Bihar,2019,
17,BMtrP,243,40667344,3055913,18,0,18,0.0,0,0.03,0.42,40,Bihar,2019,
17,BNDl,243,40667344,3095006,19,0,19,0.0,0,0.06,0.84,41,Bihar,2019,
17,BNSKP,243,40667344,968891,6,0,6,0.0,0,0.01,0.27,42,Bihar,2019,
17,BRM,243,40667344,955102,6,0,6,0.0,0,0.02,0.83,43,Bihar,2019,
17,BSP,243,40667344,35370499,212,0,211,0.0,0,1.67,1.92,44,Bihar,2019,BAHUJAN SAMAJ PARTY
17,BSSPA,243,40667344,982151,6,0,6,0.0,0,0.01,0.37,45,Bihar,2019,
17,BhAmAP,243,40667344,1073175,6,0,6,0.0,0,0.02,0.9,46,Bihar,2019,
17,BhNP,243,40667344,1053964,6,0,6,0.0,0,0.01,0.54,47,Bihar,2019,
17,CPI,243,40667344,2210226,13,0,7,0.0,0,0.68,12.58,48,Bihar,2019,COMMUNIST PART OF INDIA
17,CPI(ML)(L),243,40667344,3736551,25,1,17,4.0,0.41,1.34,14.56,9,Bihar,2019,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)
17,CPIM,243,40667344,966779,6,0,6,0.0,0,0.07,2.84,49,Bihar,2019,
17,GJNP,243,40667344,2037213,12,0,12,0.0,0,0.03,0.57,50,Bihar,2019,
17,HAMS,243,40667344,2916955,19,2,0,10.526315789473685,0.82,2.35,32.75,7,Bihar,2019,HINDUSTANI AWAM MORCHA (SECULAR)
17,HND,243,40667344,1976327,13,0,13,0.0,0,0.03,0.55,51,Bihar,2019,
17,INC,243,40667344,9506694,54,5,1,9.25925925925926,2.06,7.7,32.96,5,Bihar,2019,INDIA NATIONAL CONGRESS
17,IND,243,40667344,40667344,1400,0,1399,0.0,0,5.47,5.47,52,Bihar,2019,INDEPENDENT
17,JANADIP,243,40667344,6241820,37,0,37,0.0,0,0.09,0.56,53,Bihar,2019,
17,JAPL,243,40667344,1145723,6,0,6,0.0,0,0.24,8.51,54,Bihar,2019,
17,JD(U),243,40667344,17478422,103,92,0,89.32038834951456,37.86,21.82,50.78,2,Bihar,2019,JANATA DAL (UNITED)
17,JDR,243,40667344,2812419,18,0,18,0.0,0,0.07,0.98,55,Bihar,2019,
17,JGHTP,243,40667344,1999912,12,0,12,0.0,0,0.02,0.31,56,Bihar,2019,
17,JHP,243,40667344,1109840,6,0,6,0.0,0,0.03,1.23,57,Bihar,2019,
17,JKNPP,243,40667344,1109840,6,0,6,0.0,0,0.01,0.32,58,Bihar,2019,JAMMU & KASHMIR NATIONAL PANTHERS PARTY
17,JKiP,243,40667344,1994800,12,0,12,0.0,0,0.02,0.46,59,Bihar,2019,
17,JMM,243,40667344,4279283,24,0,24,0.0,0,0.08,0.72,60,Bihar,2019,JHARKHAND MUKTI MORCHA
17,JP,243,40667344,4098551,24,0,24,0.0,0,0.03,0.33,61,Bihar,2019,JANATA PARTY
17,JPJD,243,40667344,4832917,30,0,30,0.0,0,0.04,0.37,62,Bihar,2019,
17,JPS,243,40667344,992810,6,0,6,0.0,0,0,0.18,63,Bihar,2019,
17,JRVP,243,40667344,966779,6,0,6,0.0,0,0.01,0.24,64,Bihar,2019,
17,JTVP,243,40667344,3081413,19,0,19,0.0,0,0.04,0.58,65,Bihar,2019,
17,KPOI,243,40667344,1034367,6,0,6,0.0,0,0.01,0.29,66,Bihar,2019,
17,LAJSP,243,40667344,1007883,6,0,6,0.0,0,0.02,0.98,67,Bihar,2019,
17,LCD,243,40667344,1072101,6,0,6,0.0,0,0.01,0.22,68,Bihar,2019,
17,LJP,243,40667344,5941093,36,35,0,97.22222222222223,14.4,7.86,53.81,3,Bihar,2019,LOK JAN SHAKTI PARTY
17,LJVM,243,40667344,1786218,12,0,12,0.0,0,0.02,0.52,69,Bihar,2019,
17,LSD,243,40667344,1109840,6,0,6,0.0,0,0.02,0.57,70,Bihar,2019,
17,MADP,243,40667344,955102,6,0,6,0.0,0,0.04,1.52,71,Bihar,2019,
17,MOSP,243,40667344,1890457,12,0,12,0.0,0,0.04,0.95,72,Bihar,2019,
17,ManJP,243,40667344,1997912,13,0,13,0.0,0,0.02,0.31,73,Bihar,2019,
17,NCP,243,40667344,5106074,31,0,31,0.0,0,0.09,0.76,74,Bihar,2019,NATIONAL CONGRESS PARTY
17,NJP,243,40667344,1029021,7,0,7,0.0,0,0.01,0.43,75,Bihar,2019,NUTAN MAHA GUJARAT JANTA PARISHAD
17,NOTA,243,40667344,40667344,243,0,243,0.0,0,2,2,76,Bihar,2019,
