State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Lok_Sabha,17,2019,8054,6923
Lok_Sabha,16,2014,8251,7005
Lok_Sabha,15,2009,8070,6829
Lok_Sabha,14,2004,5435,4218
Lok_Sabha,13,1999,4648,3400
Lok_Sabha,12,1998,4750,3486
Lok_Sabha,11,1996,13952,12688
Lok_Sabha,10,1991,8749,7539
Lok_Sabha,9,1989,6159,5002
Lok_Sabha,8,1984,5492,4382
Lok_Sabha,7,1980,4629,3417
Lok_Sabha,6,1977,2439,1356
Lok_Sabha,5,1971,2784,1707
Lok_Sabha,4,1967,2369,1203
Lok_Sabha,3,1962,1985,856
Andaman_&_Nicobar_Islands,17,2019,15,13
Andhra_Pradesh,17,2019,319,266
Arunachal_Pradesh,17,2019,12,9
Assam,17,2019,145,114
Bihar,17,2019,626,546
Chandigarh,17,2019,36,34
Chhattisgarh,17,2019,166,144
Dadra_&_Nagar_Haveli,17,2019,11,9
Daman_&_Diu,17,2019,4,1
Delhi,17,2019,164,147
Goa,17,2019,12,8
Gujarat,17,2019,371,319
Haryana,17,2019,223,203
Himachal_Pradesh,17,2019,45,37
Jammu_&_Kashmir,17,2019,79,63
Jharkhand,17,2019,229,202
Karnataka,17,2019,478,422
Kerala,17,2019,227,180
Lakshadweep,17,2019,6,4
Madhya_Pradesh,17,2019,438,380
Maharashtra,17,2019,867,768
Manipur,17,2019,19,13
Meghalaya,17,2019,9,5
Mizoram,17,2019,6,4
Nagaland,17,2019,4,2
Odisha,17,2019,174,125
Puducherry,17,2019,18,16
Punjab,17,2019,278,248
Rajasthan,17,2019,249,198
Sikkim,17,2019,11,9
Tamil_Nadu,17,2019,850,774
Telangana,17,2019,443,404
Tripura,17,2019,23,18
Uttar_Pradesh,17,2019,979,819
Uttarakhand,17,2019,52,42
West_Bengal,17,2019,466,377
Andaman_&_Nicobar_Islands,16,2014,15,13
Andhra_Pradesh,16,2014,598,507
Arunachal_Pradesh,16,2014,11,7
Assam,16,2014,162,127
Bihar,16,2014,607,513
Chandigarh,16,2014,17,14
Chhattisgarh,16,2014,211,189
Dadra_&_Nagar_Haveli,16,2014,11,9
Daman_&_Diu,16,2014,4,2
Delhi,16,2014,150,133
Goa,16,2014,19,15
Gujarat,16,2014,334,282
Haryana,16,2014,230,207
Himachal_Pradesh,16,2014,38,30
Jammu_&_Kashmir,16,2014,77,63
Jharkhand,16,2014,240,209
Karnataka,16,2014,434,372
Kerala,16,2014,269,227
Lakshadweep,16,2014,6,4
Madhya_Pradesh,16,2014,378,318
Maharashtra,16,2014,897,800
Manipur,16,2014,18,14
Meghalaya,16,2014,10,5
Mizoram,16,2014,3,1
Nagaland,16,2014,3,1
Odisha,16,2014,196,143
Puducherry,16,2014,30,27
Punjab,16,2014,253,219
Rajasthan,16,2014,320,266
Sikkim,16,2014,6,4
Tamil_Nadu,16,2014,845,748
Tripura,16,2014,25,23
Uttar_Pradesh,16,2014,1288,1088
Uttarakhand,16,2014,74,64
West_Bengal,16,2014,472,361
Andaman_&_Nicobar_Islands,15,2009,11,9
Andhra_Pradesh,15,2009,569,468
Arunachal_Pradesh,15,2009,8,3
Assam,15,2009,158,122
Bihar,15,2009,672,583
Chandigarh,15,2009,14,11
Chhattisgarh,15,2009,178,154
Dadra_&_Nagar_Haveli,15,2009,5,3
Daman_&_Diu,15,2009,7,5
Delhi,15,2009,160,146
Goa,15,2009,18,14
Gujarat,15,2009,359,306
Haryana,15,2009,210,185
Himachal_Pradesh,15,2009,31,23
Jammu_&_Kashmir,15,2009,81,67
Jharkhand,15,2009,249,217
Karnataka,15,2009,427,362
Kerala,15,2009,217,177
Lakshadweep,15,2009,4,2
Madhya_Pradesh,15,2009,429,368
Maharashtra,15,2009,819,705
Manipur,15,2009,16,11
Meghalaya,15,2009,11,6
Mizoram,15,2009,4,2
Nagaland,15,2009,3,1
Odisha,15,2009,157,103
Puducherry,15,2009,28,26
Punjab,15,2009,218,192
Rajasthan,15,2009,346,293
Sikkim,15,2009,7,5
