Assembly_No,MyNeta_education,MLAs_var,State_Name
17,Graduate Professional,1,Andaman_&_Nicobar_Islands
17,10th Pass,2,Andhra_Pradesh
17,12th Pass,1,Andhra_Pradesh
17,8th Pass,1,Andhra_Pradesh
17,Doctorate,1,Andhra_Pradesh
17,Graduate,6,Andhra_Pradesh
17,Graduate Professional,5,Andhra_Pradesh
17,Post Graduate,9,Andhra_Pradesh
17,Graduate Professional,1,Arunachal_Pradesh
17,Post Graduate,1,Arunachal_Pradesh
17,10th Pass,1,Assam
17,12th Pass,2,Assam
17,Graduate,5,Assam
17,Post Graduate,6,Assam
17,10th Pass,6,Bihar
17,12th Pass,3,Bihar
17,8th Pass,2,Bihar
17,Doctorate,1,Bihar
17,Graduate,13,Bihar
17,Graduate Professional,6,Bihar
17,Post Graduate,8,Bihar
17,Unknown,1,Bihar
17,Post Graduate,1,Chandigarh
17,12th Pass,2,Chhattisgarh
17,Graduate,3,Chhattisgarh
17,Graduate Professional,3,Chhattisgarh
17,Post Graduate,3,Chhattisgarh
17,Graduate,1,Dadra_&_Nagar_Haveli
17,8th Pass,1,Daman_&_Diu
17,10th Pass,1,Delhi
17,12th Pass,1,Delhi
17,Graduate Professional,2,Delhi
17,Post Graduate,3,Delhi
17,Graduate,1,Goa
17,Graduate Professional,1,Goa
17,10th Pass,2,Gujarat
17,12th Pass,6,Gujarat
17,8th Pass,2,Gujarat
17,Graduate,3,Gujarat
17,Graduate Professional,5,Gujarat
17,Others,4,Gujarat
17,Post Graduate,4,Gujarat
17,Graduate,2,Haryana
17,Graduate Professional,4,Haryana
17,Post Graduate,4,Haryana
17,10th Pass,1,Himachal_Pradesh
17,12th Pass,1,Himachal_Pradesh
17,Graduate,1,Himachal_Pradesh
17,Post Graduate,1,Himachal_Pradesh
17,10th Pass,1,Jammu_&_Kashmir
17,Graduate,1,Jammu_&_Kashmir
17,Graduate Professional,2,Jammu_&_Kashmir
17,Post Graduate,2,Jammu_&_Kashmir
17,10th Pass,1,Jharkhand
17,12th Pass,3,Jharkhand
17,Doctorate,1,Jharkhand
17,Graduate,4,Jharkhand
17,Graduate Professional,1,Jharkhand
17,Post Graduate,4,Jharkhand
17,10th Pass,4,Karnataka
17,12th Pass,6,Karnataka
17,5th Pass,1,Karnataka
17,Graduate,4,Karnataka
17,Graduate Professional,9,Karnataka
17,Post Graduate,4,Karnataka
17,10th Pass,2,Kerala
17,12th Pass,1,Kerala
17,Doctorate,1,Kerala
17,Graduate,8,Kerala
17,Graduate Professional,4,Kerala
17,Post Graduate,4,Kerala
17,Post Graduate,1,Lakshadweep
17,10th Pass,44,Lok_Sabha
17,12th Pass,68,Lok_Sabha
17,5th Pass,4,Lok_Sabha
17,8th Pass,12,Lok_Sabha
