Assembly_No,Total_Candidates,Contesting_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,Recontesting_Candidates,First_Contests,Second_Contests,Multiple_Contests,No_first_time_winners,First_Contest_Winners,Year,Recontesting_Candidates_pct,First_Contests_pct,Second_Contests_pct,Multiple_Contests_pct,Contesting_Incumbents_pct,Successful_Incumbents_pct,No_first_time_winners_pct,First_Contest_Winners_pct,Incumbent_Strike_Rate,Turncoat_Strike_Rate,State_Name
17,8054,337,226,543,195,29,1022,6739,746,569,271,225,2019,12.69,83.67,9.26,7.06,62.06,41.62,49.91,41.44,67.06,14.87,Lok_Sabha
16,8251,400,168,543,263,38,1186,6712,883,656,319,260,2014,14.37,81.35,10.7,7.95,73.66,30.94,58.75,47.88,42,14.45,Lok_Sabha
15,8070,362,173,543,213,30,914,6702,669,699,295,240,2009,11.33,83.05,8.29,8.66,66.67,31.86,54.33,44.2,47.79,14.08,Lok_Sabha
14,5435,419,226,543,214,56,877,4110,475,850,224,169,2004,16.14,75.62,8.74,15.64,77.16,41.62,41.25,31.12,53.94,26.17,Lok_Sabha
13,4648,457,269,543,235,64,1156,3063,704,881,183,115,1999,24.87,65.9,15.15,18.95,84.16,49.54,33.7,21.18,58.86,27.23,Lok_Sabha
12,4750,460,248,543,202,51,1145,3260,787,703,219,151,1998,24.11,68.63,16.57,14.8,84.71,45.67,40.33,27.81,53.91,25.25,Lok_Sabha
11,13952,381,194,543,242,49,1477,11898,1095,959,290,239,1996,10.59,85.28,7.85,6.87,70.17,35.73,53.41,44.01,50.92,20.25,Lok_Sabha
10,8749,408,258,534,179,34,1550,6694,1265,790,208,161,1991,17.72,76.51,14.46,9.03,76.4,48.31,38.95,30.15,63.24,18.99,Lok_Sabha
9,6159,379,163,529,164,87,992,4877,752,530,277,213,1989,16.11,79.18,12.21,8.61,71.64,30.81,52.36,40.26,43.01,53.05,Lok_Sabha
8,5492,356,230,541,212,35,845,4445,610,437,283,244,1984,15.39,80.94,11.11,7.96,65.8,42.51,52.31,45.1,64.61,16.51,Lok_Sabha
7,4629,385,150,529,377,78,778,3683,582,364,303,257,1980,16.81,79.56,12.57,7.86,72.78,28.36,57.28,48.58,38.96,20.69,Lok_Sabha
6,2439,327,137,542,161,111,544,1811,389,239,378,313,1977,22.3,74.25,15.95,9.8,60.33,25.28,69.74,57.75,41.9,68.94,Lok_Sabha
5,2784,305,216,518,124,38,415,2245,342,197,278,255,1971,14.91,80.64,12.28,7.08,58.88,41.7,53.67,49.23,70.82,30.65,Lok_Sabha
4,2369,235,179,520,47,23,326,2039,327,3,340,310,1967,13.76,86.07,13.8,0.13,45.19,34.42,65.38,59.62,76.17,48.94,Lok_Sabha
3,1985,0,0,494,0,0,0,1985,0,0,494,494,1962,0,100,0,0,0,0,100,100,0,0,Lok_Sabha
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,33.33,66.67,20,13.33,0,0,100,0,0,0,Andaman_&_Nicobar_Islands
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,6.9,90.6,4.7,4.7,48,16,76,72,33.33,22.22,Andhra_Pradesh
17,12,1,1,2,1,0,3,8,1,3,0,0,2019,25,66.67,8.33,25,50,50,0,0,100,0,Arunachal_Pradesh
17,145,8,5,14,3,0,25,114,17,14,9,9,2019,17.24,78.62,11.72,9.66,57.14,35.71,64.29,64.29,62.5,0,Assam
17,626,28,18,40,24,1,87,522,48,56,16,15,2019,13.9,83.39,7.67,8.95,70,45,40,37.5,64.29,4.17,Bihar
17,36,1,1,1,0,0,2,33,2,1,0,0,2019,5.56,91.67,5.56,2.78,100,100,0,0,100,0,Chandigarh
17,166,0,0,11,2,0,14,147,9,10,10,10,2019,8.43,88.55,5.42,6.02,0,0,90.91,90.91,0,0,Chhattisgarh
17,11,1,0,1,0,0,2,9,0,2,0,0,2019,18.18,81.82,0,18.18,100,0,0,0,0,0,Dadra_&_Nagar_Haveli
17,4,1,1,1,0,0,2,2,1,1,0,0,2019,50,50,25,25,100,100,0,0,100,0,Daman_&_Diu
17,164,5,5,7,1,0,11,151,7,6,2,2,2019,6.71,92.07,4.27,3.66,71.43,71.43,28.57,28.57,100,0,Delhi
17,12,2,1,2,0,0,2,9,0,3,0,0,2019,16.67,75,0,25,100,50,0,0,50,0,Goa
17,371,16,16,26,5,0,43,311,37,23,10,10,2019,11.59,83.83,9.97,6.2,61.54,61.54,38.46,38.46,100,0,Gujarat
17,223,7,4,10,2,1,23,194,14,15,5,5,2019,10.31,87,6.28,6.73,70,40,50,50,57.14,50,Haryana
17,45,2,2,4,0,0,6,36,5,4,2,2,2019,13.33,80,11.11,8.89,50,50,50,50,100,0,Himachal_Pradesh
17,79,4,3,6,2,0,10,63,10,6,3,3,2019,12.66,79.75,12.66,7.59,66.67,50,50,50,75,0,Jammu_&_Kashmir
17,229,12,8,14,9,1,38,180,27,22,5,2,2019,16.59,78.6,11.79,9.61,85.71,57.14,35.71,14.29,66.67,11.11,Jharkhand
17,478,24,15,28,8,0,62,401,46,31,10,9,2019,12.97,83.89,9.62,6.49,85.71,53.57,35.71,32.14,62.5,0,Karnataka
